"Team","PA","R","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","O-Swing%","Z-Contact%","HardHit%"
"HOU","282","50","2","8.9%","19.1%",".239",".317",".291",".365",".530",".380","145","-0.8","30.4%","87.6%","44.4%"
"BOS","240","45","1","8.8%","21.3%",".234",".338",".290",".360",".523",".375","136","0.0","32.6%","82.8%","42.4%"
"STL","240","44","4","7.1%","23.3%",".223",".349",".293",".346",".516",".362","129","1.0","31.8%","82.6%","32.1%"
"LAD","234","32","4","8.5%","18.8%",".181",".331",".289",".364",".471",".358","125","0.3","27.4%","88.2%","44.2%"
"PHI","235","37","4","8.5%","19.1%",".197",".325",".281",".358",".478",".357","123","0.5","31.8%","83.9%","32.3%"
"KCR","239","33","7","7.5%","18.4%",".143",".359",".309",".368",".452",".356","125","1.5","34.8%","87.3%","43.7%"
"CHC","240","34","8","10.0%","29.2%",".222",".328",".256",".347",".478",".356","121","0.3","33.5%","84.2%","40.4%"
"CLE","225","40","1","6.7%","22.7%",".205",".331",".283",".342",".488",".355","126","-0.1","36.5%","87.1%","29.7%"
"SFG","267","33","1","10.9%","21.7%",".258",".272",".249",".345",".507",".355","126","-0.8","29.8%","86.7%","38.3%"
"NYY","262","31","4","8.8%","19.5%",".246",".249",".250",".321",".496",".346","120","-0.9","26.8%","81.8%","50.5%"
"CHW","238","30","0","10.5%","20.2%",".155",".329",".272",".359",".427",".343","119","-0.3","33.2%","87.4%","39.8%"
"OAK","252","37","2","13.1%","15.9%",".116",".304",".266",".377",".382",".335","117","-0.7","30.2%","88.7%","39.0%"
"WSN","231","25","1","9.1%","16.9%",".101",".337",".290",".355",".391",".325","102","-0.5","30.3%","90.3%","37.6%"
"TOR","215","28","1","8.4%","17.7%",".168",".283",".255",".316",".423",".319","100","0.1","36.4%","88.2%","46.5%"
"COL","194","23","4","11.9%","26.8%",".192",".264",".216",".307",".407",".307","78","0.4","31.4%","87.6%","38.7%"
"SEA","225","27","3","9.8%","20.9%",".131",".284",".241",".320",".372",".301","94","-0.7","28.2%","89.3%","39.6%"
"SDP","266","29","2","5.6%","17.7%",".119",".320",".270",".309",".389",".300","88","-0.1","33.2%","89.4%","39.7%"
"PIT","232","24","7","10.8%","19.4%",".114",".310",".249",".328",".363",".300","89","-0.2","28.3%","86.7%","29.0%"
"ATL","193","14","0","4.7%","26.9%",".149",".306",".238",".281",".387",".289","76","-1.0","33.8%","83.1%","46.9%"
"NYM","227","19","0","7.9%","22.5%",".131",".278",".228",".295",".359",".285","83","-0.6","35.1%","85.8%","27.6%"
"MIL","193","19","7","14.0%","20.7%",".110",".233",".195",".316",".305",".285","75","1.3","28.6%","85.8%","33.1%"
"MIN","234","27","1","6.8%","25.2%",".213",".212",".194",".256",".407",".284","79","-0.2","30.4%","82.8%","45.9%"
"LAA","228","22","0","8.8%","23.2%",".119",".271",".223",".301",".342",".284","78","-0.7","33.6%","84.5%","34.9%"
"MIA","220","23","2","6.4%","28.2%",".154",".278",".219",".282",".373",".280","78","-0.1","39.4%","82.0%","38.6%"
"ARI","227","23","2","8.4%","28.2%",".123",".287",".216",".284",".338",".275","67","0.9","27.0%","85.7%","43.4%"
"BAL","222","18","3","7.7%","32.9%",".123",".312",".221",".284",".343",".274","70","-0.1","33.7%","79.0%","38.2%"
"TBR","248","21","4","7.7%","22.2%",".146",".209",".192",".271",".338",".269","73","0.4","32.4%","83.2%","35.7%"
"TEX","248","16","7","8.1%","24.6%",".071",".292",".223",".291",".295",".264","66","1.1","33.0%","86.4%","34.5%"
"CIN","213","19","3","6.6%","23.9%",".115",".259",".208",".270",".323",".261","57","0.5","39.3%","85.4%","33.1%"
"DET","208","17","1","5.8%","28.8%",".162",".208",".178",".232",".340",".247","53","-0.9","38.1%","75.4%","31.3%"
