"Team","IP","K/9","BB/9","HR/9","BABIP","LOB%","ERA","FIP","xFIP","WHIP"
"DET","55.0","7.53","4.25","0.65",".215","82.5%","2.29","4.07","4.99","1.11"
"BOS","54.0","10.17","2.50","0.67",".305","70.2%","2.50","2.81","3.42","1.15"
"ATL","46.2","9.64","3.66","1.16",".213","81.7%","2.70","4.04","4.04","1.03"
"LAD","53.0","10.02","2.72","0.68",".244","75.9%","2.72","2.93","3.66","0.96"
"CHW","53.0","10.36","3.91","0.85",".323","82.4%","2.89","3.61","3.63","1.34"
"STL","56.0","6.11","2.89","0.64",".275","75.7%","2.89","3.70","4.70","1.23"
"TOR","54.0","9.33","1.33","1.83",".165","90.9%","3.00","4.40","3.69","0.74"
"MIA","54.0","7.33","4.33","0.50",".313","70.3%","3.00","3.70","4.68","1.50"
"PIT","54.0","8.67","2.50","0.67",".267","74.0%","3.17","3.20","4.11","1.07"
"HOU","64.0","9.14","2.95","0.84",".277","71.6%","3.23","3.38","3.52","1.14"
"SFG","65.0","8.31","1.52","0.69",".314","72.9%","3.32","2.87","3.56","1.17"
"COL","45.0","8.40","3.40","0.80",".331","81.1%","3.40","3.72","4.22","1.42"
"CLE","48.0","8.44","2.06","1.88",".262","80.0%","3.56","4.74","4.14","1.10"
"MIL","45.0","13.60","3.60","1.20",".319","76.1%","3.60","3.27","3.11","1.20"
"LAA","54.0","8.17","4.33","1.00",".300","77.7%","3.67","4.57","4.80","1.43"
"TBR","62.0","7.26","1.89","1.45",".238","76.0%","3.77","4.27","3.98","1.03"
"CIN","52.2","8.72","3.42","0.51",".316","69.8%","3.93","3.22","4.09","1.35"
"OAK","54.0","8.00","2.83","1.00",".333","71.2%","4.17","3.88","4.28","1.44"
"NYY","64.1","12.59","2.94","1.68",".336","74.4%","4.20","3.95","3.24","1.31"
"WSN","54.0","10.00","3.67","1.67",".279","76.3%","4.50","4.73","4.20","1.30"
"PHI","53.0","9.68","2.72","1.53",".292","73.6%","4.75","4.46","3.83","1.23"
"SEA","54.0","9.17","3.00","1.50",".298","68.9%","4.83","4.46","4.92","1.33"
"MIN","57.1","7.69","3.77","1.57",".270","62.5%","5.18","4.97","5.18","1.36"
"ARI","51.1","5.79","3.68","1.75",".296","72.5%","5.26","5.87","5.72","1.54"
"NYM","56.0","9.16","3.05","1.45",".337","68.5%","5.30","4.39","4.52","1.50"
"KCR","54.0","5.17","5.00","1.00",".312","63.1%","6.00","5.40","5.96","1.65"
"BAL","52.0","5.54","3.81","1.73",".306","68.1%","6.40","5.81","5.91","1.62"
"SDP","58.0","8.84","3.72","2.17",".302","65.8%","6.52","5.83","5.33","1.48"
"CHC","50.2","6.75","5.51","1.42",".318","60.4%","7.11","5.84","5.44","1.76"
"TEX","63.0","8.14","4.43","1.71",".333","63.3%","7.29","5.54","4.84","1.67"
