"Team","PA","R","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","O-Swing%","Z-Contact%","HardHit%"
"TOR","5591","785","73","8.3%","20.2%",".198",".299",".267",".333",".464",".341","114","2.3","31.6%","86.8%","42.1%"
"HOU","5785","796","49","9.1%","19.4%",".174",".307",".269",".341",".443",".337","117","-8.7","29.3%","88.2%","40.8%"
"BOS","5705","776","39","8.3%","22.7%",".187",".310",".261",".328",".448",".332","107","-3.2","34.0%","83.4%","42.0%"
"SFG","5726","736","62","9.8%","23.9%",".194",".294",".247",".328",".442",".329","108","-7.4","28.2%","84.4%","38.7%"
"CHW","5604","738","54","9.6%","22.9%",".165",".308",".255",".335",".420",".328","109","1.1","32.9%","85.3%","39.2%"
"WSN","5577","664","54","9.0%","21.3%",".160",".307",".259",".335",".419",".326","101","-19.6","29.2%","86.0%","39.5%"
"LAD","5785","757","59","9.9%","22.9%",".180",".285",".242",".329",".422",".324","105","8.6","27.9%","84.9%","40.3%"
"CIN","5685","720","30","8.9%","23.4%",".178",".295",".247",".325",".425",".324","97","-13.6","31.8%","85.5%","37.9%"
"ATL","5547","713","55","9.2%","23.8%",".190",".284",".242",".319",".433",".322","98","4.3","31.6%","83.3%","40.1%"
"TBR","5758","796","79","9.3%","24.9%",".185",".291",".240",".318",".424",".319","108","11.7","30.6%","81.9%","39.6%"
"NYY","5621","650","60","10.4%","24.4%",".168",".285",".237",".323",".405",".317","101","-11.1","28.0%","82.9%","42.3%"
"MIN","5627","670","46","8.7%","23.0%",".182",".278",".239",".312",".421",".316","100","-5.3","30.6%","84.2%","41.0%"
"PHI","5618","688","75","9.4%","22.8%",".170",".288",".242",".320",".411",".316","95","6.2","30.8%","83.7%","36.9%"
"OAK","5618","687","84","9.0%","22.0%",".169",".279",".239",".318",".408",".315","103","5.8","29.8%","85.4%","39.4%"
"COL","5532","682","72","8.2%","22.4%",".168",".294",".247",".315",".415",".314","82","11.0","32.8%","85.2%","35.8%"
"MIL","5635","692","76","9.7%","24.0%",".164",".286",".236",".320",".400",".313","93","8.9","30.2%","84.2%","38.4%"
"SDP","5643","679","105","9.7%","21.7%",".157",".286",".241",".321",".398",".312","97","1.4","27.9%","86.1%","40.4%"
"LAA","5516","662","69","7.4%","23.6%",".164",".296",".246",".309",".410",".309","95","2.8","33.6%","85.2%","34.6%"
"CHC","5518","650","72","8.2%","27.0%",".173",".291",".233",".307",".406",".308","91","-6.8","31.9%","83.5%","38.8%"
"STL","5490","628","78","8.0%","22.3%",".162",".285",".241",".311",".403",".308","95","8.1","31.5%","84.4%","37.1%"
"NYM","5430","592","48","8.5%","23.6%",".152",".290",".239",".316",".391",".308","97","-11.0","33.3%","84.3%","37.8%"
"CLE","5395","654","97","7.9%","23.5%",".171",".280",".237",".304",".408",".307","93","4.4","32.4%","84.1%","38.2%"
"BAL","5518","618","54","7.6%","24.2%",".166",".289",".240",".304",".405",".307","92","-4.2","33.7%","84.0%","36.8%"
"DET","5526","650","73","8.1%","25.6%",".161",".298",".240",".305",".402",".305","92","-0.4","33.0%","83.1%","38.3%"
"KCR","5534","634","114","7.0%","21.2%",".146",".291",".248",".306",".394",".303","89","10.7","34.5%","86.0%","39.0%"
"ARI","5661","626","38","8.8%","24.0%",".145",".294",".235",".309",".380",".300","84","5.7","30.6%","84.4%","35.7%"
"SEA","5520","635","61","9.0%","25.2%",".158",".271",".224",".301",".382",".298","93","-8.3","30.4%","83.7%","37.1%"
"MIA","5485","587","101","7.6%","26.2%",".140",".299",".234",".301",".374",".293","86","3.2","34.2%","83.9%","37.1%"
"PIT","5502","549","56","8.7%","22.0%",".128",".287",".235",".307",".363",".293","82","1.2","30.2%","87.1%","33.8%"
"TEX","5473","574","95","7.3%","23.4%",".143",".278",".231",".294",".374",".291","84","0.7","32.8%","83.7%","36.0%"
