"Team","IP","K/9","BB/9","HR/9","BABIP","LOB%","ERA","FIP","xFIP","WHIP"
"LAD","1344.0","9.95","3.03","1.00",".258","77.2%","2.96","3.53","3.74","1.09"
"SFG","1345.2","8.77","2.60","0.95",".275","74.4%","3.28","3.58","3.90","1.14"
"MIL","1324.0","10.24","3.44","1.01",".275","75.5%","3.39","3.65","3.71","1.18"
"HOU","1328.1","9.17","3.36","1.17",".274","75.5%","3.71","4.07","4.08","1.22"
"CHW","1294.1","10.26","3.16","1.20",".285","74.2%","3.75","3.78","3.83","1.20"
"TBR","1350.0","9.21","2.74","1.16",".286","73.0%","3.78","3.81","3.96","1.19"
"NYY","1328.1","9.83","3.14","1.24",".281","73.5%","3.79","3.93","4.03","1.21"
"NYM","1280.1","9.50","3.04","1.22",".288","73.5%","3.84","3.98","3.96","1.22"
"MIA","1304.2","8.66","3.35","1.02",".285","72.2%","3.86","4.01","4.22","1.26"
"TOR","1292.1","9.37","2.97","1.34",".282","75.3%","3.87","4.15","4.03","1.22"
"OAK","1320.2","8.36","2.73","1.15",".290","74.0%","3.93","4.00","4.32","1.25"
"SDP","1321.0","9.57","3.19","1.25",".286","74.3%","3.95","4.10","4.02","1.24"
"ATL","1291.2","9.16","3.34","1.19",".283","74.0%","3.99","4.11","4.08","1.26"
"STL","1297.0","7.72","3.89","0.95",".272","72.6%","4.05","4.30","4.70","1.31"
"BOS","1322.0","9.61","3.44","1.12",".323","71.8%","4.28","3.97","4.09","1.38"
"SEA","1324.1","8.28","2.99","1.23",".291","70.8%","4.33","4.24","4.46","1.29"
"CLE","1284.0","9.02","3.42","1.39",".280","72.8%","4.34","4.44","4.26","1.28"
"DET","1315.2","8.04","3.61","1.29",".288","72.5%","4.34","4.61","4.62","1.36"
"CIN","1328.1","9.51","3.83","1.28",".294","72.7%","4.35","4.31","4.19","1.35"
"PHI","1305.2","9.42","3.18","1.32",".297","71.3%","4.47","4.20","4.00","1.30"
"LAA","1304.2","9.35","3.79","1.19",".306","69.7%","4.66","4.23","4.22","1.38"
"KCR","1307.1","8.65","3.87","1.24",".301","70.6%","4.70","4.45","4.54","1.40"
"COL","1288.1","8.26","3.50","1.28",".299","70.3%","4.76","4.47","4.37","1.38"
"WSN","1280.0","8.69","3.42","1.58",".287","70.7%","4.77","4.81","4.47","1.35"
"TEX","1312.1","7.80","3.23","1.49",".289","70.7%","4.79","4.78","4.57","1.35"
"CHC","1312.0","8.66","3.84","1.47",".292","71.0%","4.84","4.85","4.43","1.40"
"MIN","1312.1","8.30","3.08","1.55",".287","68.2%","4.89","4.70","4.45","1.32"
"PIT","1284.1","8.43","3.83","1.33",".299","69.9%","5.01","4.66","4.66","1.41"
"ARI","1303.0","7.78","3.54","1.46",".299","67.8%","5.19","4.89","4.87","1.44"
"BAL","1288.1","8.03","3.72","1.66",".307","66.2%","5.96","5.16","4.93","1.50"
