"Team","IP","K/9","BB/9","HR/9","BABIP","LOB%","ERA","FIP","xFIP","WHIP"
"CHC","55.0","9.33","3.11","0.49",".246","89.4%","1.31","2.96","3.69","1.02"
"NYM","49.0","9.00","4.04","0.55",".222","82.0%","1.84","3.39","3.85","1.04"
"CHW","58.1","10.95","2.62","0.93",".291","82.8%","2.31","3.21","3.46","1.10"
"DET","63.0","9.43","3.14","0.71",".271","79.7%","2.43","3.44","3.69","1.10"
"OAK","62.0","9.00","2.90","0.44",".281","73.4%","2.61","2.77","4.02","1.13"
"SDP","68.2","9.31","4.06","0.92",".237","77.6%","2.62","3.91","4.46","1.14"
"TBR","57.0","10.42","1.26","1.74",".248","88.1%","2.84","3.79","3.00","0.93"
"MIA","58.0","7.45","2.02","0.62",".248","69.9%","3.10","3.14","3.63","1.00"
"STL","63.0","9.14","4.43","0.57",".276","71.9%","3.14","3.68","4.24","1.32"
"MIL","61.0","9.74","2.80","0.74",".244","70.7%","3.25","3.11","3.67","1.02"
"KCR","52.1","9.80","6.02","0.52",".264","75.9%","3.27","3.81","4.48","1.38"
"PIT","49.0","8.08","2.76","1.47",".259","82.0%","3.31","4.49","4.08","1.18"
"SEA","61.0","8.56","3.54","0.59",".270","73.5%","3.39","3.45","4.43","1.16"
"NYY","49.2","7.25","2.90","1.99",".250","82.3%","3.62","5.54","4.66","1.23"
"PHI","51.0","10.06","4.06","0.71",".276","72.4%","3.71","3.50","4.06","1.20"
"BOS","41.0","9.88","3.73","0.88",".336","79.4%","3.73","3.59","4.12","1.44"
"TOR","48.0","10.88","4.31","0.75",".314","60.6%","3.75","3.29","3.85","1.33"
"LAA","52.0","9.69","4.50","1.04",".285","71.4%","3.98","4.03","4.05","1.33"
"MIN","55.0","9.98","2.78","0.82",".338","70.1%","4.09","3.07","3.91","1.33"
"COL","50.0","9.18","3.60","1.44",".256","75.3%","4.14","4.54","4.04","1.20"
"WSN","48.0","8.63","2.63","0.75",".350","72.1%","4.31","3.29","3.74","1.38"
"CLE","52.0","10.38","5.02","0.87",".295","68.2%","4.33","3.74","4.04","1.40"
"CIN","49.0","7.71","4.22","0.92",".255","66.7%","4.41","4.21","4.70","1.29"
"HOU","50.1","8.40","5.72","1.07",".246","59.5%","4.47","4.83","5.02","1.43"
"SFG","54.0","9.67","2.50","1.50",".305","70.7%","4.83","4.09","3.83","1.30"
"LAD","54.0","9.33","3.50","1.83",".254","66.5%","4.83","5.09","4.41","1.24"
"ATL","34.0","9.26","3.18","1.85",".227","54.5%","5.03","4.98","4.07","1.15"
"ARI","54.0","7.83","3.33","1.33",".288","62.5%","5.50","4.70","4.84","1.39"
"TEX","50.0","8.28","2.88","1.80",".299","64.8%","5.94","4.90","4.16","1.34"
"BAL","52.0","9.35","4.15","1.90",".338","67.5%","6.58","5.30","4.72","1.65"
