"Team","IP","K/9","BB/9","HR/9","BABIP","LOB%","ERA","FIP","xFIP","WHIP"
"SDP","480.1","10.40","3.20","0.99",".260","80.4%","2.60","3.51","3.58","1.10"
"NYM","382.0","10.13","3.02","0.73",".286","71.6%","3.09","3.09","3.40","1.13"
"CHW","436.1","10.31","3.09","1.01",".284","76.6%","3.22","3.44","3.64","1.18"
"LAD","467.0","10.14","2.83","1.10",".257","72.7%","3.22","3.54","3.57","1.07"
"NYY","461.1","9.95","2.63","1.13",".267","75.9%","3.22","3.53","3.64","1.08"
"SFG","461.0","8.86","2.81","1.05",".274","76.7%","3.34","3.74","3.81","1.16"
"MIA","457.2","8.71","2.93","0.81",".277","73.3%","3.40","3.51","3.96","1.16"
"TBR","483.0","9.37","2.72","1.12",".272","74.2%","3.48","3.69","3.72","1.12"
"MIL","463.0","10.32","3.38","1.19",".263","73.2%","3.73","3.86","3.64","1.15"
"CHC","453.1","9.25","3.69","1.17",".287","77.4%","3.75","4.24","4.07","1.30"
"CLE","433.2","9.90","3.90","1.27",".269","76.1%","3.84","4.16","3.93","1.25"
"STL","457.0","8.35","4.55","0.67",".270","71.9%","3.84","4.01","4.70","1.32"
"BOS","456.1","9.66","3.45","0.75",".319","72.3%","3.87","3.39","3.86","1.32"
"HOU","458.2","9.03","3.49","1.28",".263","73.5%","3.92","4.29","4.24","1.21"
"TOR","435.2","9.50","3.26","1.34",".291","74.9%","3.93","4.18","3.94","1.27"
"OAK","477.0","8.51","2.79","1.02",".300","71.7%","4.02","3.74","4.25","1.28"
"PHI","455.0","9.65","3.07","1.29",".298","73.7%","4.17","4.02","3.82","1.27"
"WSN","413.1","8.91","3.53","1.42",".274","74.5%","4.22","4.50","4.22","1.27"
"ATL","439.1","9.42","3.61","1.37",".298","71.2%","4.38","4.38","4.06","1.35"
"SEA","458.2","8.06","3.45","1.10",".281","69.6%","4.40","4.25","4.44","1.29"
"KCR","432.2","9.34","4.20","0.96",".305","70.2%","4.41","3.95","4.29","1.40"
"DET","448.2","8.38","3.73","1.18",".286","70.6%","4.41","4.39","4.41","1.35"
"TEX","476.1","8.28","3.16","1.25",".302","72.2%","4.48","4.24","4.15","1.35"
"MIN","443.1","8.77","3.29","1.46",".291","68.9%","4.63","4.52","4.22","1.33"
"PIT","439.0","8.86","3.57","1.31",".287","69.7%","4.67","4.38","4.22","1.32"
"COL","445.1","8.02","4.02","1.25",".299","68.7%","4.85","4.63","4.43","1.45"
"CIN","444.0","9.75","4.34","1.28",".289","66.7%","4.99","4.39","4.21","1.38"
"ARI","461.2","8.32","3.33","1.38",".301","67.6%","5.05","4.54","4.45","1.40"
"BAL","446.0","8.94","3.43","1.57",".301","70.8%","5.07","4.68","4.36","1.39"
"LAA","452.2","9.98","4.20","1.43",".311","68.7%","5.13","4.49","4.00","1.45"
