"Team","PA","R","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","O-Swing%","Z-Contact%","HardHit%"
"BOS","1935","267","22","7.2%","23.5%",".186",".314",".261",".321",".447",".332","110","4.2","35.1%","82.8%","40.4%"
"CHW","1911","255","22","10.6%","23.1%",".153",".316",".256",".344",".409",".332","115","5.9","33.1%","84.8%","38.1%"
"TOR","1894","252","28","7.9%","22.2%",".180",".298",".257",".323",".437",".330","110","5.5","31.5%","85.8%","40.7%"
"HOU","1988","266","13","8.7%","17.8%",".159",".299",".266",".334",".424",".330","116","-4.2","29.4%","88.7%","39.8%"
"LAD","2051","269","17","11.2%","23.4%",".167",".295",".242",".340",".409",".329","112","-0.1","26.3%","84.8%","40.5%"
"ATL","1866","243","14","9.3%","24.9%",".203",".275",".235",".316",".438",".326","104","-2.3","30.2%","82.6%","42.8%"
"CIN","1914","240","10","8.5%","23.4%",".176",".291",".246",".321",".422",".325","103","-5.9","30.4%","84.0%","39.7%"
"MIN","1922","240","16","9.0%","23.2%",".183",".283",".241",".316",".424",".322","106","3.8","30.4%","83.0%","42.7%"
"CHC","1921","237","31","9.4%","25.1%",".164",".297",".240",".323",".405",".319","102","5.2","31.9%","84.7%","40.0%"
"SFG","1949","250","22","10.5%","26.2%",".182",".283",".231",".317",".413",".318","103","-8.5","26.6%","82.7%","41.5%"
"TBR","2056","264","30","10.0%","27.5%",".167",".298",".231",".318",".398",".315","106","-1.7","30.5%","79.7%","39.2%"
"OAK","1976","224","22","9.8%","24.0%",".177",".268",".227",".313",".403",".314","106","-0.5","28.1%","84.6%","39.6%"
"LAA","1901","234","23","7.1%","23.7%",".167",".296",".247",".308",".414",".314","102","-2.6","32.3%","84.7%","35.7%"
"WSN","1769","185","22","7.9%","22.4%",".140",".307",".253",".321",".393",".313","96","-3.0","28.3%","85.4%","42.2%"
"SDP","2043","258","59","10.6%","21.2%",".143",".284",".239",".326",".382",".312","100","5.6","26.0%","85.7%","40.4%"
"NYY","1914","199","12","10.7%","24.9%",".145",".281",".229",".316",".374",".307","97","-7.0","28.0%","81.9%","42.3%"
"ARI","2032","228","14","9.1%","24.0%",".154",".287",".232",".310",".386",".306","92","0.3","29.3%","81.7%","35.9%"
"STL","1928","227","27","8.4%","22.4%",".161",".272",".232",".306",".393",".304","95","2.3","31.5%","84.4%","38.5%"
"TEX","2001","219","36","8.4%","25.9%",".148",".291",".233",".305",".381",".302","94","-2.4","31.6%","80.4%","39.5%"
"BAL","1906","199","16","7.9%","23.7%",".153",".284",".233",".299",".386",".301","93","-2.5","34.4%","83.2%","34.9%"
"PHI","1923","207","32","8.8%","27.5%",".143",".301",".232",".308",".375",".300","89","2.4","30.5%","80.5%","39.1%"
"COL","1909","224","30","8.2%","23.8%",".148",".289",".235",".301",".383",".298","74","8.0","32.5%","85.1%","34.6%"
"KCR","1817","205","37","8.0%","23.1%",".140",".284",".234",".300",".374",".297","88","3.8","34.4%","84.3%","38.5%"
"NYM","1615","161","15","9.3%","23.7%",".126",".283",".228",".311",".354",".296","92","-4.3","32.4%","83.9%","36.9%"
"CLE","1784","193","24","8.7%","23.4%",".164",".253",".214",".289",".378",".293","85","-1.6","31.6%","83.8%","40.8%"
"MIA","1912","201","32","7.8%","26.7%",".133",".300",".232",".299",".365",".292","89","-2.1","33.2%","82.8%","39.2%"
"MIL","1937","197","25","9.2%","26.6%",".146",".267",".212",".298",".358",".291","83","-1.0","30.1%","83.1%","40.0%"
"PIT","1876","172","16","8.3%","23.3%",".122",".286",".229",".301",".352",".290","84","2.2","31.9%","86.0%","32.4%"
"DET","1875","186","26","8.3%","28.3%",".133",".297",".225",".293",".358",".288","82","-2.6","33.7%","81.2%","39.4%"
"SEA","1865","198","22","8.9%","26.2%",".158",".248",".203",".281",".361",".284","85","3.1","29.8%","81.9%","36.5%"
