"Team","PA","R","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","O-Swing%","Z-Contact%","HardHit%"
"CIN","295","44","1","9.5%","20.7%",".270",".326",".293",".369",".563",".391","143","-1.5","30.7%","84.2%","38.8%"
"HOU","253","45","2","7.5%","18.6%",".233",".331",".302",".360",".534",".382","149","0.0","30.4%","86.6%","42.7%"
"MIN","255","37","0","9.0%","18.4%",".227",".293",".276",".353",".502",".365","133","-1.2","28.7%","88.4%","40.0%"
"WSN","263","35","0","10.6%","17.1%",".178",".333",".293",".376",".471",".359","121","-1.4","33.2%","87.7%","38.5%"
"TOR","246","37","4","8.9%","19.1%",".212",".309",".275",".346",".486",".358","126","0.3","31.0%","88.0%","41.1%"
"PHI","269","39","3","11.2%","16.7%",".185",".302",".275",".358",".459",".351","120","0.3","28.1%","85.0%","39.6%"
"CLE","183","26","4","7.1%","23.0%",".265",".268",".247",".315",".512",".350","119","0.0","26.8%","82.1%","41.1%"
"MIL","244","40","2","7.0%","20.5%",".182",".331",".286",".346",".468",".349","117","-0.8","31.9%","85.8%","42.8%"
"SFG","225","26","3","8.9%","24.9%",".172",".353",".278",".351",".449",".343","116","0.0","28.5%","85.9%","38.4%"
"SEA","242","37","3","11.2%","21.1%",".161",".305",".261",".355",".422",".343","122","0.6","28.1%","85.6%","34.4%"
"TBR","221","37","1","9.0%","28.5%",".227",".304",".247",".321",".475",".339","121","0.5","31.8%","80.7%","40.4%"
"COL","275","36","4","7.6%","27.3%",".203",".319",".259",".324",".462",".339","98","1.6","36.2%","83.6%","39.2%"
"DET","279","45","0","9.3%","16.5%",".189",".291",".267",".335",".457",".337","113","-1.0","30.7%","87.7%","40.5%"
"LAD","250","35","5","6.8%","20.8%",".129",".351",".286",".351",".415",".336","112","0.5","29.6%","87.5%","38.9%"
"CHC","266","30","2","9.4%","22.6%",".200",".282",".247",".327",".447",".336","111","-1.8","25.0%","87.1%","41.0%"
"SDP","217","29","1","8.3%","24.4%",".169",".331",".267",".330",".436",".332","110","-0.1","30.8%","83.5%","37.9%"
"ATL","291","35","1","6.5%","26.8%",".160",".335",".265",".323",".425",".323","100","0.4","35.0%","82.6%","41.1%"
"OAK","237","28","6","8.9%","20.7%",".115",".295",".245",".326",".361",".304","96","0.7","32.3%","85.5%","38.3%"
"BOS","250","21","0","8.0%","25.2%",".132",".325",".251",".316",".383",".304","88","-0.3","36.2%","85.5%","38.8%"
"BAL","223","24","2","10.3%","17.5%",".182",".232",".217",".302",".399",".303","92","0.2","29.0%","83.3%","40.6%"
"STL","180","19","7","7.8%","23.9%",".131",".313",".250",".315",".381",".303","90","1.4","27.5%","87.4%","39.7%"
"TEX","173","21","3","5.8%","19.1%",".200",".233",".225",".273",".425",".299","89","0.3","33.1%","85.4%","34.9%"
"MIA","192","18","5","7.3%","21.4%",".114",".292",".240",".307",".354",".294","87","0.6","37.2%","83.0%","35.1%"
"CHW","254","29","1","9.4%","22.4%",".159",".238",".208",".295",".367",".292","85","-0.5","33.2%","88.1%","33.7%"
"NYM","261","19","0","6.9%","22.2%",".121",".286",".234",".293",".356",".286","81","-1.3","32.2%","86.4%","38.8%"
"LAA","249","21","2","8.8%","24.5%",".112",".266",".214",".289",".326",".275","74","-0.1","33.1%","83.8%","25.6%"
"NYY","227","17","3","10.1%","28.6%",".091",".292",".208",".305",".299",".274","72","-0.2","29.4%","82.9%","40.3%"
"ARI","177","16","2","10.2%","26.0%",".142",".241",".194",".273",".335",".268","64","0.3","33.9%","89.8%","26.5%"
"KCR","240","20","4","4.6%","22.9%",".167",".230",".204",".251",".371",".268","66","0.1","39.3%","85.3%","37.6%"
"PIT","209","17","0","7.7%","18.7%",".110",".233",".199",".263",".309",".254","58","-0.9","28.0%","86.4%","37.3%"
