"Team","PA","R","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","O-Swing%","Z-Contact%","HardHit%"
"TOR","3820","528","48","8.0%","21.4%",".193",".303",".265",".328",".458",".338","113","-3.3","31.5%","86.4%","41.5%"
"HOU","4104","580","39","9.3%","19.4%",".173",".303",".267",".341",".440",".337","119","-6.9","28.9%","88.0%","40.3%"
"LAD","4168","560","36","10.2%","22.8%",".178",".292",".246",".336",".423",".330","109","3.0","27.4%","85.0%","40.1%"
"SFG","3975","510","45","10.1%","24.7%",".192",".295",".245",".328",".438",".330","108","-7.7","27.6%","83.7%","39.2%"
"CIN","4093","521","25","9.1%","23.1%",".172",".302",".252",".333",".423",".329","102","-11.6","30.8%","84.9%","38.1%"
"CHW","3942","523","42","10.0%","23.4%",".163",".307",".251",".334",".414",".326","109","3.4","33.0%","85.0%","38.9%"
"BOS","4003","530","32","7.7%","23.2%",".182",".306",".256",".320",".438",".326","103","2.0","34.9%","83.0%","41.8%"
"WSN","3883","460","44","8.4%","21.9%",".161",".309",".259",".332",".420",".326","100","-14.1","29.1%","85.6%","40.9%"
"ATL","3979","507","45","9.4%","24.6%",".185",".291",".242",".321",".428",".322","99","5.3","31.4%","82.7%","41.0%"
"MIN","3990","490","37","8.7%","22.6%",".185",".283",".244",".317",".429",".322","104","-2.3","31.3%","84.3%","41.8%"
"LAA","3908","490","39","7.1%","23.0%",".177",".302",".254",".315",".431",".321","105","0.3","33.3%","85.3%","36.2%"
"SDP","4103","520","92","10.2%","22.1%",".166",".289",".245",".328",".411",".320","102","1.1","27.3%","85.9%","41.0%"
"TBR","4059","531","62","9.7%","26.1%",".173",".291",".234",".316",".407",".314","103","7.9","30.4%","80.5%","39.6%"
"PHI","3946","478","62","9.5%","24.1%",".160",".296",".242",".320",".402",".314","95","7.7","30.7%","83.0%","37.4%"
"NYY","3890","425","36","10.8%","24.7%",".157",".286",".234",".323",".391",".314","99","-10.3","28.5%","82.9%","41.9%"
"OAK","4003","469","48","8.9%","23.1%",".168",".276",".233",".312",".402",".311","101","2.9","29.3%","85.0%","40.0%"
"DET","3970","477","61","8.7%","25.6%",".158",".300",".241",".311",".399",".309","94","0.8","32.5%","82.8%","38.0%"
"MIL","4011","479","54","10.0%","25.4%",".161",".281",".227",".316",".388",".308","91","6.7","29.6%","83.3%","38.9%"
"COL","3929","459","62","8.2%","22.8%",".153",".296",".244",".312",".397",".307","76","18.3","32.8%","85.2%","35.6%"
"CHC","3926","451","54","8.7%","26.0%",".171",".278",".227",".306",".398",".307","91","-3.7","31.6%","83.5%","39.8%"
"NYM","3686","397","27","8.8%","23.8%",".149",".288",".236",".314",".385",".307","95","-16.0","32.5%","84.6%","37.8%"
"BAL","3838","432","31","7.8%","23.7%",".159",".284",".236",".302",".395",".303","92","-2.1","33.9%","83.8%","36.0%"
"CLE","3686","441","53","7.7%","23.7%",".171",".271",".230",".297",".401",".302","88","5.3","32.5%","83.4%","40.0%"
"KCR","3805","428","65","7.3%","22.1%",".149",".288",".242",".303",".392",".302","89","4.0","34.2%","85.2%","39.2%"
"STL","3866","422","56","8.0%","22.2%",".154",".277",".234",".305",".388",".301","89","4.1","31.3%","84.3%","37.8%"
"ARI","4025","438","30","9.1%","23.7%",".145",".289",".233",".309",".377",".301","85","2.7","30.5%","84.8%","35.7%"
"SEA","3860","448","45","8.9%","26.1%",".161",".270",".221",".298",".382",".298","92","0.8","30.4%","82.8%","36.5%"
"PIT","3886","384","33","8.5%","21.8%",".129",".288",".237",".308",".366",".296","84","2.2","30.5%","87.2%","33.3%"
"MIA","3887","409","76","7.9%","25.9%",".138",".297",".234",".302",".372",".295","87","3.6","33.3%","83.9%","37.5%"
"TEX","3846","405","58","8.0%","24.1%",".148",".272",".226",".295",".374",".293","85","-4.1","32.2%","82.4%","36.3%"
