"Team","IP","K/9","BB/9","HR/9","BABIP","LOB%","ERA","FIP","xFIP","WHIP"
"LAD","52.1","9.29","3.78","0.34",".274","78.1%","2.24","2.97","3.76","1.17"
"TOR","57.0","8.53","2.05","0.63",".269","82.5%","2.37","3.12","3.99","1.05"
"TBR","55.0","10.80","3.60","0.65",".316","82.6%","2.45","3.01","4.01","1.25"
"OAK","52.0","9.35","2.42","0.52",".272","78.3%","2.60","2.64","3.53","1.04"
"MIL","53.0","8.15","2.04","0.85",".264","80.4%","2.89","3.42","3.74","1.04"
"ATL","66.0","8.32","2.32","1.09",".295","83.6%","3.14","3.84","4.21","1.20"
"CIN","62.1","7.94","3.90","1.44",".262","85.5%","3.18","4.92","4.75","1.28"
"MIA","44.1","9.95","4.47","1.22",".273","76.0%","3.45","4.40","4.33","1.31"
"NYY","54.0","10.83","3.17","0.83",".270","71.7%","3.50","3.12","3.50","1.07"
"KCR","61.0","7.38","3.10","1.18",".226","74.8%","3.69","4.30","4.56","1.07"
"TEX","46.0","7.24","3.72","0.98",".276","70.4%","3.72","4.33","5.05","1.28"
"STL","44.0","6.95","2.25","1.43",".266","74.7%","3.89","4.57","4.65","1.18"
"CHW","61.2","8.90","2.04","1.61",".272","70.7%","4.09","4.32","3.86","1.12"
"SFG","54.0","8.67","2.17","1.33",".290","72.2%","4.17","3.99","3.91","1.22"
"LAA","63.0","8.86","3.57","1.14",".295","71.6%","4.29","4.41","4.43","1.38"
"SDP","54.0","10.33","2.83","1.67",".321","73.7%","4.33","4.21","3.49","1.31"
"DET","65.2","6.44","4.25","2.06",".247","78.2%","4.52","6.39","5.81","1.42"
"CLE","43.1","9.14","4.15","2.08",".270","78.4%","4.78","5.79","4.76","1.41"
"NYM","69.0","9.91","3.65","1.83",".304","77.1%","4.96","4.94","4.47","1.41"
"COL","59.0","9.15","3.97","1.53",".313","72.0%","5.19","4.80","4.08","1.46"
"WSN","58.2","8.13","3.38","1.99",".268","71.7%","5.22","5.46","4.55","1.35"
"PHI","58.1","7.71","4.01","0.77",".330","65.9%","5.25","4.00","4.78","1.54"
"BAL","52.0","6.58","3.63","1.21",".302","71.0%","5.37","4.89","5.71","1.52"
"CHC","61.0","7.23","3.69","1.92",".321","74.6%","5.75","5.80","4.43","1.62"
"HOU","51.0","10.94","4.24","2.29",".350","68.8%","6.18","5.63","4.31","1.67"
"MIN","55.0","7.36","3.60","0.98",".321","55.1%","6.38","4.19","4.82","1.45"
"ARI","45.0","7.80","4.00","1.00",".338","63.4%","6.40","4.54","5.75","1.62"
"BOS","56.0","8.84","2.73","1.61",".331","61.4%","6.43","4.59","4.21","1.45"
"SEA","53.0","6.96","2.21","2.21",".307","62.5%","6.62","5.65","4.68","1.45"
"PIT","54.0","7.33","4.00","0.83",".358","56.8%","7.00","4.18","4.76","1.72"
