"Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR"
"Astros","2215","6148","277","893","864","61","10.0 %","18.2 %",".221",".299",".276",".354",".497",".356","126","-10.9","191.9","-3.1","39.4"
"Dodgers","2299","6051","268","853","828","55","9.7 %","21.4 %",".214",".291",".258",".338",".472",".338","111","11.0","98.0","50.4","33.4"
"Yankees","2204","6056","298","923","884","55","9.2 %","22.7 %",".224",".308",".269",".341",".493",".348","117","-0.9","134.1","-13.5","32.5"
"Twins","2231","6169","297","906","875","26","8.3 %","20.9 %",".225",".300",".270",".338",".495",".347","116","-8.9","116.3","-18.7","30.6"
"Athletics","2268","6089","250","835","792","46","9.2 %","21.5 %",".201",".283",".250",".328",".450",".328","108","-1.9","57.2","17.4","28.1"
"Red Sox","2341","6198","237","860","820","63","9.1 %","21.3 %",".198",".310",".268",".339",".467",".338","105","-8.1","33.7","13.6","25.9"
"Braves","2323","6092","243","831","801","86","9.8 %","23.2 %",".196",".304",".257",".336",".453",".332","102","8.8","23.4","44.6","25.8"
"Cubs","2330","5966","249","789","760","44","9.4 %","23.5 %",".201",".296",".253",".332",".454",".330","102","-2.6","11.8","49.2","24.7"
"Nationals","2208","5966","218","819","773","109","9.2 %","20.7 %",".188",".303",".263",".340",".451",".333","102","2.2","14.5","29.9","23.1"
"Brewers","2404","6056","242","739","715","100","9.9 %","24.7 %",".192",".296",".247",".329",".439",".324","97","9.4","-17.8","59.2","23.1"
"Diamondbacks","2307","6055","213","781","749","87","8.4 %","21.4 %",".184",".293",".253",".323",".437",".320","95","18.9","-25.5","66.8","23.1"
"Rays","2343","6063","206","746","708","92","8.6 %","23.5 %",".177",".306",".254",".326",".431",".321","102","8.5","26.2","-10.5","22.3"
"Mets","2326","6015","231","756","732","54","8.1 %","21.9 %",".185",".298",".257",".328",".441",".325","104","-15.8","13.5","18.4","22.0"
"Phillies","2302","5947","204","744","713","75","9.1 %","23.1 %",".182",".294",".247",".321",".428",".316","92","15.0","-49.4","67.7","20.5"
"Cardinals","2306","5885","197","729","683","112","9.0 %","22.8 %",".168",".292",".246",".321",".414",".313","94","13.6","-34.9","54.0","20.4"
"Angels","2320","6031","215","752","718","64","9.5 %","20.2 %",".176",".282",".249",".327",".425",".319","100","-6.4","-7.7","-4.0","19.6"
"Indians","2214","5904","213","744","708","102","9.2 %","21.6 %",".182",".291",".251",".325",".434",".320","94","3.8","-41.6","31.7","19.3"
"Mariners","2248","6000","238","750","722","113","9.6 %","25.4 %",".191",".288",".240",".319",".431",".318","100","11.6","12.7","-55.3","16.5"
"Padres","2310","5804","215","667","639","68","8.4 %","26.1 %",".174",".293",".239",".309",".413",".307","89","-12.1","-98.6","48.5","13.4"
"Pirates","2350","5999","160","727","698","62","6.9 %","19.6 %",".157",".309",".265",".322",".422",".314","93","-3.4","-61.4","-24.1","10.6"
"Blue Jays","2246","5851","234","694","665","45","8.3 %","24.9 %",".190",".281",".237",".304",".426",".309","91","-6.8","-75.1","-24.4","10.4"
"Giants","2367","5928","161","661","639","43","7.6 %","23.3 %",".154",".291",".240",".303",".394",".296","83","-3.8","-134.2","48.9","10.4"
"Reds","2358","5853","221","682","661","77","7.9 %","23.6 %",".178",".288",".244",".314",".423",".312","87","-15.2","-114.0","29.8","10.3"
"Rockies","2330","6013","212","805","776","62","7.7 %","23.7 %",".190",".322",".267",".327",".457",".328","86","2.0","-110.1","15.3","9.8"
"White Sox","2218","5823","173","677","649","62","6.2 %","25.6 %",".152",".329",".261",".313",".412",".308","92","5.8","-54.2","-51.5","9.7"
"Royals","2192","5905","159","670","635","116","7.6 %","23.0 %",".153",".299",".246",".309",".400",".301","84","-2.5","-126.1","9.7","9.0"
"Rangers","2190","5963","215","768","725","117","8.5 %","25.6 %",".182",".303",".246",".317",".429",".315","86","12.4","-93.7","-31.6","8.3"
"Orioles","2290","5918","200","689","658","79","7.3 %","23.2 %",".166",".292",".246",".308",".412",".306","87","1.0","-100.4","-62.5","4.5"
"Marlins","2280","5763","134","585","564","48","6.7 %","24.2 %",".132",".301",".240",".299",".372",".288","78","-22.3","-188.5","28.6","2.7"
"Tigers","2232","5864","146","570","545","55","6.5 %","26.2 %",".148",".309",".242",".296",".390",".291","78","-3.3","-170.5","-50.1","-1.2"
