"Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR"
"Brewers","6","1","3","35","7","63.0","11.29","1.86","0.57",".223","89.6 %","48.9 %","8.3 %","0.86","2.16","2.85","2.0"
"Yankees","4","2","0","28","6","54.0","12.83","2.17","0.83",".319","88.7 %","43.4 %","12.5 %","1.83","2.52","2.79","1.7"
"Padres","2","5","1","35","7","61.0","12.39","3.25","0.89",".275","62.1 %","38.2 %","10.7 %","4.43","2.88","3.42","1.5"
"Red Sox","2","4","1","49","6","62.2","12.06","3.88","1.01",".353","67.3 %","43.8 %","13.0 %","4.45","3.38","3.64","1.4"
"Indians","5","1","1","26","6","55.0","7.69","1.80","0.82",".231","81.8 %","38.9 %","8.3 %","2.29","3.35","4.34","1.4"
"Tigers","2","5","2","35","7","61.2","9.63","2.48","1.02",".414","73.1 %","44.6 %","9.5 %","4.96","3.43","4.34","1.4"
"Athletics","4","2","1","25","6","56.0","10.29","1.29","1.61",".250","89.7 %","35.0 %","17.5 %","2.73","3.84","3.55","1.3"
"Braves","3","3","1","27","6","54.0","7.83","1.17","0.67",".259","74.4 %","45.9 %","8.0 %","2.67","2.94","3.82","1.3"
"Astros","4","1","3","24","5","45.0","10.80","3.00","1.00",".324","74.0 %","42.2 %","11.9 %","3.80","3.33","3.74","1.2"
"Mariners","4","2","3","31","6","58.0","6.05","2.33","0.62",".235","76.2 %","48.8 %","7.0 %","2.95","3.70","4.76","1.1"
"Nationals","3","3","2","25","6","52.0","10.04","3.63","0.87",".278","71.2 %","43.8 %","11.6 %","3.63","3.62","4.02","1.1"
"White Sox","3","3","2","31","6","54.1","6.96","2.82","0.99",".319","75.4 %","46.4 %","11.1 %","3.98","4.10","4.65","1.1"
"Twins","5","2","3","41","7","66.0","11.18","3.14","1.36",".394","69.9 %","48.9 %","21.7 %","5.32","3.89","3.30","1.0"
"Mets","4","2","1","26","6","52.0","8.83","2.60","1.38",".303","82.8 %","41.4 %","13.8 %","3.46","4.18","4.40","1.0"
"Reds","3","3","3","26","6","54.0","9.50","3.17","1.33",".241","68.8 %","47.6 %","18.6 %","4.50","4.37","4.03","0.9"
"Cubs","1","6","0","44","7","65.0","11.22","4.43","0.97",".325","78.4 %","48.4 %","14.6 %","3.88","3.84","3.90","0.9"
"Cardinals","6","1","6","35","7","64.0","5.63","2.95","0.98",".273","80.6 %","48.0 %","10.6 %","3.09","4.47","5.10","0.8"
"Rays","3","2","1","38","5","50.0","11.16","2.52","1.26",".286","61.8 %","40.5 %","14.6 %","4.32","3.58","3.67","0.8"
"Orioles","2","5","1","34","7","66.0","7.64","3.27","1.50",".286","64.4 %","43.8 %","13.8 %","5.32","4.92","5.16","0.7"
"Diamondbacks","4","2","3","31","6","54.0","9.50","3.83","1.17",".311","72.7 %","43.0 %","14.0 %","4.17","4.29","4.45","0.7"
"Phillies","3","3","2","28","6","51.0","9.53","3.53","1.24",".267","64.6 %","49.6 %","15.6 %","4.06","4.12","4.09","0.6"
"Giants","3","3","1","32","6","57.0","8.37","4.89","1.11",".256","71.9 %","46.3 %","11.7 %","4.58","4.59","5.09","0.5"
"Royals","2","5","1","39","7","60.2","7.42","4.45","1.48",".261","68.9 %","45.9 %","13.9 %","5.34","5.30","5.52","0.3"
"Marlins","2","4","1","34","6","53.0","6.96","3.91","1.19",".319","64.8 %","35.5 %","10.3 %","6.11","4.92","5.75","0.2"
"Blue Jays","4","2","2","33","6","52.0","8.83","2.77","1.90",".300","63.8 %","37.6 %","15.7 %","6.23","5.10","5.03","0.2"
"Pirates","0","6","0","33","6","53.0","9.85","5.09","1.70",".336","65.8 %","47.9 %","20.4 %","5.94","5.35","4.74","0.2"
"Rangers","1","4","0","23","5","41.0","10.76","5.49","1.98",".330","71.2 %","36.4 %","19.1 %","6.59","5.66","5.09","0.1"
"Dodgers","3","2","1","30","5","47.0","9.77","2.49","2.11",".288","76.2 %","42.9 %","26.2 %","4.79","5.05","3.79","0.0"
"Rockies","2","4","1","34","6","52.0","7.44","3.81","2.25",".311","70.8 %","45.1 %","25.5 %","6.06","6.32","5.02","-0.4"
"Angels","2","4","1","30","6","50.0","7.92","3.78","2.88",".277","65.4 %","39.6 %","24.6 %","7.20","7.06","5.49","-0.5"
