"Team","Inn","rSZ","rCERA","rSB","rGDP","rARM","rGFP","rPM","rTS","DRS","BIZ","Plays","RZR","OOZ","FSR","FRM","ARM","DPR","RngR","ErrR","UZR","UZR/150","Def"
"Athletics","12720.0","-9","-4","0","-7","9","-5","35","12","34","2035","1677",".824","516","","-7.6","9.2","-1.5","14.7","16.4","38.9","6.4","40.9"
"Indians","12498.0","20","6","0","-1","8","13","13","19","78","1797","1485",".826","530","","13.0","12.1","-1.0","11.9","10.7","33.7","7.4","39.7"
"Diamondbacks","12609.0","4","-1","2","3","7","11","43","43","113","1776","1457",".820","655","","5.3","11.2","-0.5","6.1","4.7","21.5","5.3","39.1"
"Phillies","12426.0","1","-1","9","-3","6","-4","22","7","43","1914","1546",".808","511","","6.4","9.7","-6.9","11.7","7.1","21.5","4.3","34.5"
"Cardinals","12432.0","-14","0","2","2","4","-2","59","28","92","1839","1510",".821","541","","-12.6","3.9","5.3","7.7","11.6","28.5","5.4","34.5"
"Royals","12438.0","-3","2","3","0","-3","5","-2","1","4","2057","1642",".798","572","","-0.3","-2.4","4.9","2.1","16.1","20.7","2.5","26.7"
"Braves","12663.0","14","-1","-2","-1","1","0","27","1","35","1949","1557",".799","532","","16.5","3.7","0.5","-28.1","14.0","-10.0","-0.4","19.0"
"Red Sox","12690.0","10","1","1","-5","12","-3","-48","-1","-31","1840","1516",".824","479","","14.5","15.2","-5.4","-4.3","6.8","12.2","4.0","15.2"
"Angels","12471.0","-5","0","-2","0","-7","-7","13","14","4","1915","1564",".817","535","","-4.8","5.5","1.4","2.4","8.1","17.4","3.2","14.4"
"Cubs","12528.0","-1","3","1","7","3","3","-11","-3","-2","1943","1581",".814","486","","-6.1","-0.9","6.0","1.6","7.6","14.3","1.8","13.3"
"Rays","12774.0","6","-1","0","0","5","5","21","23","56","1731","1378",".796","599","","4.1","6.2","-0.5","1.6","-6.9","0.5","1.2","10.6"
"Astros","12651.0","-1","-3","-2","-4","-1","25","37","34","78","1686","1369",".812","629","","0.7","-0.7","-6.0","15.3","4.1","12.6","1.3","6.6"
"Giants","12672.0","13","-1","0","-8","0","1","39","9","51","1941","1582",".815","550","","6.8","-5.3","-4.4","16.6","1.6","8.4","-0.2","6.4"
"Yankees","12591.0","0","-1","2","1","1","3","-3","-9","-9","1797","1404",".781","616","","-6.4","-0.5","1.9","3.2","-0.2","4.3","0.7","4.3"
"Marlins","12390.0","0","-5","0","1","-11","1","10","12","7","1787","1449",".811","547","","-5.5","2.6","1.9","5.0","-8.5","1.0","1.0","2.0"
"Padres","12423.0","24","4","-1","-3","-2","-11","9","-9","5","1862","1482",".796","549","","15.8","-6.0","-2.0","11.6","-2.6","1.0","-1.5","1.0"
"Brewers","12630.0","14","-3","-4","0","-2","9","24","1","31","1753","1403",".800","581","","21.4","-0.8","2.1","12.1","-5.5","7.9","1.3","0.9"
"Twins","12717.0","1","-1","-5","0","13","0","-10","6","5","1872","1485",".793","623","","3.3","7.6","0.0","11.5","-21.6","-2.6","0.4","-1.0"
"Nationals","12306.0","-10","2","-3","0","7","3","-15","1","-12","1757","1455",".828","549","","-6.0","1.3","-4.8","-5.7","8.2","-1.0","-0.2","-3.0"
"Dodgers","12525.0","11","1","-1","4","8","7","62","47","135","1692","1373",".812","611","","10.8","5.8","-1.0","9.5","-15.8","-1.4","0.9","-3.4"
"Rockies","12459.0","-15","-1","2","5","-12","4","-2","12","0","1972","1576",".799","604","","-12.0","-12.6","0.6","5.7","-5.1","-11.4","-3.5","-6.4"
"Rangers","12456.0","-10","3","-2","-1","-6","-10","-25","13","-37","2007","1603",".799","514","","-10.6","-10.5","-0.4","2.3","2.5","-6.0","-2.4","-8.0"
"Reds","12432.0","5","1","-4","4","4","2","34","15","54","1732","1380",".797","565","","2.3","-3.2","1.9","-2.1","-0.1","-3.5","-1.0","-14.5"
"Blue Jays","12423.0","11","4","3","-3","-4","-2","-29","12","-10","1877","1490",".794","595","","10.7","-2.4","-3.2","-20.3","2.7","-23.1","-3.9","-16.1"
"White Sox","12228.0","-16","3","1","8","-4","-3","-61","11","-61","1850","1467",".793","580","","-17.0","-2.2","5.7","-12.7","-11.4","-20.5","-3.1","-21.5"
"Tigers","12429.0","-5","2","-2","-4","-13","-9","-48","4","-78","1985","1539",".775","566","","-9.4","-13.7","-1.5","-11.7","4.3","-22.6","-5.4","-25.6"
"Mets","12546.0","-11","-2","-2","4","4","-9","-62","-2","-90","1878","1517",".808","506","","-5.4","0.4","4.3","-20.1","1.7","-13.7","-1.6","-29.7"
"Orioles","12468.0","-20","0","0","8","-15","-11","-49","-15","-104","1916","1548",".808","698","","-17.6","-18.1","5.8","-3.6","-14.7","-30.6","-6.8","-33.6"
"Mariners","12468.0","-7","-3","1","-5","1","-14","-54","0","-87","2061","1642",".797","581","","-5.9","-9.2","-3.4","-12.6","-10.6","-35.9","-6.2","-37.9"
"Pirates","12447.0","-8","-6","1","3","-3","-1","-42","-6","-63","1884","1475",".783","517","","-7.8","-5.9","1.3","-31.5","-16.7","-52.8","-9.0","-50.8"
