"Team","IP","K/9","BB/9","HR/9","BABIP","LOB%","ERA","FIP","xFIP","WHIP"
"LAD","900.1","8.92","2.49","0.90",".267","77.0%","2.97","3.42","3.68","1.08"
"HOU","912.2","9.07","2.92","0.89",".260","76.2%","3.04","3.51","3.79","1.10"
"NYY","925.0","9.26","2.61","0.96",".269","77.7%","3.19","3.45","3.53","1.10"
"TBR","907.2","8.70","2.49","1.13",".279","74.3%","3.45","3.81","3.79","1.16"
"NYM","901.2","9.58","2.85","1.08",".290","76.5%","3.54","3.65","3.54","1.18"
"ATL","923.1","9.58","3.21","0.85",".293","72.9%","3.60","3.42","3.63","1.22"
"SEA","915.0","8.41","2.89","1.25",".277","77.4%","3.64","4.13","4.03","1.22"
"PHI","909.0","8.95","2.93","0.97",".290","72.3%","3.76","3.67","3.75","1.21"
"SDP","920.0","9.01","3.09","1.01",".280","73.0%","3.77","3.75","3.81","1.20"
"MIL","905.2","9.64","3.29","1.12",".289","72.7%","3.85","3.82","3.66","1.25"
"STL","900.2","7.44","3.14","1.03",".281","75.0%","3.85","4.14","4.09","1.26"
"SFG","901.0","8.48","2.82","0.82",".304","69.4%","3.87","3.46","3.70","1.27"
"CLE","891.1","8.31","2.96","1.10",".284","72.1%","3.89","3.98","4.00","1.24"
"TOR","907.0","8.61","2.65","1.20",".294","73.4%","3.92","3.97","3.84","1.23"
"MIA","904.2","8.83","3.16","1.06",".290","72.0%","3.92","3.92","3.80","1.25"
"BAL","902.2","7.72","2.84","1.12",".296","74.0%","3.93","4.11","4.14","1.30"
"LAA","899.2","8.79","3.28","1.09",".284","72.0%","4.00","3.96","3.95","1.26"
"CHW","906.0","9.09","3.55","1.11",".299","71.9%","4.01","3.98","3.95","1.33"
"DET","896.0","7.60","3.11","0.99",".281","69.4%","4.05","4.01","4.30","1.27"
"MIN","893.0","8.18","3.05","1.27",".276","73.7%","4.05","4.27","4.19","1.25"
"TEX","898.0","8.27","3.54","1.04",".287","71.8%","4.06","4.12","4.09","1.31"
"ARI","888.2","7.41","3.09","1.08",".284","70.1%","4.18","4.21","4.38","1.29"
"OAK","911.2","7.73","3.22","1.14",".283","71.3%","4.28","4.26","4.33","1.30"
"BOS","919.1","8.50","3.25","1.11",".296","70.3%","4.33","4.09","4.08","1.31"
"CHC","903.0","8.82","3.36","1.29",".297","70.3%","4.36","4.29","3.98","1.33"
"PIT","897.2","7.92","3.53","1.10",".309","69.1%","4.63","4.29","4.28","1.43"
"KCR","895.1","7.52","4.00","1.11",".302","69.6%","4.71","4.51","4.54","1.46"
"COL","911.0","7.13","3.32","1.07",".312","66.7%","4.89","4.29","4.34","1.44"
"CIN","888.0","9.06","3.88","1.40",".303","69.7%","5.13","4.64","4.36","1.41"
"WSN","905.0","8.00","3.69","1.49",".301","69.4%","5.14","4.87","4.44","1.45"
