"Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR"
"Rays","6","1","4","38","7","64.0","10.83","1.41","0.84",".280","81.8 %","39.0 %","10.2 %","2.53","2.64","3.25","2.0"
"Astros","5","1","3","28","6","58.0","12.10","2.64","1.40",".238","80.7 %","42.6 %","17.3 %","3.26","3.47","3.24","1.8"
"Athletics","5","1","2","32","6","58.2","10.59","1.99","1.07",".282","79.7 %","42.5 %","12.5 %","2.91","3.33","3.68","1.6"
"Cardinals","5","2","4","26","7","62.0","8.27","2.61","0.58",".266","77.3 %","48.6 %","8.5 %","2.47","3.18","3.85","1.5"
"Diamondbacks","5","1","4","29","6","53.1","9.79","3.88","0.84",".279","82.0 %","42.1 %","10.4 %","3.04","3.66","4.24","1.4"
"Royals","4","2","3","27","6","53.0","7.64","2.72","0.68",".338","70.6 %","47.2 %","8.2 %","4.42","3.52","4.37","1.2"
"Twins","4","3","4","38","7","64.0","10.13","3.09","1.27",".292","75.7 %","41.1 %","14.1 %","4.08","3.92","4.08","1.2"
"Yankees","4","2","0","25","6","53.0","10.36","2.55","1.53",".270","81.1 %","43.8 %","18.0 %","3.57","3.97","3.64","1.1"
"Padres","2","4","1","24","6","52.0","9.17","3.29","0.87",".303","72.6 %","41.0 %","8.2 %","3.81","3.64","4.72","1.1"
"Tigers","2","5","2","36","7","62.2","8.76","3.45","1.01",".357","71.0 %","38.6 %","10.1 %","5.17","4.06","4.80","1.0"
"Indians","4","3","2","34","7","64.0","10.41","4.08","1.27",".325","77.7 %","35.6 %","13.6 %","3.94","4.23","4.45","0.9"
"Mets","3","3","0","31","6","53.1","9.45","2.87","1.35",".354","64.1 %","36.4 %","13.8 %","6.08","4.13","4.35","0.8"
"Reds","3","4","1","33","7","65.0","9.69","3.60","1.66",".230","72.6 %","44.0 %","18.5 %","4.43","4.71","4.30","0.8"
"Orioles","1","6","1","34","7","62.2","7.18","2.73","1.29",".314","69.2 %","48.7 %","16.1 %","5.31","4.83","4.74","0.8"
"Dodgers","4","2","2","33","6","54.0","10.67","3.50","1.17",".288","80.4 %","35.0 %","14.3 %","3.50","3.75","3.87","0.7"
"Braves","5","1","3","26","6","54.0","9.50","2.67","1.67",".267","81.3 %","46.4 %","21.3 %","3.83","4.45","3.78","0.6"
"Brewers","4","2","2","32","6","55.0","9.16","2.62","1.47",".268","80.2 %","46.9 %","18.4 %","3.76","4.34","3.99","0.6"
"White Sox","3","4","1","28","7","61.0","9.00","5.31","1.48",".270","66.7 %","40.5 %","14.9 %","5.75","5.12","5.17","0.6"
"Phillies","4","3","1","44","7","62.2","9.48","3.88","1.44",".305","83.1 %","44.4 %","17.5 %","3.88","4.67","4.40","0.5"
"Cubs","3","3","0","30","6","51.2","11.15","4.88","1.39",".296","79.0 %","45.8 %","17.4 %","4.01","4.61","4.37","0.5"
"Blue Jays","0","6","0","28","6","48.0","8.63","3.94","1.13",".307","57.1 %","42.7 %","14.0 %","5.63","4.61","4.77","0.5"
"Rangers","5","2","2","30","7","61.0","6.79","3.25","1.77",".250","80.4 %","43.2 %","16.2 %","3.98","5.39","5.25","0.5"
"Marlins","3","3","1","27","6","54.0","8.17","4.00","1.17",".270","73.6 %","44.1 %","12.3 %","4.00","4.64","5.05","0.4"
"Red Sox","2","4","1","40","6","54.0","9.17","5.17","1.33",".257","77.8 %","44.4 %","15.1 %","4.00","5.05","5.07","0.3"
"Pirates","2","4","1","33","6","55.0","7.36","4.25","1.31",".299","67.7 %","42.7 %","12.1 %","5.07","5.10","5.60","0.1"
"Giants","3","4","3","36","7","59.0","7.32","3.36","1.37",".246","70.0 %","38.6 %","12.7 %","3.81","4.74","5.15","0.1"
"Angels","2","4","1","30","6","50.0","7.92","4.32","1.62",".266","60.9 %","39.7 %","15.5 %","5.94","5.53","5.50","-0.1"
"Mariners","0","6","0","31","6","52.1","8.94","5.68","1.72",".342","56.8 %","45.4 %","18.2 %","7.91","5.95","5.55","-0.1"
"Nationals","2","5","0","30","7","60.0","9.75","5.10","2.55",".295","74.8 %","41.2 %","28.3 %","5.55","6.48","4.79","-0.3"
"Rockies","1","5","1","33","6","50.1","7.87","4.65","2.50",".255","73.6 %","45.6 %","25.0 %","5.72","6.81","5.41","-0.7"
