"Team","IP","K/9","BB/9","HR/9","BABIP","LOB%","ERA","FIP","xFIP","WHIP"
"LAD","1124.2","8.99","2.52","0.89",".258","77.6%","2.84","3.40","3.69","1.05"
"HOU","1143.2","9.14","2.94","0.85",".268","76.5%","3.04","3.45","3.73","1.12"
"NYY","1150.1","8.98","2.67","0.97",".266","76.3%","3.30","3.56","3.63","1.10"
"TBR","1131.2","8.84","2.39","1.07",".280","74.4%","3.36","3.65","3.65","1.14"
"ATL","1155.2","9.59","3.13","0.90",".291","73.7%","3.55","3.48","3.61","1.21"
"NYM","1147.2","9.55","2.73","1.04",".295","76.3%","3.55","3.58","3.54","1.19"
"SEA","1143.0","8.61","2.82","1.17",".281","76.9%","3.58","3.96","3.95","1.20"
"CLE","1117.1","8.55","2.77","1.06",".280","73.1%","3.67","3.81","3.83","1.19"
"PHI","1136.2","8.92","2.88","0.93",".293","72.5%","3.73","3.60","3.72","1.21"
"SDP","1147.0","8.95","2.90","1.02",".288","73.0%","3.81","3.75","3.82","1.22"
"STL","1131.2","7.44","3.01","0.94",".283","73.6%","3.83","3.96","4.02","1.25"
"LAA","1134.0","8.65","3.42","1.05",".279","72.7%","3.83","3.98","4.02","1.25"
"BAL","1124.2","7.71","2.72","1.10",".296","74.4%","3.84","4.04","4.08","1.28"
"MIA","1124.0","8.82","3.21","1.02",".293","72.8%","3.88","3.87","3.81","1.27"
"MIL","1122.2","9.52","3.33","1.19",".283","72.8%","3.88","3.96","3.73","1.24"
"MIN","1118.0","8.42","2.97","1.18",".282","73.9%","3.91","4.06","4.06","1.24"
"TOR","1121.0","8.71","2.70","1.20",".295","73.7%","3.93","3.97","3.84","1.25"
"DET","1115.2","7.53","3.19","0.98",".285","70.6%","3.99","4.04","4.31","1.29"
"SFG","1114.0","8.58","2.78","0.88",".308","69.3%","4.00","3.53","3.66","1.28"
"CHW","1142.0","8.95","3.44","1.08",".296","71.3%","4.04","3.94","3.97","1.31"
"TEX","1130.0","8.27","3.55","1.05",".286","71.4%","4.10","4.14","4.08","1.31"
"ARI","1111.0","7.54","3.10","1.06",".285","70.5%","4.15","4.15","4.30","1.28"
"CHC","1144.1","8.74","3.37","1.33",".296","72.0%","4.27","4.38","4.01","1.34"
"OAK","1137.2","7.53","3.27","1.15",".281","71.5%","4.28","4.34","4.41","1.30"
"BOS","1143.0","8.49","3.22","1.10",".302","69.1%","4.50","4.07","4.05","1.33"
"PIT","1114.0","7.84","3.58","1.06",".308","68.3%","4.70","4.28","4.31","1.43"
"KCR","1131.1","7.51","3.87","1.14",".309","70.1%","4.74","4.51","4.48","1.48"
"CIN","1103.2","8.92","3.78","1.38",".304","70.9%","4.99","4.62","4.32","1.41"
"COL","1137.0","7.11","3.42","1.15",".312","66.6%","5.10","4.47","4.38","1.46"
"WSN","1119.0","8.03","3.64","1.54",".300","70.1%","5.11","4.95","4.46","1.45"
