"Team","PA","R","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","O-Swing%","Z-Contact%","HardHit%"
"LAD","4871","683","81","9.7%","21.5%",".190",".308",".264",".339",".454",".344","123","18.5","29.2%","84.7%","42.0%"
"STL","4889","625","77","8.6%","20.2%",".169",".298",".259",".331",".428",".331","116","5.2","33.2%","86.3%","37.1%"
"ATL","4867","641","71","7.7%","24.4%",".190",".303",".254",".318",".444",".331","109","7.8","34.9%","82.8%","43.2%"
"TOR","4765","585","49","7.9%","20.6%",".166",".303",".261",".324",".427",".328","115","-10.1","31.0%","85.5%","43.9%"
"NYY","4886","640","78","10.0%","22.2%",".186",".274",".241",".325",".426",".328","116","-7.3","30.5%","84.6%","42.2%"
"HOU","4811","584","64","8.9%","19.8%",".178",".276",".245",".318",".423",".323","113","-4.4","32.0%","87.1%","39.4%"
"NYM","4907","607","48","8.1%","19.9%",".150",".301",".257",".329",".407",".322","112","-5.3","32.9%","86.3%","36.9%"
"PHI","4800","593","85","7.7%","22.3%",".168",".297",".252",".315",".420",".320","104","9.9","34.0%","85.8%","41.3%"
"MIL","4777","574","73","9.4%","23.6%",".178",".277",".236",".317",".413",".320","104","1.5","29.4%","85.3%","39.8%"
"MIN","4750","556","27","8.6%","21.7%",".162",".292",".249",".319",".410",".319","111","-12.3","31.8%","86.5%","41.5%"
"COL","4884","575","36","7.3%","20.7%",".141",".313",".262",".322",".402",".317","89","-6.4","33.6%","87.6%","36.5%"
"BOS","4872","576","42","7.3%","22.2%",".153",".312",".257",".317",".410",".316","101","-7.2","34.1%","84.3%","40.9%"
"SFG","4763","556","56","9.5%","23.1%",".157",".279",".233",".316",".390",".311","101","3.9","29.4%","84.8%","37.2%"
"TEX","4770","579","99","7.8%","23.3%",".157",".291",".244",".307",".401",".310","102","18.4","33.3%","83.6%","39.6%"
"SDP","4933","570","38","9.4%","21.5%",".139",".292",".243",".321",".382",".310","102","3.6","30.5%","85.9%","37.0%"
"CHC","4831","529","84","8.4%","23.3%",".150",".293",".240",".312",".390",".309","97","-5.6","32.0%","84.0%","37.1%"
"CHW","4851","533","41","6.5%","20.3%",".124",".309",".259",".315",".383",".307","100","-2.6","36.3%","86.0%","40.0%"
"SEA","4821","526","68","9.5%","22.7%",".153",".273",".230",".313",".383",".307","105","-8.8","30.0%","86.0%","35.5%"
"BAL","4758","538","78","7.6%","23.2%",".154",".287",".237",".305",".391",".305","100","12.0","34.9%","84.7%","38.7%"
"CLE","4755","538","83","7.3%","18.5%",".132",".290",".250",".312",".383",".305","98","9.5","33.6%","87.8%","34.1%"
"ARI","4693","545","66","9.4%","21.8%",".156",".268",".229",".307",".385",".305","93","17.5","28.8%","86.2%","35.9%"
"TBR","4730","541","73","8.4%","23.6%",".142",".297",".240",".309",".382",".305","104","-2.5","32.2%","83.7%","38.5%"
"CIN","4663","536","49","7.4%","24.3%",".138",".299",".241",".308",".379",".304","87","-9.3","33.5%","86.0%","35.1%"
"WSN","4734","474","57","7.7%","20.0%",".127",".291",".246",".311",".373",".302","92","-23.5","33.6%","85.7%","35.1%"
"KCR","4788","504","84","7.8%","21.5%",".133",".293",".244",".307",".377",".301","93","-0.6","33.5%","85.3%","37.6%"
"LAA","4732","489","66","7.9%","26.2%",".153",".285",".228",".295",".380",".296","90","2.9","31.1%","83.3%","36.1%"
"MIA","4672","463","107","7.4%","23.8%",".135",".283",".230",".295",".365",".291","88","-1.4","34.3%","85.2%","36.9%"
"PIT","4608","453","64","7.9%","25.5%",".141",".274",".220",".287",".361",".286","81","3.7","31.7%","86.8%","37.0%"
"DET","4612","425","38","6.5%","24.4%",".108",".292",".229",".285",".337",".276","79","-6.3","36.6%","84.7%","36.0%"
"OAK","4650","433","67","7.2%","23.2%",".127",".261",".215",".279",".342",".275","83","-0.2","33.5%","85.2%","34.1%"
