"Team","IP","K/9","BB/9","HR/9","BABIP","LOB%","ERA","FIP","xFIP","WHIP"
"SFG","55.0","9.33","1.96","0.16",".333","78.6%","2.13","2.10","3.18","1.15"
"ATL","54.0","8.00","2.33","0.83",".220","81.8%","2.17","3.43","3.79","0.93"
"TBR","51.2","8.54","2.09","0.70",".216","82.1%","2.26","3.09","3.79","0.87"
"CHC","50.2","7.28","3.55","0.89",".277","76.7%","3.02","4.20","4.72","1.26"
"CHW","54.0","8.00","3.33","0.50",".265","75.3%","3.17","3.34","4.87","1.15"
"SEA","54.0","8.67","2.67","1.33",".232","79.5%","3.17","4.17","4.40","1.06"
"BOS","52.0","11.25","3.98","0.87",".302","78.0%","3.29","3.25","3.76","1.27"
"NYM","59.0","10.07","2.75","1.22",".264","77.7%","3.36","3.66","3.51","1.07"
"STL","52.0","9.00","3.46","1.21",".312","81.7%","3.63","4.13","3.70","1.35"
"PHI","49.0","9.92","3.31","0.73",".296","70.9%","3.86","3.31","3.73","1.20"
"LAD","54.0","10.17","2.50","1.00",".277","68.4%","4.00","3.30","3.36","1.09"
"ARI","51.1","8.59","3.68","0.88",".322","71.8%","4.21","3.93","4.35","1.46"
"LAA","51.0","8.47","3.53","0.53",".313","70.8%","4.24","3.41","4.27","1.35"
"NYY","53.0","9.51","3.06","1.53",".322","78.2%","4.42","4.34","4.10","1.38"
"MIA","58.1","11.11","2.78","1.39",".324","72.3%","4.47","3.94","3.45","1.25"
"TOR","54.0","9.67","2.17","1.83",".270","77.1%","4.50","4.67","4.11","1.13"
"MIN","53.0","8.15","3.23","0.68",".325","70.3%","4.58","3.87","4.82","1.38"
"KCR","62.0","6.39","1.89","0.87",".315","58.7%","4.79","3.73","4.44","1.34"
"TEX","54.0","7.33","2.50","0.67",".283","57.0%","4.83","3.50","4.57","1.19"
"HOU","54.0","8.50","3.00","1.83",".275","73.7%","4.83","5.10","4.21","1.26"
"CLE","60.0","5.85","2.40","1.20",".265","65.3%","4.95","4.45","5.25","1.22"
"DET","59.0","8.24","4.12","1.68",".315","71.6%","5.34","5.34","5.07","1.54"
"WSN","52.0","9.35","5.71","1.38",".342","73.7%","5.54","5.17","5.38","1.75"
"PIT","62.0","8.56","4.06","1.60",".353","68.4%","5.66","5.12","4.89","1.69"
"COL","52.2","7.18","4.10","0.68",".348","65.1%","5.81","4.04","4.66","1.61"
"CIN","50.0","10.62","3.96","1.44",".385","68.7%","6.12","4.33","3.77","1.64"
"BAL","51.0","5.65","2.29","2.82",".270","69.8%","6.18","6.88","5.39","1.41"
"MIL","49.0","7.35","2.94","2.39",".257","62.8%","6.43","6.09","4.98","1.31"
"SDP","50.0","9.00","4.32","2.52",".267","68.6%","6.48","6.31","5.07","1.48"
"OAK","49.1","7.66","3.47","2.37",".338","63.0%","7.48","6.17","5.10","1.74"
