"Team","PA","R","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","O-Swing%","Z-Contact%","HardHit%"
"LAD","222","47","3","10.8%","19.8%",".338",".291",".297",".374",".636",".416","165","0.3","26.5%","88.5%","39.9%"
"CHW","229","36","1","11.4%","20.5%",".242",".326",".288",".377",".530",".386","148","-0.6","36.0%","89.9%","43.1%"
"TOR","222","38","6","5.4%","16.7%",".284",".299",".293",".338",".577",".384","144","1.2","31.2%","82.2%","45.0%"
"TBR","229","28","6","9.6%","24.9%",".234",".321",".268",".345",".502",".361","136","1.0","34.3%","77.1%","43.9%"
"COL","236","32","4","10.2%","22.0%",".169",".353",".285",".363",".454",".352","107","0.5","29.2%","84.4%","39.2%"
"CHC","234","30","8","12.0%","18.8%",".134",".344",".289",".378",".423",".350","117","0.0","28.1%","85.4%","35.0%"
"HOU","222","30","0","6.8%","18.9%",".232",".282",".266",".323",".498",".347","123","-0.5","32.8%","87.5%","39.9%"
"CIN","226","29","2","7.1%","21.7%",".223",".274",".248",".311",".470",".331","101","0.1","29.3%","83.6%","43.3%"
"MIN","221","32","3","5.4%","21.3%",".188",".302",".272",".317",".460",".330","109","0.7","29.8%","85.1%","49.7%"
"ARI","231","31","2","7.8%","22.5%",".162",".342",".276",".333",".438",".330","104","0.0","29.4%","86.3%","41.9%"
"SEA","228","31","1","10.1%","20.6%",".146",".313",".258",".345",".404",".327","112","-0.2","33.2%","86.6%","33.1%"
"PIT","257","31","2","8.9%","23.7%",".126",".363",".278",".346",".404",".326","104","-1.0","33.0%","87.9%","35.7%"
"BOS","228","26","0","10.5%","21.9%",".192",".261",".236",".320",".429",".325","102","-0.2","27.4%","88.2%","46.4%"
"NYM","243","30","4","8.2%","23.5%",".193",".307",".252",".321",".445",".323","107","0.0","36.2%","82.8%","39.6%"
"KCR","256","34","6","7.0%","18.4%",".142",".313",".263",".325",".405",".318","99","0.7","34.5%","86.0%","39.6%"
"STL","204","21","4","8.3%","20.6%",".201",".254",".235",".308",".436",".318","99","0.7","30.6%","86.5%","42.3%"
"DET","275","31","11","9.1%","21.8%",".138",".313",".254",".335",".392",".317","101","1.4","32.0%","87.5%","39.1%"
"ATL","210","28","2","7.6%","26.7%",".176",".304",".239",".309",".415",".314","91","0.0","37.0%","77.5%","41.5%"
"TEX","213","27","4","7.5%","18.3%",".157",".285",".254",".310",".411",".312","98","-0.7","31.0%","86.9%","33.5%"
"WSN","233","21","0","13.3%","23.2%",".111",".315",".241",".348",".352",".309","90","-1.1","30.8%","85.1%","35.6%"
"SFG","226","28","2","10.2%","19.9%",".115",".293",".245",".332",".359",".304","92","-0.1","29.5%","86.2%","41.6%"
"CLE","269","40","8","6.7%","17.8%",".133",".290",".253",".310",".386",".301","90","1.2","29.4%","89.7%","38.7%"
"LAA","225","28","7","8.4%","20.4%",".140",".289",".245",".309",".385",".296","86","1.6","32.3%","86.6%","34.6%"
"SDP","223","20","2","6.3%","24.7%",".149",".303",".243",".294",".391",".293","87","-0.8","37.8%","85.4%","32.2%"
"OAK","224","26","3","5.4%","22.3%",".178",".242",".221",".272",".399",".289","85","1.0","31.8%","82.6%","40.9%"
"MIL","221","21","5","5.9%","28.1%",".135",".314",".237",".285",".372",".286","76","0.6","32.6%","82.5%","37.9%"
"NYY","214","24","0","6.1%","26.6%",".178",".241",".208",".262",".386",".278","75","-0.7","35.1%","83.8%","43.7%"
"BAL","213","19","0","5.2%","28.2%",".107",".308",".235",".286",".342",".274","70","-0.9","35.1%","81.9%","38.4%"
"MIA","227","17","2","8.8%","28.2%",".098",".265",".200",".274",".298",".257","61","-1.0","37.2%","84.5%","31.0%"
"PHI","213","16","1","5.6%","29.6%",".130",".238",".187",".250",".316",".245","50","0.4","40.3%","85.3%","38.3%"
