"Team","IP","K/9","BB/9","HR/9","BABIP","LOB%","ERA","FIP","xFIP","WHIP"
"LAD","1452.0","9.91","3.01","1.00",".260","76.5%","3.03","3.54","3.75","1.10"
"SFG","1455.0","8.81","2.57","0.93",".279","74.9%","3.25","3.55","3.87","1.15"
"MIL","1436.0","10.14","3.37","1.05",".275","74.7%","3.50","3.72","3.75","1.18"
"TBR","1455.2","9.14","2.70","1.14",".281","73.7%","3.67","3.79","3.97","1.17"
"CHW","1403.1","10.18","3.11","1.17",".288","74.4%","3.73","3.74","3.85","1.20"
"NYY","1435.1","9.84","3.08","1.23",".284","74.0%","3.76","3.90","4.00","1.21"
"HOU","1445.0","9.07","3.42","1.16",".275","75.1%","3.80","4.12","4.12","1.23"
"ATL","1410.2","9.04","3.29","1.17",".280","74.4%","3.89","4.09","4.09","1.24"
"NYM","1379.1","9.48","3.10","1.24",".287","73.2%","3.90","4.04","3.99","1.23"
"TOR","1405.1","9.40","3.03","1.34",".284","75.5%","3.91","4.18","4.06","1.23"
"MIA","1415.0","8.78","3.36","1.03",".290","71.6%","3.96","4.01","4.21","1.28"
"STL","1417.0","7.78","3.86","0.97",".272","73.2%","4.00","4.30","4.66","1.30"
"OAK","1433.0","8.37","2.76","1.20",".290","73.7%","4.02","4.10","4.35","1.26"
"SDP","1430.0","9.55","3.25","1.29",".287","73.6%","4.10","4.18","4.08","1.25"
"BOS","1419.0","9.68","3.46","1.12",".323","71.9%","4.27","3.95","4.07","1.38"
"SEA","1440.1","8.30","3.03","1.23",".288","71.1%","4.30","4.26","4.47","1.28"
"DET","1419.2","7.98","3.62","1.26",".289","72.6%","4.32","4.60","4.65","1.37"
"CLE","1408.0","8.89","3.34","1.38",".282","72.8%","4.34","4.43","4.27","1.28"
"PHI","1418.2","9.39","3.23","1.27",".296","71.4%","4.39","4.15","4.02","1.29"
"CIN","1434.1","9.56","3.87","1.29",".297","72.6%","4.41","4.34","4.18","1.36"
"KCR","1417.1","8.53","3.75","1.20",".301","70.3%","4.64","4.39","4.52","1.39"
"LAA","1421.2","9.20","3.75","1.19",".305","69.6%","4.69","4.25","4.26","1.38"
"TEX","1424.1","7.83","3.24","1.47",".288","70.3%","4.80","4.76","4.57","1.34"
"WSN","1394.1","8.69","3.54","1.59",".289","71.0%","4.82","4.87","4.53","1.37"
"COL","1397.0","8.18","3.47","1.26",".302","69.8%","4.83","4.47","4.38","1.39"
"MIN","1419.1","8.35","3.07","1.52",".290","68.9%","4.83","4.66","4.44","1.32"
"CHC","1412.2","8.65","3.80","1.50",".294","70.9%","4.88","4.88","4.43","1.40"
"PIT","1396.1","8.46","3.91","1.37",".302","70.1%","5.08","4.74","4.70","1.44"
"ARI","1417.1","7.86","3.52","1.47",".299","68.2%","5.15","4.88","4.85","1.44"
"BAL","1402.0","7.92","3.61","1.66",".305","66.7%","5.85","5.15","4.91","1.48"
