"Team","PA","R","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","O-Swing%","Z-Contact%","HardHit%"
"TOR","6070","846","81","8.2%","20.1%",".200",".296",".266",".330",".466",".340","112","2.8","31.9%","86.7%","42.2%"
"HOU","6291","863","53","9.0%","19.4%",".177",".303",".267",".339",".444",".336","116","-6.2","29.5%","88.0%","40.6%"
"BOS","6122","829","40","8.4%","22.6%",".188",".309",".261",".328",".449",".333","107","-4.4","33.7%","83.6%","42.4%"
"SFG","6196","804","66","9.7%","23.6%",".191",".295",".249",".329",".440",".329","108","-6.4","28.2%","84.6%","38.7%"
"CHW","6084","796","57","9.6%","22.8%",".166",".310",".256",".336",".422",".329","109","-0.9","33.0%","85.6%","39.3%"
"CIN","6162","786","36","9.0%","23.1%",".182",".296",".249",".328",".431",".327","98","-15.1","31.7%","85.5%","38.0%"
"LAD","6239","830","65","9.8%","22.6%",".185",".284",".244",".330",".429",".327","106","9.3","27.8%","85.0%","40.2%"
"WSN","6113","724","56","9.4%","21.3%",".159",".307",".258",".337",".417",".326","101","-25.4","29.2%","86.0%","39.2%"
"ATL","6056","790","59","9.1%","24.0%",".191",".288",".244",".319",".435",".323","98","5.4","32.0%","83.1%","40.6%"
"TBR","6213","857","88","9.4%","24.8%",".186",".294",".243",".321",".429",".322","109","11.2","30.7%","81.7%","39.8%"
"MIN","6078","729","54","8.6%","23.1%",".182",".282",".241",".314",".423",".318","101","-3.1","30.6%","84.3%","41.3%"
"NYY","6060","711","63","10.2%","24.5%",".169",".285",".237",".322",".407",".317","101","-15.1","28.3%","83.0%","42.4%"
"COL","6007","739","76","8.2%","22.6%",".165",".299",".249",".317",".414",".315","82","12.4","32.8%","85.1%","36.0%"
"PHI","6089","734","77","9.3%","23.0%",".168",".286",".240",".318",".408",".313","93","7.8","31.2%","83.8%","36.8%"
"OAK","6104","743","88","8.9%","22.1%",".168",".278",".238",".317",".406",".313","102","11.8","29.9%","85.0%","39.5%"
"SDP","6119","729","110","9.6%","21.6%",".159",".287",".242",".321",".401",".312","97","0.7","28.2%","86.2%","40.4%"
"STL","6001","706","89","8.0%","22.3%",".168",".287",".244",".313",".412",".312","97","11.7","31.5%","84.4%","37.2%"
"CHC","5972","705","86","8.4%","26.7%",".171",".296",".237",".312",".407",".311","92","-8.6","31.6%","83.6%","38.6%"
"MIL","6099","738","82","9.6%","24.0%",".163",".283",".233",".317",".396",".310","91","8.5","30.2%","84.1%","38.2%"
"LAA","6016","723","79","7.7%","23.2%",".162",".294",".245",".310",".407",".308","94","6.8","33.4%","85.4%","35.0%"
"NYM","5856","636","54","8.5%","23.8%",".152",".291",".239",".315",".391",".307","96","-13.5","33.6%","84.1%","37.8%"
"CLE","5907","717","109","7.7%","23.5%",".169",".282",".238",".303",".407",".306","93","7.4","32.2%","84.2%","38.3%"
"DET","5979","697","88","8.2%","25.3%",".158",".300",".242",".308",".399",".306","93","1.2","32.8%","83.2%","38.0%"
"BAL","5983","659","54","7.5%","24.3%",".163",".290",".239",".304",".402",".305","91","-6.2","33.7%","83.9%","36.7%"
"KCR","5993","686","124","7.0%","21.0%",".147",".292",".249",".306",".396",".304","89","13.2","34.5%","86.0%","38.9%"
"ARI","6144","679","43","8.7%","23.8%",".146",".295",".236",".309",".382",".301","84","6.6","30.6%","84.6%","35.6%"
"SEA","6010","697","64","8.9%","24.8%",".159",".273",".226",".303",".385",".300","93","-7.1","30.5%","83.9%","37.1%"
"PIT","5983","609","60","8.8%","22.2%",".128",".290",".236",".309",".364",".294","83","-3.9","30.3%","87.0%","34.0%"
"MIA","5928","623","106","7.6%","26.2%",".139",".296",".233",".298",".372",".291","84","0.4","34.3%","84.0%","37.0%"
"TEX","5943","625","106","7.3%","23.2%",".143",".280",".232",".294",".375",".291","84","-1.8","32.6%","83.9%","35.6%"
