"Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR"
"Dodgers","349","903","41","130","126","5","11.6 %","19.6 %",".221",".288",".263",".357",".485",".355","122","0.3","26.1","8.7","6.4"
"Rays","312","827","29","104","101","19","9.7 %","25.2 %",".196",".333",".267",".344",".462",".343","119","3.0","22.0","5.8","5.6"
"Mariners","344","970","53","154","152","22","10.0 %","24.5 %",".248",".299",".263",".342",".511",".358","131","4.2","41.3","-21.8","5.3"
"Phillies","306","827","29","115","113","5","11.6 %","21.8 %",".187",".308",".261",".352",".448",".339","110","1.7","11.7","10.3","4.8"
"Astros","270","760","30","88","88","11","9.6 %","20.4 %",".196",".314",".274",".349",".470",".349","124","-3.1","19.4","-0.6","4.5"
"Cardinals","305","784","33","109","98","11","9.8 %","23.3 %",".210",".302",".257",".339",".467",".342","112","3.2","14.7","4.7","4.4"
"Braves","296","780","27","103","98","8","12.3 %","23.6 %",".186",".317",".259",".356",".445",".343","110","1.0","10.7","7.4","4.3"
"Diamondbacks","298","835","32","110","104","12","7.4 %","23.5 %",".200",".325",".271",".333",".471",".339","109","-2.1","6.8","9.2","4.3"
"Twins","260","688","33","103","96","4","8.0 %","19.2 %",".243",".300",".275",".343",".518",".361","126","-2.4","19.1","0.0","4.3"
"Brewers","320","827","41","108","108","8","9.7 %","24.7 %",".211",".299",".257",".335",".468",".339","108","1.2","9.2","2.7","3.8"
"Mets","309","808","24","110","105","10","10.0 %","23.6 %",".164",".329",".263",".348",".428",".334","111","1.5","12.4","-2.3","3.6"
"Cubs","280","757","26","108","103","9","11.4 %","22.2 %",".175",".313",".262",".356",".436",".342","111","1.6","11.7","-1.6","3.4"
"Yankees","276","747","36","102","98","6","10.6 %","22.8 %",".211",".286",".254",".340",".465",".342","114","-0.9","11.9","-5.3","3.2"
"Nationals","269","705","27","102","98","11","9.9 %","25.1 %",".198",".327",".265",".347",".463",".345","112","0.3","10.5","-1.5","3.2"
"Athletics","340","859","37","106","103","7","7.6 %","18.4 %",".186",".262",".246",".311",".432",".317","100","-1.5","-1.3","2.4","3.0"
"Royals","301","797","25","93","90","24","9.4 %","21.7 %",".182",".278",".239",".316",".421",".313","94","3.0","-2.7","-1.2","2.3"
"Angels","311","776","22","88","85","6","9.7 %","16.0 %",".148",".256",".236",".319",".384",".303","93","-0.5","-7.7","2.0","2.1"
"Rangers","260","705","26","105","99","17","10.1 %","25.4 %",".199",".306",".247",".333",".446",".334","102","-3.1","-1.8","-3.4","1.9"
"White Sox","275","724","27","91","88","18","8.8 %","25.0 %",".173",".303",".248",".321",".422",".320","101","0.8","2.0","-10.7","1.6"
"Padres","317","785","30","73","73","10","8.2 %","26.2 %",".181",".265",".221",".290",".402",".296","83","-2.6","-19.8","10.0","1.5"
"Orioles","324","836","25","100","90","10","8.0 %","21.9 %",".159",".283",".239",".306",".398",".303","87","1.4","-11.6","-2.4","1.5"
"Blue Jays","311","805","23","90","85","5","8.1 %","27.5 %",".152",".290",".225",".297",".378",".292","81","0.6","-18.5","0.6","1.0"
"Red Sox","304","781","23","89","80","10","8.5 %","21.1 %",".156",".271",".233",".303",".389",".297","80","-1.6","-21.2","1.0","0.6"
"Pirates","268","672","15","66","64","11","8.5 %","23.2 %",".136",".290",".233",".306",".369",".291","79","1.5","-16.9","1.9","0.6"
"Indians","298","727","14","78","69","13","10.9 %","27.0 %",".113",".277",".209",".302",".323",".275","66","3.2","-27.3","-1.0","-0.3"
"Giants","319","787","15","64","63","8","6.4 %","24.9 %",".123",".260",".206",".267",".329",".258","58","-1.8","-44.2","15.4","-0.4"
"Tigers","264","707","10","57","52","9","8.1 %","25.5 %",".122",".281",".215",".290",".337",".274","68","-0.6","-28.0","0.1","-0.4"
"Marlins","296","721","18","57","54","8","6.8 %","26.5 %",".120",".282",".222",".282",".341",".272","70","-3.3","-31.1","3.2","-0.5"
"Reds","317","701","27","69","68","4","7.1 %","25.1 %",".176",".220",".193",".259",".370",".268","61","-2.1","-37.3","1.7","-1.3"
"Rockies","317","810","20","74","72","9","6.9 %","26.3 %",".148",".282",".223",".280",".371",".278","54","-3.1","-51.4","3.6","-2.2"
