"Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR"
"Rays","14","7","8","92","21","191.0","10.04","2.50","0.85",".280","80.2 %","45.1 %","11.0 %","2.83","3.00","3.40","4.2"
"Indians","12","8","7","87","20","174.0","10.71","3.36","0.93",".288","75.1 %","37.3 %","9.9 %","3.47","3.35","4.00","3.9"
"Astros","13","7","8","72","20","173.0","10.09","2.39","1.04",".253","74.2 %","41.4 %","12.3 %","3.23","3.26","3.55","3.7"
"Reds","8","12","6","96","20","176.1","9.95","3.67","0.82",".292","79.3 %","44.5 %","10.8 %","3.16","3.41","3.82","3.5"
"Yankees","10","10","3","81","20","174.1","10.02","3.46","1.14",".293","76.5 %","46.1 %","13.7 %","3.61","3.72","3.83","3.4"
"Pirates","12","6","8","73","18","161.0","9.67","2.63","0.89",".254","77.8 %","41.0 %","10.1 %","2.52","3.26","3.85","3.3"
"Padres","11","11","10","94","22","197.0","9.05","2.65","1.19",".274","72.7 %","43.7 %","13.5 %","3.84","3.81","3.94","2.9"
"Blue Jays","10","12","7","95","22","195.2","9.43","3.68","0.97",".271","74.8 %","45.1 %","11.3 %","3.31","3.76","4.17","2.9"
"Tigers","9","10","9","83","19","171.0","8.74","3.21","1.11",".262","76.3 %","43.5 %","12.4 %","3.26","3.93","4.21","2.9"
"Twins","11","7","7","77","18","160.0","8.78","3.71","1.24",".292","71.9 %","39.9 %","12.4 %","4.56","4.28","4.60","2.6"
"Rockies","8","13","1","98","21","196.1","8.11","3.53","1.10",".287","73.8 %","48.6 %","14.0 %","4.17","4.20","4.26","2.6"
"Dodgers","14","9","7","107","23","206.0","8.65","2.62","1.35",".269","71.6 %","42.3 %","14.5 %","4.11","4.16","4.18","2.4"
"Giants","8","14","5","89","22","195.0","9.00","2.68","1.11",".274","77.2 %","42.1 %","13.6 %","3.28","3.70","3.82","2.3"
"Nationals","9","9","2","86","18","161.0","9.78","3.35","1.34",".323","69.0 %","42.2 %","14.7 %","5.20","4.15","4.13","2.3"
"Mariners","16","8","12","109","24","219.0","7.77","3.04","1.23",".296","70.5 %","42.1 %","12.0 %","4.32","4.29","4.67","2.2"
"Athletics","11","12","6","109","23","205.2","7.53","3.46","1.23",".268","69.9 %","38.5 %","10.7 %","4.73","4.55","5.19","2.0"
"Marlins","5","15","2","86","20","180.0","9.20","3.55","1.10",".313","70.2 %","40.9 %","11.5 %","4.80","4.06","4.49","1.8"
"White Sox","8","11","5","85","19","164.0","8.56","4.39","1.43",".297","65.9 %","41.7 %","13.9 %","5.60","4.86","4.97","1.2"
"Cubs","9","10","2","85","19","164.1","9.58","4.33","1.48",".317","74.3 %","49.7 %","22.3 %","4.38","4.60","3.86","1.1"
"Phillies","12","8","6","94","20","187.2","8.63","3.17","1.58",".310","75.5 %","45.1 %","17.2 %","4.46","4.63","4.29","1.1"
"Diamondbacks","11","10","7","81","21","189.0","9.19","3.81","1.62",".285","72.6 %","41.5 %","19.0 %","4.90","4.84","4.30","1.0"
"Brewers","13","9","7","95","22","194.0","9.28","3.99","1.76",".278","74.5 %","41.2 %","19.0 %","4.96","5.00","4.42","0.8"
"Mets","11","9","8","86","20","176.1","9.70","4.24","1.63",".327","65.8 %","40.0 %","15.7 %","5.72","4.88","4.72","0.7"
"Braves","10","10","3","98","20","177.0","9.05","4.83","1.27",".298","73.5 %","44.6 %","15.2 %","4.73","4.73","4.67","0.6"
"Red Sox","8","13","6","93","21","179.2","9.22","3.76","1.85",".306","65.7 %","42.5 %","18.6 %","5.81","5.16","4.59","0.4"
"Royals","7","14","4","91","21","185.0","8.42","4.14","1.36",".312","71.1 %","42.5 %","15.1 %","5.35","4.80","4.73","0.2"
"Rangers","11","8","6","79","19","167.1","7.37","4.20","1.56",".303","75.2 %","40.5 %","15.3 %","5.16","5.34","5.24","0.2"
"Angels","8","13","5","93","21","180.0","8.40","4.00","1.75",".283","76.3 %","39.4 %","16.4 %","4.90","5.31","5.03","0.0"
"Cardinals","11","9","6","93","20","177.0","8.85","4.37","1.73",".270","79.7 %","44.2 %","18.9 %","4.32","5.25","4.69","-0.3"
"Orioles","8","14","4","95","22","194.0","7.52","3.71","2.64",".295","71.9 %","39.6 %","22.3 %","6.40","6.65","5.34","-1.6"
