"Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR"
"Dodgers","5","2","1","31","7","61.1","11.30","2.79","0.88",".247","68.3 %","50.3 %","11.3 %","2.49","3.16","3.59","1.6"
"Mets","3","3","1","31","6","63.0","8.57","3.00","0.86",".262","86.9 %","36.7 %","8.8 %","2.29","3.74","4.63","1.4"
"Astros","5","2","2","29","7","61.0","11.36","2.66","1.03",".303","72.4 %","45.9 %","14.6 %","2.95","3.12","3.18","1.3"
"Cardinals","5","2","4","29","7","62.0","8.42","2.90","0.87",".343","77.2 %","45.9 %","11.3 %","3.92","3.77","4.19","1.3"
"Indians","6","1","4","29","7","63.0","9.57","2.57","1.43",".266","87.3 %","36.2 %","14.1 %","3.00","4.01","4.17","1.2"
"Royals","5","2","4","25","7","61.0","8.70","2.80","1.03",".320","76.2 %","46.0 %","13.2 %","3.54","3.76","3.98","1.2"
"Yankees","5","2","1","26","7","63.0","10.71","3.14","1.43",".296","81.5 %","36.3 %","15.6 %","3.14","4.05","3.98","1.1"
"White Sox","2","5","1","26","7","60.0","7.95","3.90","0.90",".341","68.1 %","53.6 %","12.8 %","5.10","4.15","4.40","1.0"
"Padres","2","4","1","21","6","50.1","10.19","2.86","1.25",".326","63.6 %","41.3 %","14.0 %","4.83","3.72","3.87","0.9"
"Giants","7","1","2","40","8","84.0","9.11","2.14","1.39",".249","83.1 %","43.0 %","14.6 %","3.21","4.03","4.11","0.9"
"Pirates","2","4","1","25","6","54.0","8.50","3.33","1.00",".264","75.9 %","42.0 %","9.8 %","3.50","4.17","4.95","0.8"
"Rays","2","5","2","34","7","62.0","10.60","3.34","1.74",".314","71.4 %","41.1 %","17.9 %","4.94","4.50","4.11","0.7"
"Brewers","5","2","2","29","7","62.0","7.84","4.50","0.87",".267","75.1 %","38.1 %","8.1 %","3.48","4.24","5.33","0.7"
"Twins","2","4","1","25","6","54.0","8.50","3.17","1.33",".333","66.4 %","44.3 %","15.4 %","4.33","4.54","4.51","0.7"
"Nationals","3","3","1","26","6","51.0","9.00","4.06","1.24",".359","75.8 %","38.2 %","13.2 %","4.59","4.53","4.80","0.7"
"Blue Jays","3","4","1","30","7","60.0","9.00","3.75","1.35",".349","74.6 %","33.2 %","11.5 %","5.10","4.52","5.13","0.6"
"Braves","3","4","1","30","7","61.0","7.82","3.84","1.33",".322","64.3 %","34.6 %","12.5 %","6.05","4.73","5.14","0.6"
"Orioles","3","2","1","20","5","45.0","8.00","3.00","1.60",".266","65.0 %","35.3 %","13.1 %","4.80","5.09","5.45","0.5"
"Reds","2","5","2","29","7","62.1","10.40","2.60","1.73",".305","68.6 %","49.1 %","22.2 %","4.48","4.38","3.58","0.5"
"Diamondbacks","3","3","1","28","6","54.0","9.67","3.17","1.67",".292","65.5 %","41.5 %","15.6 %","5.50","4.54","4.46","0.5"
"Tigers","1","6","0","33","7","60.0","7.65","2.55","1.80",".341","54.5 %","41.0 %","18.8 %","7.35","4.97","4.47","0.5"
"Cubs","4","2","3","27","6","55.0","8.18","2.45","1.64",".279","81.0 %","46.9 %","17.2 %","4.09","5.08","4.79","0.2"
"Angels","4","3","1","29","7","62.0","7.98","4.50","1.16",".348","69.9 %","44.1 %","14.5 %","5.81","4.82","4.89","0.2"
"Rockies","1","6","0","32","7","62.0","7.69","3.48","2.03",".368","54.5 %","44.9 %","21.2 %","8.56","5.70","4.87","0.2"
"Marlins","2","4","0","26","6","51.0","9.35","4.59","1.76",".314","70.2 %","38.9 %","15.9 %","5.47","5.28","5.16","0.1"
"Red Sox","4","3","2","29","7","61.0","8.70","2.95","1.92",".320","66.4 %","44.3 %","18.3 %","6.20","5.34","4.86","0.1"
"Athletics","4","2","2","25","6","52.2","5.13","3.59","1.71",".259","83.6 %","39.6 %","15.9 %","3.93","5.86","5.75","0.1"
"Phillies","4","3","2","35","7","64.0","9.00","3.80","2.11",".302","72.0 %","43.4 %","23.8 %","6.05","5.86","4.75","0.1"
"Mariners","1","4","0","17","5","43.0","7.53","2.51","2.72",".258","59.3 %","45.9 %","25.5 %","7.12","6.38","4.79","-0.1"
"Rangers","0","5","0","20","5","42.0","10.29","3.21","3.21",".361","61.4 %","40.3 %","30.6 %","9.00","7.01","4.66","-0.2"
