"Team","Inn","rSZ","rCERA","rSB","rGDP","rARM","rGFP","rPM","rTS","DRS","BIZ","Plays","RZR","OOZ","FSR","FRM","ARM","DPR","RngR","ErrR","UZR","UZR/150","Def"
"Diamondbacks","8136.0","3","0","2","0","-1","8","42","25","81","1145","945",".825","418","","12.6","6.3","0.0","6.3","6.0","18.5","6.9","37.0"
"Twins","7983.0","3","0","-3","-1","11","6","22","14","50","1177","960",".816","412","","8.0","11.2","0.4","18.3","-10.2","19.7","8.4","22.7"
"Royals","7971.0","1","1","0","1","-2","5","14","7","23","1318","1044",".792","380","","9.3","-0.2","2.1","7.7","11.7","21.2","4.5","22.2"
"Phillies","8019.0","1","0","6","1","3","-4","-6","4","7","1252","1016",".812","327","","6.3","6.9","-2.9","2.8","5.2","12.0","5.1","21.0"
"Rays","8337.0","7","-1","-1","4","8","1","19","17","48","1103","880",".798","415","","10.5","7.8","0.5","5.6","-3.7","10.2","5.6","18.7"
"Athletics","8211.0","-8","-4","1","-6","5","-3","14","11","12","1326","1099",".829","344","","-13.8","6.2","-2.0","3.6","9.0","16.8","5.5","17.8"
"Angels","8031.0","-5","-6","-1","-1","-4","-4","8","3","-9","1221","1002",".821","344","","-16.5","2.1","0.1","7.2","6.0","15.4","3.9","16.4"
"Cubs","7953.0","-2","1","0","6","3","6","-4","6","12","1259","1036",".823","311","","-14.2","1.0","5.9","2.6","4.8","14.3","3.0","13.3"
"Dodgers","8178.0","5","2","0","1","6","6","43","35","96","1146","920",".803","395","","14.5","7.8","-0.2","7.0","-5.6","9.1","5.9","9.1"
"Indians","7788.0","14","2","0","-1","3","6","-3","18","39","1095","898",".820","327","","13.9","-0.2","-1.5","2.1","4.3","4.7","1.0","8.7"
"Padres","7920.0","19","4","0","-2","2","1","-11","-2","6","1257","1009",".803","353","","32.5","-4.2","-0.5","8.9","3.8","8.0","-0.1","8.0"
"Marlins","7779.0","0","-1","0","2","-7","6","8","-1","6","1158","933",".806","320","","0.7","-2.1","1.1","3.4","-0.1","2.4","0.1","3.4"
"Giants","8154.0","9","-2","-1","-10","7","0","28","9","38","1257","1019",".811","348","","18.3","2.5","-3.5","10.0","-2.9","6.1","2.5","3.1"
"Red Sox","8166.0","3","1","2","-5","8","7","-34","5","-12","1186","973",".820","318","","20.1","9.4","-3.2","-6.2","0.9","0.9","2.9","2.9"
"Astros","8175.0","0","0","0","-3","-1","13","26","34","66","1090","892",".818","418","","-9.5","-2.9","-5.1","9.2","3.6","4.7","0.3","1.7"
"Cardinals","7818.0","-9","-2","2","4","-1","-3","29","20","48","1166","958",".822","320","","-13.8","3.7","2.2","0.6","3.9","10.5","4.0","1.7"
"Reds","7743.0","4","1","-2","4","3","0","20","10","35","1099","876",".797","340","","4.7","-1.4","1.6","2.3","1.6","4.1","0.6","-0.9"
"Brewers","8217.0","9","-3","-3","2","-1","12","14","5","32","1123","890",".793","389","","25.2","1.2","1.6","4.1","-4.9","2.0","0.9","-1.0"
"Rangers","7947.0","-6","2","-5","3","-5","-12","-27","10","-41","1295","1030",".795","313","","-21.0","-5.5","3.2","-0.5","5.9","3.1","-0.9","-2.9"
"White Sox","7473.0","-6","2","2","4","-3","-1","-36","7","-31","1159","928",".801","357","","-18.4","-1.0","3.0","-3.8","-7.1","-8.8","-2.7","-7.8"
"Rockies","8028.0","-10","0","2","5","-11","-5","-12","17","-14","1273","1012",".795","392","","-11.3","-4.9","1.6","-1.8","-3.6","-8.7","-3.4","-8.7"
"Nationals","7791.0","-7","0","0","-2","3","2","-31","3","-32","1134","926",".817","325","","-11.7","-2.0","-3.3","-6.8","2.0","-10.1","-2.9","-10.1"
"Yankees","7881.0","-4","0","1","2","0","5","-14","-5","-20","1142","881",".772","389","","-9.0","-3.7","2.2","-4.8","-1.9","-8.3","-3.5","-10.3"
"Braves","8151.0","10","2","-1","0","-2","-4","16","-1","17","1258","1006",".800","370","","21.2","1.9","-0.2","-11.3","1.7","-7.9","-0.9","-10.9"
"Blue Jays","8019.0","5","2","2","-2","0","-2","-26","9","-9","1249","988",".791","374","","14.9","-2.4","-2.7","-19.9","6.4","-18.6","-4.7","-11.6"
"Pirates","7857.0","-7","-2","2","1","-1","-6","-11","4","-20","1175","926",".788","346","","-21.7","-0.1","0.2","-11.1","-7.0","-18.0","-5.4","-16.0"
"Tigers","7635.0","-2","3","-1","-3","-8","-5","-16","4","-32","1268","995",".785","326","","-10.7","-9.0","-1.1","-9.6","2.4","-17.3","-6.5","-18.3"
"Orioles","7785.0","-17","-1","1","3","-16","-10","-35","2","-75","1205","981",".814","439","","-22.7","-16.5","1.5","-1.7","-12.4","-29.1","-12.2","-31.1"
"Mariners","8133.0","-4","-4","-2","-4","-5","-12","-27","-1","-64","1368","1085",".793","390","","-16.2","-9.8","-1.6","-7.2","-14.0","-32.6","-8.6","-37.6"
"Mets","8016.0","-9","1","0","0","7","-6","-45","0","-56","1207","969",".803","309","","-9.6","-2.0","0.4","-17.0","-4.8","-23.5","-5.8","-42.0"
