"Team","Inn","rSZ","rCERA","rSB","rGDP","rARM","rGFP","rPM","rTS","DRS","BIZ","Plays","RZR","OOZ","FSR","FRM","ARM","DPR","RngR","ErrR","UZR","UZR/150","Def"
"Diamondbacks","12123.0","4","-1","2","4","5","8","41","42","106","1718","1408",".820","636","","4.8","9.6","-1.4","8.1","5.0","21.4","5.2","37.9"
"Indians","12003.0","18","5","1","-1","6","11","11","16","67","1739","1432",".824","506","","12.3","11.5","-1.6","10.0","9.0","28.9","6.7","35.9"
"Athletics","12216.0","-10","-3","0","-8","9","-6","33","10","25","1981","1632",".824","498","","-8.0","7.0","-1.4","13.1","17.4","36.2","6.0","35.2"
"Phillies","11967.0","2","-2","10","-4","5","-5","23","7","43","1854","1496",".807","495","","7.6","7.6","-7.0","9.8","7.2","17.6","3.6","32.6"
"Cardinals","11856.0","-13","0","2","2","2","-3","55","28","84","1751","1438",".821","512","","-12.6","2.5","4.3","8.2","11.3","26.3","4.8","31.3"
"Royals","11892.0","0","4","3","0","-2","5","0","0","9","1979","1575",".796","548","","2.9","-3.4","5.3","1.7","14.0","17.6","2.1","23.6"
"Braves","12177.0","14","-1","-2","-1","2","-1","22","-1","29","1895","1509",".796","509","","16.5","4.8","1.2","-27.3","12.7","-8.5","0.0","21.4"
"Cubs","11943.0","-2","2","-1","6","2","3","-8","-3","-6","1871","1521",".813","469","","-6.7","-0.9","7.4","4.0","7.8","18.3","2.5","16.3"
"Red Sox","12126.0","9","1","1","-5","13","-1","-44","3","-22","1773","1465",".826","464","","14.3","12.4","-5.8","-0.7","6.0","11.9","3.7","13.9"
"Rays","12324.0","7","-1","0","0","3","4","17","21","48","1684","1339",".795","579","","4.4","6.5","-1.1","1.3","-6.5","0.1","1.1","10.9"
"Angels","12021.0","-6","-1","-2","0","-7","-7","9","12","-4","1860","1520",".817","512","","-5.1","4.7","1.3","0.5","7.0","13.4","2.7","10.4"
"Padres","11874.0","24","3","0","-3","-1","-6","4","-8","6","1811","1441",".796","527","","15.0","-2.6","-2.0","14.8","-1.2","9.1","0.3","9.1"
"Giants","12159.0","11","-2","0","-8","0","2","36","8","46","1879","1531",".815","524","","5.6","-4.1","-4.4","15.3","2.4","9.2","0.3","7.2"
"Astros","12246.0","-1","-2","-2","-4","-1","23","36","35","78","1642","1335",".813","615","","0.2","0.6","-6.7","13.9","3.2","10.9","1.5","5.9"
"Yankees","12105.0","-1","0","2","0","2","3","-4","-10","-11","1749","1371",".784","596","","-6.2","0.9","2.4","1.2","0.9","5.4","1.2","5.4"
"Twins","12123.0","1","0","-5","-1","12","0","-13","8","3","1805","1436",".796","599","","3.1","7.5","0.0","12.2","-19.7","0.1","0.9","1.3"
"Marlins","11913.0","0","-4","0","1","-8","1","13","10","12","1720","1396",".812","526","","-4.7","1.5","1.8","5.7","-9.4","-0.4","0.5","0.6"
"Nationals","11838.0","-10","2","-2","-2","7","3","-13","-1","-14","1700","1409",".829","535","","-6.5","2.6","-4.5","-5.2","8.6","1.5","0.6","0.5"
"Dodgers","12102.0","10","1","0","4","8","9","58","46","132","1655","1342",".811","587","","10.2","6.7","-0.2","8.7","-14.6","0.7","1.7","-0.3"
"Brewers","12063.0","14","-3","-4","0","-2","8","23","2","30","1686","1347",".799","560","","21.0","0.0","2.8","6.3","-6.2","2.8","0.7","-4.2"
"Rangers","12087.0","-11","2","-2","-1","-5","-9","-26","12","-40","1967","1570",".798","495","","-11.3","-10.0","0.2","3.9","2.5","-3.4","-2.1","-5.4"
"Rockies","11991.0","-15","0","2","5","-12","4","0","12","3","1908","1524",".799","583","","-11.9","-12.8","0.3","4.0","-3.9","-12.4","-3.8","-7.4"
"Reds","11946.0","5","1","-4","4","4","4","27","16","50","1677","1335",".796","544","","2.7","-3.2","2.4","-2.0","1.0","-1.9","-0.8","-12.9"
"Blue Jays","11955.0","11","4","3","-2","-4","0","-26","14","-2","1822","1449",".795","576","","10.0","-2.4","-3.2","-21.3","4.8","-22.0","-3.9","-16.0"
"White Sox","11739.0","-15","3","1","8","-5","-2","-56","10","-57","1774","1407",".793","566","","-16.6","-1.5","5.5","-9.4","-12.4","-17.8","-2.8","-18.8"
"Tigers","11874.0","-5","1","-1","-3","-14","-9","-37","6","-64","1898","1480",".780","546","","-8.7","-15.2","-1.6","-11.4","5.1","-23.0","-6.0","-25.0"
"Mets","12078.0","-10","-3","-1","3","6","-7","-62","-1","-83","1823","1471",".807","486","","-5.0","1.2","4.0","-20.5","0.3","-15.0","-1.7","-27.0"
"Orioles","11874.0","-19","0","0","8","-16","-12","-44","-12","-98","1830","1479",".808","677","","-16.6","-18.7","5.4","-3.2","-15.6","-32.1","-7.5","-36.1"
"Mariners","11946.0","-6","-3","0","-4","0","-12","-54","-1","-86","1994","1586",".795","555","","-6.1","-9.1","-3.9","-11.7","-10.5","-35.3","-6.3","-37.3"
"Pirates","11970.0","-8","-6","1","2","-2","-2","-36","0","-52","1814","1421",".783","507","","-8.3","-3.7","1.3","-29.9","-18.0","-50.3","-8.9","-48.3"
