"Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR"
"Indians","5","2","3","28","7","63.0","9.43","1.86","0.71",".281","84.5 %","37.6 %","7.2 %","2.29","2.87","4.00","2.0"
"Rays","4","2","3","24","6","55.0","12.76","1.31","1.31",".301","81.3 %","36.2 %","16.0 %","2.62","2.71","2.62","1.8"
"Rangers","2","4","2","20","6","50.2","9.06","3.55","0.71",".289","82.2 %","45.4 %","9.3 %","2.66","3.59","4.25","1.6"
"Dodgers","5","1","1","25","6","56.0","9.48","1.93","0.80",".259","98.0 %","43.6 %","9.6 %","1.29","3.13","3.81","1.5"
"Mets","6","1","1","26","7","63.0","10.14","2.43","1.14",".346","82.2 %","47.6 %","17.0 %","3.00","3.57","3.39","1.2"
"White Sox","4","3","2","25","7","62.0","8.85","4.06","1.02",".346","78.5 %","44.1 %","11.7 %","3.77","4.17","4.62","1.2"
"Nationals","4","2","2","26","6","52.2","7.69","1.54","1.03",".261","78.2 %","39.7 %","10.5 %","2.91","3.61","4.28","1.1"
"Padres","4","2","1","24","6","53.0","10.19","3.06","1.02",".326","75.5 %","42.0 %","13.0 %","4.08","3.56","3.80","1.0"
"Cardinals","3","3","2","24","6","51.2","8.36","2.61","1.05",".313","73.1 %","39.7 %","10.2 %","4.18","3.91","4.66","0.9"
"Yankees","5","2","4","25","7","61.0","8.85","3.25","1.77",".273","76.8 %","43.9 %","18.2 %","4.43","4.89","4.47","0.8"
"Royals","3","3","0","28","7","60.1","9.70","3.13","1.34",".323","76.0 %","42.4 %","16.1 %","4.03","4.14","4.04","0.8"
"Pirates","0","6","0","27","6","51.0","9.71","3.00","1.59",".356","59.1 %","42.8 %","19.1 %","6.35","4.59","4.12","0.7"
"Athletics","3","3","1","22","6","51.0","7.76","1.59","1.59",".287","79.0 %","44.6 %","17.3 %","3.88","4.49","4.22","0.6"
"Mariners","1","4","1","20","5","45.0","8.00","2.00","1.80",".244","74.9 %","46.9 %","20.5 %","4.20","4.77","4.11","0.6"
"Blue Jays","4","3","3","30","7","63.2","8.20","2.26","1.55",".261","78.6 %","40.3 %","14.1 %","4.10","4.68","4.86","0.6"
"Astros","4","1","1","22","5","44.2","10.48","2.42","1.61",".333","79.9 %","49.2 %","20.0 %","4.23","4.16","3.60","0.5"
"Red Sox","3","3","2","31","7","64.0","8.86","3.52","1.41",".258","67.7 %","46.2 %","15.6 %","4.78","4.68","4.63","0.5"
"Diamondbacks","3","3","1","29","6","54.0","7.33","3.50","1.33",".294","76.0 %","50.3 %","17.0 %","4.00","4.73","4.53","0.4"
"Braves","4","3","1","32","7","62.0","9.29","2.61","1.74",".370","68.1 %","44.8 %","19.4 %","6.10","4.59","4.05","0.4"
"Twins","2","5","1","25","7","64.0","8.44","4.08","1.55",".352","65.9 %","39.7 %","13.9 %","6.19","4.93","5.15","0.4"
"Tigers","3","5","1","36","8","72.0","8.13","3.38","1.88",".332","67.7 %","44.8 %","17.9 %","6.25","5.45","5.05","0.4"
"Reds","4","2","3","26","6","54.0","11.00","3.83","2.00",".308","80.7 %","44.8 %","25.0 %","4.83","5.16","4.03","0.3"
"Giants","3","4","1","32","7","63.0","7.00","4.71","0.86",".236","72.0 %","40.1 %","9.4 %","4.14","4.57","5.34","0.3"
"Cubs","4","3","2","27","7","61.0","9.89","2.66","2.36",".292","71.9 %","44.2 %","27.1 %","5.46","5.51","4.02","0.2"
"Brewers","5","1","3","29","6","54.0","8.67","4.33","1.50",".206","84.0 %","49.7 %","19.1 %","2.83","5.01","4.57","0.1"
"Rockies","1","5","0","20","6","49.0","8.63","4.41","2.57",".322","51.2 %","52.2 %","31.8 %","8.63","6.54","4.61","-0.1"
"Phillies","2","5","1","29","7","58.0","6.83","3.72","1.71",".322","69.5 %","41.1 %","16.4 %","5.59","5.66","5.49","-0.2"
"Angels","2","4","0","24","6","51.0","9.18","3.53","2.47",".303","63.5 %","43.1 %","25.0 %","6.71","6.16","4.76","-0.2"
"Marlins","2","6","0","31","8","69.0","9.26","4.04","2.35",".251","74.2 %","34.2 %","21.7 %","5.74","6.16","5.15","-0.2"
"Orioles","1","5","0","30","6","54.0","7.17","3.50","3.83",".341","55.0 %","36.4 %","28.4 %","10.33","8.44","5.87","-0.8"
