"Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR"
"Astros","1827","5133","220","713","694","52","9.8 %","18.2 %",".213",".298",".274",".349",".486",".350","123","-8.8","139.3","-7.6","30.2"
"Dodgers","1883","5092","226","718","698","41","10.0 %","21.2 %",".215",".292",".260",".341",".475",".341","112","7.4","86.8","45.9","29.0"
"Twins","1800","5097","251","754","727","26","7.9 %","20.6 %",".230",".299",".271",".337",".501",".349","116","-6.7","95.1","-5.8","26.0"
"Red Sox","1921","5245","203","756","720","57","9.2 %","21.0 %",".204",".321",".277",".347",".481",".346","111","-5.0","70.0","13.3","25.9"
"Yankees","1815","5048","238","767","731","44","9.2 %","22.6 %",".216",".313",".272",".344",".489",".348","116","-0.8","101.9","-12.6","25.8"
"Braves","1926","5122","208","702","679","70","9.4 %","22.8 %",".197",".306",".261",".336",".458",".334","102","6.6","20.3","37.3","21.8"
"Diamondbacks","1888","5074","188","666","639","71","8.4 %","21.1 %",".190",".294",".256",".325",".446",".324","96","13.2","-17.8","56.9","19.9"
"Nationals","1838","5013","186","691","651","93","9.3 %","21.1 %",".190",".306",".264",".341",".453",".335","102","4.1","18.5","19.5","19.6"
"Brewers","1933","5043","207","620","601","84","9.8 %","24.2 %",".195",".298",".250",".331",".445",".326","98","6.0","-9.7","46.2","19.5"
"Cubs","1868","4919","200","633","610","36","9.6 %","23.5 %",".196",".296",".251",".331",".448",".328","100","-2.2","-4.7","45.0","19.5"
"Angels","1938","5121","187","664","634","51","9.5 %","19.4 %",".181",".284",".254",".331",".435",".324","104","-4.4","23.2","-5.7","19.1"
"Athletics","1855","4943","202","651","609","39","8.8 %","21.0 %",".196",".278",".247",".322",".444",".323","103","-3.8","13.1","9.6","19.0"
"Rays","1912","5098","173","610","578","76","8.7 %","23.6 %",".176",".305",".252",".325",".428",".319","101","7.8","11.5","-3.5","18.1"
"Phillies","1874","4964","160","620","591","55","9.5 %","22.8 %",".174",".295",".246",".324",".421",".315","92","10.2","-44.0","55.9","16.9"
"Mets","1922","5025","184","623","602","48","8.0 %","22.3 %",".179",".302",".257",".327",".436",".322","102","-11.8","0.3","5.9","16.6"
"Mariners","1839","4999","207","641","620","93","9.5 %","25.4 %",".200",".292",".244",".321",".444",".323","105","9.0","42.2","-51.2","16.2"
"Indians","1825","4900","178","608","575","85","9.1 %","21.5 %",".182",".289",".251",".323",".433",".319","94","5.2","-35.1","25.3","15.7"
"Padres","1865","4771","189","568","546","57","8.0 %","26.1 %",".181",".298",".244",".311",".426",".311","91","-7.0","-63.5","44.8","13.3"
"Cardinals","1871","4817","160","581","545","85","8.7 %","22.7 %",".162",".290",".245",".318",".407",".309","89","10.6","-58.6","34.4","13.0"
"Reds","1934","4797","178","572","552","60","7.7 %","23.2 %",".178",".296",".250",".318",".428",".315","89","-11.7","-79.3","28.6","10.3"
"Giants","1933","4909","143","572","554","33","7.8 %","22.8 %",".165",".291",".242",".307",".407",".302","86","-7.2","-99.2","42.6","10.1"
"Rangers","1835","5036","184","661","625","103","8.7 %","25.8 %",".188",".307",".249",".320",".436",".319","90","12.4","-51.6","-27.1","9.5"
"Blue Jays","1867","4952","202","594","569","38","8.3 %","24.4 %",".191",".277",".237",".303",".427",".308","91","-4.9","-65.0","-16.4","9.0"
"Pirates","1916","4946","137","595","579","56","7.0 %","19.8 %",".158",".306",".262",".320",".420",".312","92","-2.1","-58.2","-19.8","8.2"
"Royals","1778","4867","128","545","517","96","7.5 %","22.5 %",".153",".292",".242",".305",".395",".298","82","-2.6","-116.8","14.6","6.7"
"Rockies","1890","5038","170","686","660","47","7.7 %","23.5 %",".187",".325",".268",".327",".455",".328","85","0.0","-104.0","7.2","6.6"
"White Sox","1823","4788","140","546","521","58","6.1 %","25.6 %",".148",".322",".255",".308",".403",".302","88","5.5","-71.5","-34.8","6.0"
"Orioles","1862","4914","166","565","537","64","7.4 %","23.7 %",".167",".292",".244",".307",".410",".305","87","2.4","-77.3","-60.4","3.4"
"Marlins","1863","4749","108","478","463","36","6.3 %","24.2 %",".128",".303",".242",".298",".369",".286","77","-17.5","-160.6","31.9","2.6"
"Tigers","1824","4811","121","466","440","48","6.8 %","26.5 %",".151",".304",".238",".294",".388",".290","78","-4.7","-143.3","-44.1","-1.7"
