"Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR"
"Nationals","3","4","2","32","7","64.0","10.83","3.23","0.70",".351","68.3 %","39.4 %","7.0 %","4.50","2.87","3.91","1.7"
"Red Sox","5","2","1","29","7","62.1","10.68","3.18","0.72",".269","75.8 %","48.3 %","10.4 %","2.60","3.01","3.39","1.7"
"Mets","3","4","1","29","7","71.1","8.45","3.15","0.76",".245","86.4 %","42.9 %","8.2 %","2.27","3.53","4.33","1.5"
"Rays","4","3","2","22","7","60.0","8.55","1.80","0.75",".248","70.0 %","46.9 %","8.9 %","3.00","2.97","3.62","1.5"
"Cardinals","4","3","3","27","7","60.0","9.45","3.30","0.75",".265","79.4 %","43.7 %","10.0 %","2.70","3.32","3.78","1.5"
"Rangers","2","3","1","24","5","50.0","8.82","3.60","0.36",".333","74.4 %","45.3 %","4.3 %","3.24","2.95","4.18","1.5"
"Reds","3","4","1","34","7","63.1","9.95","3.13","0.71",".294","69.6 %","43.6 %","7.9 %","3.98","3.04","3.86","1.4"
"Royals","3","4","1","23","7","62.0","6.24","2.18","0.87",".278","69.5 %","39.9 %","9.0 %","4.21","3.88","4.62","1.3"
"Cubs","5","0","3","24","5","51.0","8.65","3.71","0.71",".234","82.1 %","53.5 %","11.8 %","2.29","3.64","3.86","1.2"
"Dodgers","4","2","3","25","6","52.2","8.72","2.39","1.03",".297","74.2 %","48.3 %","13.0 %","3.25","3.59","3.73","1.2"
"Twins","5","2","2","23","7","62.0","8.56","2.18","1.16",".271","78.0 %","38.1 %","11.6 %","3.05","3.88","4.26","1.2"
"Braves","5","2","2","32","7","63.0","9.86","2.57","1.14",".264","72.8 %","47.9 %","13.3 %","3.00","3.64","3.76","1.2"
"Brewers","4","3","2","34","7","71.0","8.75","3.30","1.01",".265","68.2 %","53.6 %","15.1 %","3.80","3.84","3.76","1.2"
"Tigers","2","3","2","22","5","43.0","9.63","3.56","0.84",".397","65.3 %","46.9 %","9.5 %","6.07","3.74","4.34","1.0"
"Diamondbacks","4","1","3","26","5","51.0","9.35","3.00","0.88",".265","75.5 %","48.9 %","10.0 %","2.82","3.51","4.05","1.0"
"Orioles","2","4","2","22","6","51.2","9.75","4.18","1.05",".294","72.5 %","47.5 %","12.2 %","4.01","4.22","4.47","0.8"
"Phillies","3","2","1","23","5","45.0","9.00","2.40","1.20",".310","78.6 %","43.8 %","12.2 %","3.20","3.73","4.02","0.8"
"Padres","2","5","1","30","7","62.0","8.71","2.76","1.31",".308","75.3 %","41.9 %","11.4 %","4.06","4.10","4.58","0.7"
"Astros","3","3","1","20","6","51.0","7.76","3.00","0.88",".239","78.0 %","47.9 %","9.3 %","3.18","3.74","4.43","0.7"
"Indians","3","2","2","18","5","43.0","9.84","2.72","1.47",".271","82.9 %","46.8 %","19.4 %","3.56","4.18","3.62","0.7"
"Yankees","2","3","1","21","5","43.0","8.37","2.93","1.47",".233","71.4 %","39.8 %","14.3 %","3.98","4.44","4.43","0.7"
"White Sox","4","3","2","34","7","63.0","10.86","4.86","1.43",".360","72.0 %","38.7 %","14.7 %","5.14","4.45","4.39","0.7"
"Blue Jays","2","4","1","29","6","55.0","7.69","5.24","0.82",".245","69.6 %","43.5 %","8.9 %","3.93","4.41","5.11","0.6"
"Angels","4","1","2","21","5","45.0","9.00","3.20","1.60",".242","67.8 %","38.6 %","16.7 %","5.00","4.58","4.25","0.5"
"Pirates","3","2","3","25","5","46.0","8.41","3.91","1.37",".314","60.5 %","43.3 %","14.3 %","5.67","4.61","4.61","0.3"
"Athletics","1","5","0","26","6","51.2","7.84","3.48","1.39",".305","68.3 %","43.8 %","12.7 %","4.53","4.68","4.93","0.2"
"Marlins","1","4","1","19","5","44.0","7.77","4.50","1.43",".268","62.7 %","41.4 %","15.9 %","5.73","5.04","4.83","0.0"
"Mariners","0","5","0","21","5","43.2","10.31","3.09","2.47",".322","56.9 %","48.8 %","27.3 %","5.98","5.52","3.81","0.0"
"Rockies","2","5","0","30","7","60.0","7.95","3.75","2.40",".286","65.6 %","46.8 %","24.6 %","6.75","6.08","4.63","-0.3"
"Giants","3","3","2","29","6","55.0","8.51","4.42","2.13",".300","64.1 %","36.6 %","19.4 %","6.55","5.90","5.09","-0.4"
