"Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR"
"Rays","21","12","13","141","33","298.0","9.57","2.72","0.94",".271","79.1 %","44.6 %","11.6 %","2.99","3.35","3.66","5.6"
"Reds","14","19","9","157","33","291.2","9.50","3.39","0.77",".299","76.8 %","43.8 %","10.0 %","3.43","3.40","3.88","5.5"
"Indians","18","13","11","132","31","271.0","10.10","3.25","1.06",".283","76.5 %","40.2 %","11.9 %","3.52","3.67","3.98","5.3"
"Yankees","18","14","7","134","32","285.1","9.46","3.44","1.26",".274","74.1 %","43.0 %","13.9 %","3.88","4.05","4.10","5.1"
"Astros","19","14","9","118","33","287.0","9.44","2.57","1.16",".250","73.2 %","42.4 %","13.2 %","3.57","3.66","3.80","4.7"
"Nationals","14","18","5","147","32","286.0","10.04","3.37","1.16",".320","68.3 %","41.6 %","12.5 %","4.91","3.84","4.09","4.5"
"Twins","20","11","10","125","31","274.0","8.51","3.19","1.18",".295","73.0 %","39.7 %","11.9 %","4.14","4.17","4.51","4.4"
"Pirates","15","15","11","125","30","268.0","9.00","2.89","1.04",".286","69.8 %","42.0 %","10.9 %","3.79","3.72","4.19","4.3"
"Tigers","14","16","13","138","30","265.2","8.77","3.52","1.12",".307","71.3 %","43.6 %","12.2 %","4.40","4.13","4.40","4.1"
"Padres","18","16","15","146","34","305.0","9.15","2.77","1.21",".275","75.6 %","43.7 %","13.1 %","3.66","3.89","4.04","3.9"
"Blue Jays","15","18","9","144","33","295.2","8.71","3.93","0.97",".258","74.0 %","44.3 %","11.0 %","3.44","4.03","4.45","3.6"
"Dodgers","22","13","12","157","35","310.2","8.81","2.67","1.30",".273","73.0 %","44.0 %","14.8 %","3.94","4.10","4.04","3.6"
"Mets","16","17","9","137","33","300.2","9.61","3.86","1.26",".308","69.1 %","42.5 %","13.2 %","4.76","4.26","4.41","3.2"
"Red Sox","16","18","8","150","34","298.0","9.91","3.74","1.42",".303","69.6 %","43.6 %","15.8 %","4.74","4.37","4.18","2.9"
"Athletics","15","20","6","162","35","310.0","7.95","3.40","1.25",".289","70.6 %","39.9 %","11.5 %","4.65","4.47","4.91","2.8"
"Diamondbacks","20","13","12","132","33","302.0","9.00","3.49","1.37",".282","75.3 %","43.9 %","15.9 %","4.14","4.45","4.25","2.8"
"Rockies","15","19","4","156","34","310.1","8.03","3.60","1.33",".290","72.4 %","47.6 %","16.1 %","4.70","4.58","4.36","2.7"
"Cubs","18","12","6","134","30","268.1","9.29","4.16","1.17",".284","75.4 %","51.0 %","18.0 %","3.79","4.24","3.89","2.7"
"Phillies","18","14","8","144","32","293.2","8.67","3.10","1.35",".319","75.7 %","44.7 %","14.5 %","4.17","4.32","4.29","2.6"
"Giants","14","19","9","137","33","295.0","8.76","2.99","1.28",".280","73.0 %","41.3 %","14.5 %","4.03","4.14","4.11","2.0"
"Marlins","9","23","6","136","32","285.0","9.06","3.66","1.29",".295","70.2 %","41.6 %","13.7 %","4.83","4.41","4.49","1.8"
"Mariners","18","17","12","153","35","315.2","8.27","3.14","1.57",".300","68.9 %","43.1 %","15.6 %","4.59","4.72","4.53","1.8"
"Brewers","19","16","10","156","35","316.0","9.14","3.87","1.59",".293","72.7 %","43.6 %","18.5 %","4.90","4.78","4.26","1.6"
"Braves","17","16","6","155","33","292.0","9.31","4.28","1.29",".293","72.4 %","45.5 %","15.1 %","4.41","4.54","4.43","1.5"
"Royals","12","22","5","141","34","299.1","7.82","3.76","1.20",".304","71.0 %","43.3 %","13.7 %","5.02","4.60","4.68","1.4"
"Rangers","15","16","8","132","31","278.1","7.92","4.43","1.39",".309","71.5 %","39.9 %","14.0 %","5.27","5.04","5.09","1.4"
"Angels","15","18","8","150","33","292.0","8.63","3.91","1.57",".283","73.4 %","40.1 %","15.7 %","4.90","4.96","4.75","1.1"
"White Sox","14","17","7","141","31","269.0","9.17","4.28","1.61",".317","68.6 %","40.7 %","15.3 %","5.59","4.96","4.79","1.0"
"Cardinals","20","13","13","148","33","291.0","9.31","3.84","1.73",".260","80.4 %","42.7 %","19.5 %","4.08","4.99","4.32","0.1"
"Orioles","12","22","7","140","34","297.2","7.80","3.63","2.27",".293","71.8 %","40.9 %","19.9 %","5.74","6.09","5.16","-1.2"
