"Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR"
"Astros","1733","4871","211","681","663","51","9.7 %","18.1 %",".213",".297",".274",".349",".487",".350","122","-6.9","132.4","-4.2","29.0"
"Dodgers","1794","4871","217","690","670","38","9.9 %","20.9 %",".215",".292",".260",".342",".476",".341","112","7.3","84.6","41.5","27.6"
"Twins","1715","4865","240","716","690","25","8.0 %","20.5 %",".229",".298",".271",".338",".500",".348","115","-5.8","90.3","-3.2","25.0"
"Red Sox","1836","5040","196","722","687","56","9.2 %","21.0 %",".203",".319",".276",".346",".479",".345","110","-5.0","62.4","13.3","24.5"
"Yankees","1740","4816","226","743","707","44","9.4 %","22.3 %",".216",".312",".272",".345",".488",".349","116","-0.9","98.9","-15.6","24.5"
"Braves","1835","4883","199","673","651","65","9.4 %","22.6 %",".198",".308",".263",".338",".461",".335","103","6.2","24.7","36.8","21.4"
"Diamondbacks","1801","4868","181","644","617","68","8.4 %","21.1 %",".190",".298",".259",".328",".450",".326","97","11.8","-7.6","60.3","20.5"
"Cubs","1776","4699","191","603","581","34","9.4 %","23.6 %",".196",".297",".252",".331",".449",".328","100","-1.7","-4.2","42.4","18.6"
"Brewers","1846","4805","198","593","574","82","9.7 %","24.4 %",".195",".297",".249",".329",".445",".325","97","6.2","-14.6","44.2","18.1"
"Athletics","1782","4766","195","628","587","39","8.8 %","21.0 %",".196",".277",".247",".322",".443",".322","102","-2.3","10.9","7.6","18.1"
"Angels","1830","4828","177","628","598","48","9.4 %","19.4 %",".181",".282",".252",".329",".433",".322","103","-5.9","14.4","-2.1","17.7"
"Rays","1810","4838","164","578","548","72","8.7 %","23.8 %",".176",".307",".253",".326",".429",".320","101","5.9","12.7","-2.7","17.5"
"Mets","1829","4787","178","591","570","45","8.1 %","22.5 %",".180",".303",".257",".328",".437",".323","102","-10.5","4.0","6.9","16.2"
"Phillies","1800","4757","158","590","562","54","9.2 %","22.8 %",".175",".294",".247",".323",".422",".314","91","9.6","-45.2","53.7","15.9"
"Nationals","1745","4706","169","627","589","87","9.2 %","21.4 %",".183",".302",".259",".336",".442",".328","98","5.7","-7.0","16.1","15.8"
"Indians","1739","4687","171","587","554","82","9.1 %","21.4 %",".184",".290",".252",".324",".435",".320","94","6.3","-27.4","20.1","15.3"
"Padres","1775","4564","183","554","534","56","8.1 %","25.9 %",".185",".300",".247",".313",".431",".314","93","-7.0","-50.7","46.8","14.1"
"Mariners","1751","4753","194","600","583","86","9.4 %","25.7 %",".196",".292",".242",".319",".438",".320","103","8.2","26.6","-52.6","13.7"
"Cardinals","1770","4560","151","541","508","82","8.5 %","22.9 %",".162",".290",".244",".316",".406",".307","88","10.1","-63.4","32.1","11.4"
"Reds","1846","4580","173","557","537","56","7.7 %","22.9 %",".181",".294",".251",".319",".432",".316","90","-11.3","-72.0","31.8","10.6"
"Rangers","1722","4722","175","630","597","93","8.8 %","25.7 %",".192",".307",".250",".322",".442",".321","92","12.0","-38.3","-28.5","9.7"
"Giants","1853","4721","135","547","530","32","7.9 %","22.7 %",".163",".291",".242",".307",".405",".302","86","-7.7","-98.1","40.0","9.4"
"Blue Jays","1776","4738","195","577","552","37","8.3 %","24.3 %",".192",".279",".238",".305",".430",".310","92","-3.7","-54.1","-17.8","9.2"
"Pirates","1807","4701","132","571","556","50","7.1 %","19.9 %",".161",".309",".264",".323",".425",".315","93","-3.1","-46.0","-19.4","8.6"
"Royals","1693","4651","125","530","502","96","7.6 %","22.4 %",".156",".295",".244",".308",".401",".301","84","-3.3","-98.7","12.0","7.5"
"Rockies","1791","4772","164","654","630","44","7.7 %","23.5 %",".191",".325",".268",".328",".460",".330","86","-2.1","-95.1","2.9","6.2"
"White Sox","1731","4537","133","516","492","57","6.3 %","25.6 %",".146",".321",".255",".309",".401",".302","88","6.2","-66.8","-30.7","6.1"
"Orioles","1765","4657","154","532","506","61","7.3 %","24.0 %",".164",".295",".244",".306",".408",".303","86","1.0","-81.0","-60.1","2.3"
"Marlins","1771","4514","102","447","433","34","6.3 %","24.3 %",".126",".301",".240",".297",".367",".284","76","-15.9","-160.0","29.3","1.7"
"Tigers","1733","4542","111","436","411","46","6.9 %","26.3 %",".149",".300",".235",".293",".384",".288","76","-3.7","-143.1","-41.3","-2.3"
