"Team","PA","R","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","O-Swing%","Z-Contact%","HardHit%"
"HOU","3055","442","24","9.3%","18.8%",".176",".314",".278",".350",".453",".347","125","-9.1","28.4%","88.3%","41.6%"
"TOR","2873","387","37","8.1%","21.9%",".186",".306",".264",".328",".450",".336","111","-4.2","31.6%","85.9%","41.7%"
"SFG","2903","382","34","10.3%","25.2%",".190",".291",".241",".325",".431",".327","110","-6.6","27.3%","83.0%","40.7%"
"LAD","3035","396","24","11.2%","22.8%",".170",".287",".240",".338",".410",".327","111","0.5","26.6%","84.9%","39.9%"
"BOS","2916","391","29","7.3%","23.8%",".180",".313",".258",".319",".438",".327","104","4.6","35.0%","82.5%","41.8%"
"CIN","2921","372","19","9.0%","22.7%",".170",".294",".247",".327",".418",".325","103","-5.7","30.6%","85.0%","39.0%"
"MIN","2879","354","27","8.6%","22.9%",".187",".286",".246",".317",".433",".324","105","-0.7","31.5%","83.8%","42.5%"
"LAA","2870","372","28","7.4%","23.3%",".179",".302",".253",".316",".432",".323","106","2.1","32.5%","85.2%","37.0%"
"CHW","2856","368","33","10.3%","23.8%",".147",".312",".249",".334",".396",".322","106","9.4","32.9%","84.3%","38.1%"
"ATL","2852","352","35","9.7%","25.3%",".190",".281",".234",".316",".424",".320","101","3.6","30.9%","82.0%","41.3%"
"OAK","2983","364","30","9.5%","23.1%",".173",".280",".236",".318",".409",".317","106","2.4","28.5%","84.6%","40.2%"
"SDP","3016","365","73","10.2%","22.1%",".161",".280",".238",".322",".399",".315","102","6.4","26.7%","86.3%","42.0%"
"NYY","2883","307","16","10.6%","24.7%",".158",".286",".235",".320",".393",".314","99","-14.3","28.6%","82.4%","42.8%"
"WSN","2736","292","33","8.4%","23.5%",".145",".304",".248",".320",".393",".312","95","-4.3","28.6%","84.7%","41.7%"
"TBR","3058","388","52","10.1%","26.8%",".162",".292",".229",".316",".391",".310","101","4.2","30.3%","79.7%","39.4%"
"PHI","2805","319","45","8.6%","25.5%",".148",".301",".239",".312",".387",".305","93","2.9","30.9%","82.2%","37.4%"
"CHC","2835","330","39","8.5%","26.6%",".175",".274",".224",".301",".398",".305","93","-1.4","31.7%","83.5%","40.3%"
"COL","2864","336","44","8.1%","23.5%",".149",".298",".242",".308",".391",".304","78","14.6","32.9%","84.9%","35.9%"
"KCR","2788","313","51","7.7%","22.1%",".142",".289",".241",".305",".383",".301","88","8.9","34.0%","85.0%","39.3%"
"BAL","2852","306","23","7.5%","23.9%",".154",".284",".234",".298",".388",".300","90","-4.1","34.9%","84.0%","35.0%"
"TEX","2894","319","48","8.3%","24.5%",".146",".285",".233",".304",".379",".300","90","-7.3","31.9%","81.7%","37.3%"
"ARI","3015","335","18","8.6%","23.8%",".140",".290",".233",".306",".373",".298","87","0.7","30.5%","83.5%","36.1%"
"DET","2853","303","47","8.7%","27.2%",".147",".296",".230",".302",".378",".298","87","-0.3","32.7%","81.8%","38.7%"
"CLE","2675","319","36","8.0%","22.9%",".162",".265",".226",".295",".388",".298","86","0.7","32.6%","84.2%","40.2%"
"MIL","2913","319","35","9.7%","26.3%",".156",".268",".215",".304",".372",".298","87","3.6","29.4%","82.9%","39.6%"
"NYM","2583","262","24","8.7%","24.2%",".140",".281",".228",".307",".367",".297","93","-11.9","32.9%","84.1%","38.0%"
"SEA","2839","321","36","8.6%","26.6%",".163",".267",".217",".291",".380",".294","90","1.5","30.3%","81.8%","35.9%"
"MIA","2841","301","50","8.0%","25.9%",".138",".293",".231",".300",".370",".293","90","1.3","33.3%","83.9%","37.7%"
"STL","2844","302","37","8.3%","22.5%",".149",".265",".224",".298",".373",".293","87","2.0","31.7%","84.1%","38.0%"
"PIT","2805","275","24","8.4%","22.4%",".125",".285",".232",".303",".357",".292","85","2.3","30.9%","86.9%","33.0%"
