"Team","IP","K/9","BB/9","HR/9","BABIP","LOB%","ERA","FIP","xFIP","WHIP"
"SFG","50.0","9.00","2.34","0.36",".233","76.3%","1.80","2.69","3.85","0.92"
"HOU","58.1","9.57","2.31","0.31",".259","80.8%","1.85","2.29","3.86","0.94"
"TOR","55.0","8.67","2.78","0.49",".233","80.3%","1.96","2.86","3.90","0.98"
"NYM","66.0","8.59","3.82","0.68",".204","81.0%","2.18","3.63","4.46","1.02"
"BOS","54.2","9.71","4.61","0.99",".265","80.8%","2.30","4.17","4.19","1.28"
"MIL","55.0","11.45","3.93","0.65",".252","82.7%","2.45","2.96","3.39","1.05"
"PIT","53.0","6.79","3.91","1.02",".212","82.1%","3.06","4.52","4.97","1.13"
"ATL","64.0","9.70","3.23","0.70",".288","79.2%","3.09","3.27","3.93","1.17"
"MIA","54.0","10.00","3.33","0.83",".284","76.7%","3.17","3.46","3.46","1.17"
"CHC","51.2","9.58","3.83","1.39",".236","80.3%","3.31","4.37","4.22","1.16"
"DET","51.0","7.06","3.88","0.71",".275","76.8%","3.35","4.19","4.65","1.31"
"TBR","56.0","9.64","3.38","0.80",".268","72.9%","3.38","3.45","4.17","1.13"
"LAD","60.0","12.45","3.60","1.80",".268","89.0%","3.45","4.38","3.24","1.15"
"CIN","56.1","10.07","3.36","1.76",".295","85.1%","3.51","4.78","4.11","1.35"
"PHI","50.2","9.95","3.55","0.71",".299","69.4%","3.55","3.38","3.71","1.28"
"SEA","42.0","9.86","4.93","1.07",".250","76.6%","3.64","4.29","4.20","1.24"
"SDP","54.0","8.83","3.50","0.83",".312","72.5%","3.83","3.66","4.02","1.37"
"TEX","63.0","7.29","2.71","0.71",".295","70.3%","4.00","3.51","4.49","1.27"
"ARI","52.0","8.31","3.29","1.38",".302","77.5%","4.15","4.68","4.51","1.38"
"OAK","60.1","7.91","3.58","1.49",".286","77.8%","4.18","5.04","4.95","1.33"
"MIN","48.0","7.50","3.75","1.69",".256","70.0%","4.31","5.23","4.77","1.31"
"COL","43.1","10.80","2.91","1.87",".295","73.7%","4.57","4.55","3.56","1.25"
"NYY","51.0","9.35","3.53","1.24",".310","69.0%","4.94","4.20","4.45","1.41"
"CHW","42.0","10.50","3.86","1.71",".324","72.5%","5.14","4.79","4.03","1.48"
"CLE","42.0","9.21","3.43","1.50",".287","67.9%","5.14","4.41","4.46","1.29"
"WSN","52.0","8.83","3.81","1.56",".286","69.4%","5.37","4.88","4.48","1.40"
"STL","52.0","7.10","5.02","1.56",".314","70.3%","5.37","5.55","4.58","1.67"
"LAA","47.0","11.30","3.64","1.53",".374","62.1%","6.13","4.12","3.67","1.55"
"KCR","49.1","8.76","6.93","2.01",".326","70.9%","6.93","6.65","5.96","1.95"
"BAL","61.0","7.97","4.87","1.92",".370","60.7%","7.97","5.77","5.13","1.92"
