"Team","IP","K/9","BB/9","HR/9","BABIP","LOB%","ERA","FIP","xFIP","WHIP"
"NYM","618.1","9.98","3.01","0.87",".277","75.0%","3.04","3.32","3.52","1.12"
"SDP","714.1","10.08","3.09","1.08",".275","77.6%","3.19","3.68","3.72","1.15"
"SFG","687.2","8.65","2.60","0.99",".262","74.2%","3.21","3.66","3.87","1.10"
"LAD","694.0","10.31","3.01","1.12",".265","74.6%","3.28","3.60","3.61","1.11"
"MIA","676.2","8.74","2.95","0.80",".280","73.2%","3.38","3.51","3.97","1.17"
"TBR","719.0","9.41","2.74","1.06",".275","74.2%","3.39","3.61","3.69","1.12"
"CHW","660.2","10.42","3.07","1.16",".286","75.7%","3.45","3.63","3.71","1.19"
"HOU","695.0","8.95","3.20","1.15",".258","75.3%","3.52","4.03","4.17","1.15"
"MIL","698.0","10.42","3.43","1.12",".273","74.7%","3.61","3.75","3.61","1.18"
"NYY","683.2","9.48","2.83","1.13",".278","72.8%","3.67","3.74","3.93","1.16"
"CHC","687.0","9.13","3.88","1.21",".274","77.0%","3.75","4.35","4.20","1.29"
"OAK","706.0","8.36","2.78","1.10",".291","73.6%","3.89","3.92","4.35","1.25"
"WSN","644.1","8.97","3.38","1.30",".266","74.5%","3.91","4.28","4.22","1.22"
"TOR","661.2","9.39","3.31","1.40",".281","75.4%","3.94","4.34","4.09","1.26"
"BOS","687.0","9.64","3.68","1.00",".326","72.9%","4.10","3.83","4.02","1.40"
"PHI","654.2","9.50","3.16","1.28",".295","72.9%","4.15","4.11","3.91","1.28"
"CLE","644.2","9.97","3.74","1.27",".286","73.1%","4.23","4.13","3.97","1.28"
"ATL","668.0","9.22","3.45","1.21",".292","70.7%","4.32","4.16","4.15","1.31"
"STL","676.0","8.23","4.49","0.91",".277","70.8%","4.35","4.36","4.71","1.37"
"SEA","689.2","8.39","3.38","1.16",".284","69.9%","4.41","4.24","4.36","1.28"
"DET","678.0","8.30","3.74","1.22",".292","71.0%","4.49","4.52","4.52","1.37"
"TEX","690.2","8.22","3.11","1.30",".307","71.7%","4.57","4.34","4.23","1.37"
"PIT","656.1","8.45","3.65","1.26",".281","70.0%","4.65","4.46","4.44","1.32"
"CIN","677.2","9.95","4.17","1.31",".291","70.3%","4.66","4.37","4.22","1.37"
"KCR","656.1","9.20","4.13","1.25",".309","70.7%","4.84","4.40","4.44","1.44"
"MIN","667.1","8.36","3.12","1.55",".293","68.5%","4.86","4.69","4.38","1.35"
"LAA","677.2","9.97","4.00","1.30",".310","68.5%","4.94","4.27","4.03","1.41"
"COL","666.2","8.01","3.74","1.30",".300","68.2%","4.95","4.63","4.39","1.42"
"ARI","685.2","8.18","3.57","1.47",".306","67.6%","5.34","4.80","4.67","1.46"
"BAL","671.0","8.95","3.51","1.62",".312","68.5%","5.50","4.79","4.41","1.45"
