"Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR"
"Yankees","77","207","12","43","43","0","9.7 %","20.8 %",".276",".397",".346",".411",".622",".426","170","-0.5","18.0","-0.4","2.4"
"Padres","74","208","16","43","43","7","9.6 %","20.7 %",".317",".315",".301",".382",".617",".411","157","0.1","15.7","2.3","2.4"
"Red Sox","79","208","7","33","30","1","8.2 %","16.8 %",".198",".374",".332",".389",".529",".382","138","-0.2","9.8","1.3","1.8"
"Orioles","71","203","10","37","37","1","9.9 %","21.2 %",".264",".357",".309",".386",".573",".399","152","-0.2","13.2","-2.5","1.7"
"Pirates","87","251","10","40","40","2","7.6 %","15.9 %",".222",".331",".307",".361",".529",".369","131","-0.2","10.0","-1.4","1.6"
"Dodgers","104","279","13","40","39","3","9.0 %","20.8 %",".227",".282",".255",".332",".482",".336","109","0.7","3.8","3.6","1.6"
"Phillies","105","274","14","43","43","2","10.2 %","22.6 %",".236",".268",".245",".331",".481",".337","108","0.4","3.0","3.0","1.5"
"Blue Jays","86","230","13","37","36","3","8.7 %","26.1 %",".237",".338",".285",".345",".522",".360","128","0.0","7.8","-1.4","1.4"
"Cubs","101","252","10","36","34","4","8.7 %","23.8 %",".207",".316",".264",".333",".471",".338","109","0.1","2.8","2.4","1.3"
"Mets","104","277","13","28","28","3","6.9 %","19.1 %",".200",".285",".264",".324",".464",".332","110","-0.9","2.6","0.7","1.2"
"Marlins","91","223","6","32","31","1","6.7 %","24.2 %",".165",".356",".282",".336",".447",".332","109","-0.7","1.8","1.1","1.0"
"Astros","88","230","9","24","23","1","6.1 %","17.4 %",".175",".305",".280",".325",".455",".327","109","-0.5","2.0","-0.8","0.9"
"Mariners","85","245","7","33","31","3","11.4 %","21.2 %",".177",".283",".239",".335",".416",".323","107","0.1","2.0","-2.3","0.8"
"Twins","89","259","10","32","30","1","6.2 %","22.8 %",".168",".324",".273",".328",".441",".326","102","-1.2","-0.6","-0.2","0.8"
"Diamondbacks","103","264","5","33","32","6","6.8 %","17.4 %",".120",".302",".261",".313",".382",".297","81","1.1","-5.8","3.4","0.6"
"Braves","105","263","13","33","32","5","6.5 %","26.6 %",".208",".266",".229",".293",".438",".307","86","1.2","-3.6","1.0","0.6"
"Royals","80","228","6","26","25","3","5.7 %","27.2 %",".164",".336",".256",".314",".420",".310","91","-0.2","-2.7","-0.2","0.5"
"Angels","89","222","6","26","26","1","9.0 %","18.5 %",".111",".305",".266",".333",".377",".307","94","-0.6","-2.3","-0.5","0.5"
"Indians","87","217","8","22","21","3","6.0 %","23.5 %",".174",".308",".259",".306",".433",".312","91","0.4","-2.2","-0.4","0.5"
"White Sox","91","227","7","29","28","2","4.4 %","27.8 %",".149",".350",".269",".313",".418",".309","93","0.2","-1.8","-2.2","0.4"
"Athletics","85","217","11","25","24","0","6.9 %","24.4 %",".210",".235",".215",".276",".425",".296","86","-0.7","-4.6","0.7","0.4"
"Rangers","74","219","8","26","24","2","6.8 %","24.2 %",".195",".295",".251",".301",".446",".310","86","-0.6","-4.6","0.1","0.3"
"Rockies","101","264","9","39","37","3","6.4 %","27.3 %",".190",".348",".273",".317",".463",".324","83","0.2","-6.1","0.5","0.3"
"Nationals","83","231","9","32","29","5","6.9 %","20.3 %",".167",".273",".244",".306",".411",".306","85","0.1","-4.6","-0.7","0.2"
"Brewers","84","211","7","21","18","2","7.6 %","26.5 %",".183",".287",".230",".292",".414",".297","80","-0.5","-6.5","1.4","0.2"
"Reds","71","180","4","13","13","3","7.8 %","23.9 %",".118",".313",".248",".318",".366",".299","80","-0.5","-5.5","0.5","0.1"
"Rays","89","250","8","26","26","0","6.8 %","24.0 %",".155",".239",".204",".276",".358",".274","71","0.5","-8.6","0.4","0.1"
"Giants","100","247","6","19","18","1","7.7 %","19.4 %",".166",".247",".215",".282",".381",".280","73","-1.4","-10.4","0.9","-0.1"
"Tigers","89","216","4","16","15","1","6.9 %","21.3 %",".112",".284",".235",".296",".347",".280","73","-0.1","-7.8","-2.1","-0.2"
"Cardinals","69","187","2","10","10","2","5.9 %","23.5 %",".097",".287",".223",".269",".320",".253","56","0.6","-10.2","1.4","-0.3"
