"Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR"
"Rangers","5","1","2","17","6","53.0","9.17","2.38","0.85",".261","85.4 %","45.3 %","9.4 %","2.04","3.22","3.95","2.0"
"Rays","3","3","0","28","6","61.0","8.26","2.51","0.30",".298","66.0 %","42.9 %","3.8 %","3.25","2.66","3.93","2.0"
"Brewers","3","3","2","24","6","54.0","9.50","3.33","0.50",".324","71.9 %","39.3 %","6.7 %","3.33","2.96","3.86","1.5"
"Nationals","4","2","2","25","6","54.0","9.67","2.33","0.67",".286","69.7 %","49.3 %","8.5 %","3.83","3.05","3.79","1.4"
"Pirates","4","2","0","25","6","54.0","8.67","3.00","0.67",".314","74.9 %","39.9 %","7.0 %","3.67","3.27","4.37","1.3"
"Giants","2","5","1","30","7","63.1","8.95","2.84","0.71",".276","72.7 %","43.8 %","8.6 %","3.27","3.21","3.97","1.3"
"Twins","3","3","1","28","6","61.0","8.41","1.48","1.18",".241","68.2 %","44.5 %","12.5 %","3.54","3.81","4.15","1.2"
"Athletics","4","2","1","25","6","53.0","6.45","2.55","0.51",".303","74.5 %","44.6 %","5.4 %","3.40","3.45","4.77","1.1"
"Dodgers","3","4","1","29","7","59.0","8.39","2.29","1.37",".358","56.7 %","44.6 %","14.3 %","6.10","4.06","4.16","0.9"
"Padres","4","1","2","22","5","46.2","10.22","2.51","0.77",".341","71.9 %","43.8 %","8.9 %","3.66","2.93","3.69","0.9"
"Braves","5","2","4","32","7","62.0","7.98","2.76","1.31",".299","73.9 %","50.0 %","15.8 %","3.92","4.36","4.27","0.9"
"Diamondbacks","5","2","2","32","7","63.0","8.14","2.86","1.00",".235","80.1 %","46.2 %","10.9 %","3.00","4.01","4.55","0.8"
"Tigers","1","5","1","29","6","53.0","9.51","2.38","1.53",".298","71.2 %","40.4 %","14.5 %","4.42","4.13","4.20","0.8"
"Angels","4","2","0","26","6","54.0","8.83","2.83","1.50",".241","84.1 %","40.4 %","17.6 %","3.33","4.39","4.06","0.6"
"Mariners","3","3","1","25","6","53.1","7.59","3.21","1.18",".252","81.9 %","43.1 %","12.1 %","2.87","4.33","4.74","0.5"
"Yankees","4","1","2","28","5","45.0","9.40","2.80","2.40",".400","63.3 %","39.7 %","27.3 %","7.80","5.49","3.94","0.5"
"Cubs","4","3","2","30","7","62.0","8.71","3.19","1.45",".259","79.4 %","40.2 %","16.9 %","3.63","4.60","4.36","0.4"
"Red Sox","2","3","1","24","5","45.0","11.20","3.40","1.60",".408","59.0 %","41.1 %","22.2 %","7.60","4.34","3.59","0.4"
"Marlins","3","3","2","27","6","54.0","9.17","3.33","1.33",".236","60.2 %","37.4 %","12.7 %","5.17","4.46","4.81","0.4"
"Blue Jays","3","3","0","28","6","51.1","9.29","3.51","1.75",".349","77.5 %","45.2 %","22.2 %","5.08","4.99","4.17","0.4"
"Rockies","4","3","3","31","7","61.2","7.15","3.50","1.75",".286","72.4 %","43.0 %","18.8 %","4.67","5.34","4.83","0.3"
"Indians","3","3","0","29","6","53.0","8.32","3.06","1.70",".340","62.2 %","46.6 %","17.5 %","6.96","5.20","4.85","0.2"
"Reds","1","4","1","20","5","42.0","9.43","3.86","1.93",".279","71.1 %","45.0 %","25.0 %","5.36","5.23","4.12","0.0"
"Astros","4","2","0","27","6","56.0","7.23","3.54","2.25",".258","73.6 %","43.5 %","24.6 %","5.63","6.06","4.79","0.0"
"White Sox","2","4","1","29","6","51.2","7.32","3.14","2.26",".352","69.6 %","40.2 %","19.1 %","6.45","5.99","5.29","-0.1"
"Orioles","2","3","0","20","5","44.0","7.77","2.86","2.25",".288","69.2 %","41.5 %","20.8 %","6.14","6.00","5.10","-0.1"
"Cardinals","0","5","0","18","5","43.0","8.79","3.14","2.51",".328","74.7 %","41.4 %","24.0 %","5.02","6.04","4.68","-0.2"
"Phillies","4","3","1","30","7","62.0","7.55","3.19","2.18",".344","77.4 %","41.5 %","24.6 %","5.81","5.81","4.59","-0.2"
"Royals","2","4","2","22","6","51.1","8.94","3.16","2.63",".290","87.3 %","47.4 %","26.3 %","4.73","6.22","4.59","-0.4"
"Mets","0","7","0","27","7","59.1","9.86","3.34","2.43",".351","69.5 %","40.8 %","23.2 %","7.13","5.86","4.63","-0.5"
