"Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR"
"Dodgers","1214","3305","139","449","437","29","9.9 %","20.2 %",".207",".298",".266",".346",".473",".343","115","3.2","66.4","42.6","21.1"
"Twins","1140","3229","156","471","453","20","7.9 %","20.3 %",".227",".299",".271",".337",".498",".349","117","-6.7","63.8","9.9","18.3"
"Astros","1157","3248","133","420","410","38","9.7 %","17.9 %",".202",".288",".266",".341",".468",".341","118","-5.0","68.1","-2.7","17.5"
"Red Sox","1206","3329","118","455","429","46","9.8 %","21.0 %",".186",".312",".268",".344",".454",".337","106","1.6","28.4","9.9","15.2"
"Braves","1247","3293","131","456","440","32","9.2 %","22.0 %",".197",".306",".264",".338",".461",".336","105","3.0","24.2","17.8","14.6"
"Diamondbacks","1220","3357","122","435","415","48","7.8 %","21.5 %",".190",".299",".258",".323",".448",".324","97","4.8","-9.4","43.1","13.9"
"Cubs","1188","3188","129","420","403","24","10.0 %","23.3 %",".196",".296",".252",".335",".447",".330","103","-2.4","8.2","28.2","13.7"
"Yankees","1140","3109","137","464","442","32","9.6 %","22.8 %",".200",".308",".266",".341",".466",".340","112","-2.2","45.0","-15.0","13.6"
"Angels","1227","3245","119","421","401","31","9.4 %","17.1 %",".177",".281",".259",".336",".436",".327","108","-2.7","28.9","-6.2","13.4"
"Brewers","1222","3231","140","404","393","51","9.8 %","24.4 %",".198",".293",".248",".329",".447",".327","100","3.0","0.5","20.0","12.3"
"Athletics","1219","3268","132","422","397","27","8.5 %","20.2 %",".193",".273",".246",".319",".439",".321","103","-0.7","10.1","0.5","12.2"
"Rays","1195","3223","104","377","359","46","8.5 %","24.4 %",".170",".311",".253",".325",".423",".319","102","2.5","8.6","3.6","12.2"
"Mets","1251","3258","120","396","385","34","8.5 %","23.1 %",".179",".300",".253",".326",".432",".322","103","-7.6","5.0","3.7","11.2"
"Mariners","1228","3408","149","455","442","58","9.8 %","24.8 %",".206",".287",".244",".324",".450",".328","110","4.8","46.5","-53.3","11.0"
"Phillies","1197","3177","105","399","381","28","9.8 %","22.5 %",".178",".287",".242",".322",".420",".314","92","1.8","-29.9","34.9","10.6"
"Padres","1193","3043","128","376","364","42","7.9 %","26.1 %",".192",".296",".244",".310",".436",".315","95","-6.7","-26.8","34.5","10.4"
"Rangers","1151","3212","115","454","429","65","9.3 %","25.2 %",".193",".315",".255",".331",".448",".330","99","10.6","4.2","-11.3","10.3"
"Cardinals","1194","3073","96","361","338","56","9.0 %","22.2 %",".155",".287",".242",".318",".397",".307","89","7.9","-37.4","24.3","8.5"
"Nationals","1173","3122","115","412","392","47","8.5 %","22.5 %",".182",".297",".253",".326",".435",".322","95","1.3","-19.6","-1.2","7.9"
"Pirates","1202","3138","85","375","368","31","7.0 %","20.5 %",".160",".314",".265",".322",".425",".315","95","2.5","-19.8","-4.7","7.6"
"Royals","1130","3115","83","353","341","79","7.5 %","23.3 %",".159",".298",".244",".308",".404",".303","86","4.7","-49.4","12.1","7.0"
"Rockies","1225","3256","109","470","453","28","7.6 %","24.1 %",".191",".330",".270",".329",".461",".331","88","-0.9","-53.6","11.0","6.2"
"Indians","1166","3058","104","355","330","57","9.6 %","22.6 %",".168",".279",".237",".316",".406",".308","87","7.2","-42.7","-5.1","5.8"
"White Sox","1139","2949","93","347","331","42","6.6 %","25.4 %",".153",".318",".255",".312",".408",".307","92","4.6","-24.7","-28.5","4.9"
"Reds","1216","2989","109","342","331","36","8.3 %","23.5 %",".173",".277",".235",".308",".408",".304","84","-9.0","-73.5","19.9","4.3"
"Blue Jays","1173","3087","114","349","331","24","8.3 %","24.9 %",".172",".273",".229",".296",".401",".297","84","-2.2","-65.1","-12.7","3.0"
"Orioles","1170","3096","100","347","325","42","7.2 %","23.6 %",".162",".291",".242",".304",".404",".302","87","-2.1","-53.6","-35.5","1.9"
"Giants","1203","3030","75","316","308","24","8.1 %","23.2 %",".147",".272",".224",".291",".371",".284","75","-5.4","-105.1","25.2","1.8"
"Marlins","1178","3013","63","293","285","24","6.5 %","23.8 %",".118",".299",".239",".297",".356",".282","76","-9.4","-105.7","22.9","1.5"
"Tigers","1135","2928","67","273","259","33","7.3 %","26.1 %",".146",".294",".230",".292",".377",".285","76","0.6","-89.7","-23.2","-1.0"
