"Team","IP","K/9","BB/9","HR/9","BABIP","LOB%","ERA","FIP","xFIP","WHIP"
"TBR","62.2","8.19","3.30","1.01",".250","86.6%","2.44","3.88","3.92","1.13"
"HOU","62.0","9.58","2.76","0.73",".268","80.0%","2.76","3.03","3.58","1.06"
"NYM","61.1","8.51","2.79","0.73",".275","76.9%","2.79","3.29","3.73","1.16"
"SFG","54.0","8.33","1.83","1.00",".206","64.0%","3.00","3.51","3.32","0.85"
"BAL","55.0","10.31","2.45","1.47",".305","76.2%","3.27","3.91","3.33","1.22"
"OAK","53.2","8.39","2.52","0.84",".323","75.8%","3.52","3.50","4.00","1.30"
"MIL","55.0","12.11","3.11","1.47",".323","83.9%","3.60","3.67","2.97","1.27"
"BOS","61.0","10.18","4.13","0.74",".338","72.8%","3.69","3.47","3.66","1.39"
"LAD","52.0","11.25","3.12","1.21",".295","71.4%","3.81","3.43","3.29","1.21"
"KCR","54.0","8.83","2.33","1.50",".302","78.4%","3.83","4.23","4.10","1.26"
"COL","56.0","7.88","2.41","1.13",".269","69.4%","4.02","3.93","3.86","1.14"
"CHW","58.0","10.40","1.86","1.86",".281","77.2%","4.03","4.19","3.21","1.12"
"CHC","60.0","9.00","3.75","1.50",".296","79.7%","4.05","4.61","4.12","1.37"
"SDP","60.0","10.95","2.55","1.95",".313","81.2%","4.35","4.58","3.32","1.28"
"DET","51.1","9.99","3.16","2.28",".240","76.9%","4.38","5.50","3.97","1.19"
"WSN","59.0","10.07","3.36","1.07",".273","57.6%","4.42","3.72","4.03","1.20"
"NYY","66.0","8.73","3.27","1.09",".258","63.4%","4.50","3.91","4.13","1.18"
"ATL","63.0","9.29","3.29","0.86",".259","61.2%","4.57","3.60","3.94","1.16"
"PHI","44.0","6.95","3.48","1.02",".276","68.5%","4.70","4.51","4.25","1.30"
"TEX","53.1","9.11","2.87","0.84",".350","62.5%","4.73","3.35","3.69","1.46"
"MIA","52.2","8.89","3.42","1.03",".301","60.4%","4.78","3.84","4.25","1.37"
"PIT","55.0","7.20","2.62","1.31",".280","65.2%","4.91","4.41","4.48","1.25"
"LAA","53.0","11.04","2.89","1.36",".279","65.0%","4.92","3.67","3.22","1.15"
"TOR","45.0","9.40","4.20","2.00",".325","78.7%","5.00","5.61","4.77","1.58"
"ARI","60.0","7.20","3.15","2.25",".272","71.4%","5.25","5.89","4.90","1.38"
"CIN","54.0","10.00","4.00","1.50",".340","71.4%","5.33","4.42","4.15","1.56"
"MIN","60.0","7.05","2.85","1.50",".285","62.3%","5.55","4.84","4.73","1.33"
"SEA","62.0","10.31","3.34","1.60",".333","61.9%","6.10","4.42","3.76","1.45"
"CLE","49.0","10.29","2.94","1.29",".386","57.8%","6.43","3.82","3.56","1.57"
"STL","61.0","8.26","4.87","1.92",".299","66.4%","6.93","6.14","5.40","1.61"
