"Team","PA","R","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","O-Swing%","Z-Contact%","HardHit%"
"BAL","228","40","2","6.6%","17.1%",".215",".338",".311",".364",".526",".381","147","0.3","35.0%","92.2%","38.0%"
"CIN","239","37","1","8.8%","15.5%",".234",".292",".278",".366",".512",".377","136","-0.5","31.4%","86.5%","36.4%"
"HOU","273","40","4","11.0%","20.1%",".174",".343",".294",".377",".468",".366","141","-0.8","26.7%","86.0%","41.8%"
"PHI","194","36","3","8.8%","23.7%",".221",".319",".273",".349",".494",".365","130","-1.0","28.8%","82.1%","31.3%"
"KCR","224","42","5","6.7%","18.3%",".217",".323",".291",".345",".507",".363","132","0.8","31.7%","87.9%","42.4%"
"OAK","246","39","1","7.3%","19.1%",".201",".343",".297",".352",".498",".362","138","-0.3","25.1%","86.9%","42.1%"
"SFG","221","29","2","11.8%","23.5%",".214",".321",".271",".356",".484",".362","131","-1.4","26.3%","82.4%","43.4%"
"COL","238","31","1","6.3%","18.1%",".149",".380",".321",".366",".470",".359","115","0.9","32.4%","85.8%","38.2%"
"MIL","211","31","0","9.5%","25.6%",".293",".205",".218",".300",".511",".345","119","-0.3","24.4%","81.4%","39.3%"
"CLE","209","31","5","3.8%","24.4%",".205",".324",".275",".306",".480",".336","114","1.1","36.6%","85.9%","40.9%"
"NYM","271","31","4","6.6%","24.0%",".177",".331",".270",".326",".448",".334","116","-1.4","35.4%","87.9%","40.0%"
"LAA","224","31","1","8.9%","25.0%",".197",".299",".242",".324",".439",".332","115","0.1","31.4%","86.9%","43.1%"
"MIN","267","27","3","7.9%","25.1%",".198",".297",".252",".315",".450",".331","113","-0.2","33.1%","86.1%","42.4%"
"DET","228","25","8","7.5%","29.4%",".223",".279",".233",".292",".456",".321","105","0.5","32.5%","80.6%","40.6%"
"TOR","182","21","0","7.7%","23.6%",".182",".299",".255",".313",".436",".320","104","-1.0","34.2%","84.6%","40.3%"
"CHW","246","33","2","8.9%","27.2%",".160",".303",".237",".314",".397",".313","102","-0.6","34.8%","84.2%","41.6%"
"LAD","232","40","2","12.5%","22.8%",".146",".264",".216",".325",".362",".307","97","0.2","25.2%","82.2%","40.1%"
"ATL","259","34","8","11.2%","27.8%",".134",".315",".237",".320",".371",".306","92","1.1","34.4%","79.3%","39.9%"
"CHC","244","31","5","4.5%","26.2%",".252",".230",".213",".252",".465",".305","92","0.6","31.1%","83.0%","46.4%"
"WSN","269","30","3","8.6%","24.2%",".138",".281",".226",".310",".364",".299","87","0.0","30.4%","87.8%","39.4%"
"SEA","265","34","5","7.2%","29.4%",".173",".297",".228",".289",".401",".296","94","0.4","32.8%","76.6%","34.5%"
"NYY","265","22","2","10.2%","27.9%",".145",".279",".217",".299",".362",".290","86","-1.4","28.7%","83.9%","46.0%"
"ARI","261","24","1","6.1%","28.7%",".132",".309",".235",".284",".366",".285","79","-0.5","35.2%","83.3%","37.3%"
"BOS","259","27","1","6.6%","25.9%",".154",".286",".225",".275",".379",".283","77","0.1","36.9%","82.3%","38.9%"
"STL","261","25","3","6.9%","28.0%",".149",".290",".223",".277",".372",".282","81","0.6","35.5%","78.0%","37.1%"
"PIT","231","31","1","7.8%","22.5%",".116",".290",".232",".296",".348",".282","79","0.3","25.7%","87.8%","32.1%"
"MIA","230","21","2","8.3%","24.3%",".172",".232",".201",".276",".373",".281","84","0.0","36.6%","85.4%","30.9%"
"TBR","271","32","6","9.6%","26.2%",".119",".253",".202",".280",".321",".270","76","1.1","31.5%","81.7%","45.1%"
"SDP","245","14","4","7.8%","24.5%",".095",".242",".194",".263",".288",".249","59","1.2","29.8%","88.4%","40.9%"
"TEX","211","17","2","6.2%","23.7%",".098",".250",".201",".255",".299",".247","56","-1.3","35.7%","82.6%","23.8%"
