"Team","IP","K/9","BB/9","HR/9","BABIP","LOB%","ERA","FIP","xFIP","WHIP"
"SDP","548.1","10.41","3.13","1.10",".265","79.8%","2.87","3.66","3.62","1.12"
"NYM","443.1","9.91","2.98","0.73",".284","72.4%","3.05","3.13","3.48","1.13"
"CHW","503.1","10.35","2.95","1.11",".281","76.9%","3.25","3.53","3.62","1.16"
"SFG","524.0","8.85","2.68","1.06",".265","75.6%","3.30","3.73","3.79","1.12"
"LAD","528.0","10.26","2.90","1.13",".261","72.7%","3.31","3.58","3.58","1.09"
"TBR","554.2","9.22","2.76","1.09",".271","75.7%","3.34","3.70","3.77","1.12"
"NYY","535.1","9.77","2.81","1.11",".266","73.9%","3.38","3.62","3.76","1.10"
"MIA","510.1","8.73","2.98","0.83",".280","71.8%","3.54","3.56","4.03","1.18"
"MIL","527.0","10.54","3.35","1.20",".268","74.6%","3.65","3.81","3.58","1.15"
"CHC","522.1","9.18","3.74","1.21",".287","77.5%","3.76","4.32","4.14","1.31"
"HOU","529.2","9.04","3.38","1.24",".264","74.6%","3.81","4.20","4.21","1.20"
"BOS","517.1","9.72","3.53","0.75",".321","72.4%","3.84","3.41","3.87","1.33"
"OAK","539.2","8.44","2.75","1.00",".301","72.1%","3.97","3.74","4.27","1.28"
"TOR","494.1","9.38","3.37","1.38",".291","75.0%","4.01","4.33","4.10","1.29"
"CLE","496.2","9.82","3.82","1.27",".283","73.5%","4.15","4.18","3.96","1.29"
"WSN","481.1","9.11","3.52","1.38",".272","72.6%","4.23","4.42","4.22","1.25"
"PHI","507.0","9.44","3.12","1.28",".297","73.1%","4.24","4.10","3.90","1.28"
"STL","526.0","8.23","4.60","0.82",".276","70.8%","4.26","4.31","4.84","1.37"
"KCR","495.2","9.33","4.05","1.02",".303","71.2%","4.34","4.01","4.30","1.38"
"DET","509.0","8.61","3.70","1.27",".284","71.5%","4.37","4.48","4.40","1.34"
"ATL","502.1","9.41","3.57","1.31",".294","70.1%","4.44","4.30","4.08","1.33"
"TEX","537.2","8.37","3.11","1.21",".308","71.1%","4.47","4.16","4.14","1.36"
"SEA","529.2","8.33","3.40","1.16",".285","68.7%","4.55","4.26","4.38","1.30"
"PIT","503.0","8.73","3.54","1.29",".287","69.4%","4.69","4.39","4.31","1.32"
"COL","510.1","7.95","3.86","1.22",".294","68.7%","4.73","4.55","4.41","1.41"
"MIN","512.1","8.50","3.20","1.46",".291","67.9%","4.76","4.57","4.32","1.33"
"BAL","509.0","9.11","3.34","1.56",".301","71.5%","4.84","4.60","4.28","1.38"
"CIN","507.0","9.80","4.30","1.28",".294","67.5%","4.95","4.37","4.22","1.39"
"LAA","514.2","10.14","4.07","1.40",".306","68.5%","5.02","4.38","3.94","1.41"
"ARI","530.2","8.23","3.27","1.48",".299","68.4%","5.02","4.68","4.51","1.39"
