"Team","PA","R","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","O-Swing%","Z-Contact%","HardHit%"
"TOR","227","43","6","7.9%","15.0%",".289",".299",".299",".374",".587",".405","158","-0.1","29.5%","86.5%","48.8%"
"NYM","222","40","5","6.8%","21.2%",".228",".347",".305",".359",".533",".375","138","-0.4","34.4%","85.8%","41.0%"
"DET","272","42","1","7.7%","22.1%",".264",".309",".280",".335",".544",".370","135","-0.3","36.5%","88.4%","41.9%"
"CHC","233","36","3","8.6%","25.3%",".220",".333",".278",".346",".498",".356","123","0.1","31.5%","86.6%","32.2%"
"STL","217","30","3","7.4%","23.5%",".236",".293",".267",".329",".503",".353","123","0.4","33.1%","81.9%","35.4%"
"SDP","223","30","3","10.3%","17.9%",".200",".293",".267",".348",".467",".350","120","-0.7","26.2%","86.9%","39.2%"
"OAK","237","41","2","7.2%","20.7%",".233",".293",".265",".325",".498",".349","127","0.1","31.5%","85.9%","36.9%"
"PHI","245","35","0","10.2%","18.0%",".194",".293",".263",".344",".456",".345","115","0.2","31.7%","87.6%","33.3%"
"BOS","271","30","0","10.0%","23.6%",".179",".329",".267",".341",".446",".338","110","-1.2","32.6%","78.8%","38.3%"
"WSN","271","37","1","10.7%","20.3%",".186",".295",".258",".342",".445",".338","108","-0.8","29.4%","85.1%","38.4%"
"CIN","213","30","0","10.8%","22.1%",".197",".296",".255",".333",".452",".337","109","-0.3","34.3%","86.6%","31.5%"
"TBR","259","37","2","9.3%","17.0%",".211",".259",".246",".332",".456",".337","118","0.1","28.9%","88.7%","36.2%"
"CLE","241","35","5","8.3%","24.9%",".178",".342",".279",".336",".457",".336","111","0.8","34.0%","84.7%","38.5%"
"CHW","188","22","0","9.0%","17.6%",".151",".292",".265",".335",".416",".326","109","-0.1","32.5%","86.5%","41.2%"
"MIL","259","29","3","8.1%","23.2%",".123",".345",".272",".333",".396",".316","99","0.0","33.8%","83.8%","41.2%"
"TEX","218","23","6","9.2%","21.1%",".162",".280",".244",".317",".406",".315","100","0.3","27.9%","85.1%","36.4%"
"LAD","227","24","4","11.0%","25.1%",".191",".252",".222",".311",".412",".311","98","0.2","27.3%","81.9%","42.0%"
"SEA","239","32","3","10.9%","22.6%",".135",".270",".227",".322",".362",".304","96","-1.0","29.9%","82.8%","35.5%"
"NYY","229","29","1","10.0%","23.6%",".154",".255",".219",".306",".373",".299","89","-0.7","24.7%","80.7%","45.6%"
"BAL","238","26","2","10.9%","28.2%",".120",".312",".231",".319",".351",".296","88","0.0","31.0%","84.3%","30.8%"
"PIT","237","29","5","9.3%","25.3%",".144",".268",".220",".305",".364",".296","84","0.4","28.2%","84.2%","33.1%"
"ATL","248","32","0","4.8%","19.0%",".240",".199",".214",".252",".454",".296","82","-1.0","31.7%","85.6%","35.1%"
"ARI","232","27","2","7.3%","23.3%",".149",".275",".221",".299",".370",".294","82","0.4","33.0%","83.4%","27.7%"
"SFG","268","20","4","10.1%","25.7%",".150",".289",".221",".302",".371",".291","84","-0.4","29.1%","80.6%","40.4%"
"COL","247","33","3","9.3%","18.6%",".197",".200",".197",".276",".394",".289","66","0.5","32.4%","84.3%","36.4%"
"MIN","219","17","2","8.7%","21.5%",".131",".265",".222",".292",".354",".282","77","0.0","31.0%","85.0%","38.2%"
"HOU","220","15","1","6.8%","18.2%",".113",".270",".236",".291",".350",".281","82","-0.1","30.6%","86.8%","47.0%"
"LAA","202","25","9","5.0%","27.7%",".156",".287",".229",".267",".385",".279","76","1.5","37.4%","85.3%","36.0%"
"KCR","223","27","6","7.2%","22.4%",".118",".253",".212",".274",".330",".266","65","0.9","32.3%","87.1%","43.9%"
"MIA","168","20","1","9.5%","29.8%",".127",".229",".173",".257",".300",".247","57","-0.4","38.2%","84.2%","35.6%"
