"Team","IP","K/9","BB/9","HR/9","BABIP","LOB%","ERA","FIP","xFIP","WHIP"
"LAD","1230.0","9.98","3.12","1.03",".260","77.1%","3.02","3.61","3.77","1.11"
"SFG","1226.2","8.80","2.69","0.96",".271","74.4%","3.26","3.63","3.93","1.13"
"MIL","1225.0","10.14","3.45","1.00",".276","75.5%","3.42","3.67","3.76","1.19"
"NYY","1203.0","9.72","3.02","1.15",".278","73.7%","3.66","3.79","4.00","1.18"
"TBR","1233.1","9.34","2.76","1.12",".287","73.3%","3.69","3.74","3.94","1.18"
"HOU","1209.1","9.19","3.32","1.19",".273","75.5%","3.74","4.10","4.10","1.22"
"NYM","1162.1","9.52","3.06","1.21",".283","73.7%","3.79","3.97","3.96","1.21"
"SDP","1221.0","9.60","3.16","1.19",".288","75.1%","3.79","3.99","3.96","1.23"
"CHW","1188.1","10.28","3.13","1.25",".283","74.2%","3.79","3.83","3.85","1.20"
"TOR","1171.1","9.35","3.07","1.28",".286","74.6%","3.89","4.10","4.07","1.24"
"MIA","1197.2","8.66","3.30","1.04",".285","72.4%","3.90","4.02","4.21","1.26"
"OAK","1212.2","8.36","2.75","1.19",".285","74.3%","3.90","4.07","4.35","1.23"
"ATL","1190.0","9.15","3.32","1.18",".287","73.6%","4.03","4.09","4.08","1.27"
"STL","1178.0","7.88","4.04","0.94",".276","72.5%","4.13","4.33","4.72","1.33"
"SEA","1217.1","8.21","2.97","1.20",".289","71.1%","4.27","4.22","4.43","1.27"
"BOS","1213.1","9.61","3.49","1.11",".323","72.0%","4.35","3.98","4.11","1.38"
"CLE","1173.0","9.13","3.51","1.34",".282","72.5%","4.36","4.38","4.25","1.29"
"CIN","1224.2","9.54","3.97","1.29",".296","72.7%","4.41","4.38","4.25","1.37"
"PHI","1191.2","9.31","3.22","1.31",".295","71.2%","4.43","4.21","4.03","1.30"
"DET","1206.2","8.09","3.56","1.34",".290","72.2%","4.43","4.67","4.61","1.37"
"KCR","1191.1","8.83","3.88","1.22",".304","71.0%","4.67","4.39","4.48","1.40"
"TEX","1196.1","7.87","3.22","1.49",".288","71.2%","4.68","4.76","4.55","1.34"
"CHC","1206.1","8.82","3.76","1.48",".291","71.7%","4.69","4.80","4.37","1.38"
"LAA","1199.2","9.45","3.73","1.25",".305","69.4%","4.71","4.26","4.17","1.38"
"COL","1181.1","8.24","3.47","1.27",".297","69.9%","4.73","4.46","4.37","1.36"
"WSN","1164.2","8.68","3.35","1.56",".287","70.2%","4.78","4.77","4.46","1.34"
"MIN","1191.0","8.30","3.07","1.58",".289","67.6%","5.00","4.75","4.44","1.33"
"PIT","1176.1","8.48","3.88","1.38",".300","69.5%","5.13","4.74","4.70","1.43"
"ARI","1207.2","7.90","3.56","1.45",".302","67.6%","5.21","4.85","4.84","1.45"
"BAL","1168.1","8.28","3.69","1.60",".306","66.5%","5.79","5.02","4.80","1.47"
