"Team","PA","R","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","O-Swing%","Z-Contact%","HardHit%"
"TOR","5039","685","68","8.0%","20.5%",".192",".299",".264",".329",".456",".336","111","-2.7","31.4%","86.9%","41.7%"
"HOU","5257","710","44","9.0%","19.5%",".170",".304",".266",".337",".437",".333","116","-7.8","29.3%","88.1%","40.6%"
"BOS","5223","699","36","8.3%","22.6%",".186",".307",".260",".327",".446",".331","106","-2.0","34.1%","83.4%","41.8%"
"CIN","5259","685","27","9.1%","23.7%",".181",".300",".250",".330",".432",".329","102","-14.0","31.4%","85.4%","38.1%"
"CHW","5135","686","53","9.6%","23.1%",".167",".307",".254",".333",".421",".328","109","4.2","32.9%","85.1%","39.1%"
"WSN","5060","604","50","8.8%","21.9%",".160",".307",".257",".333",".417",".325","100","-16.9","29.2%","85.7%","39.7%"
"LAD","5310","692","54","10.0%","23.2%",".179",".286",".242",".330",".420",".324","106","8.2","27.9%","84.6%","40.1%"
"SFG","5199","647","59","9.6%","24.1%",".188",".290",".243",".322",".432",".324","104","-8.5","28.2%","84.2%","38.8%"
"ATL","5123","667","55","9.4%","23.6%",".190",".283",".242",".320",".432",".322","99","5.4","31.5%","83.3%","39.9%"
"TBR","5254","733","70","9.5%","25.1%",".184",".292",".240",".319",".424",".320","107","8.6","30.5%","81.7%","39.7%"
"MIN","5134","615","42","8.9%","22.9%",".180",".283",".242",".317",".421",".318","101","-5.0","30.7%","84.2%","40.7%"
"NYY","5110","594","55","10.7%","24.4%",".163",".287",".237",".325",".400",".317","101","-9.4","28.0%","83.0%","41.8%"
"SDP","5204","638","100","10.0%","21.8%",".162",".286",".242",".324",".404",".315","99","-0.1","27.6%","86.0%","40.5%"
"OAK","5153","620","79","8.9%","22.5%",".172",".278",".237",".315",".409",".314","103","4.6","29.6%","85.3%","39.3%"
"PHI","5120","621","68","9.4%","23.2%",".168",".288",".240",".318",".408",".314","95","8.2","30.8%","83.6%","37.0%"
"COL","5072","626","68","8.2%","22.2%",".164",".294",".247",".315",".411",".314","81","12.4","32.7%","85.3%","35.9%"
"MIL","5205","635","69","9.6%","24.2%",".164",".287",".236",".320",".399",".313","94","8.4","30.1%","84.0%","38.8%"
"LAA","5071","621","66","7.3%","23.4%",".166",".299",".249",".310",".415",".312","98","1.5","33.6%","85.1%","34.8%"
"CLE","4935","604","88","7.9%","23.2%",".174",".281",".239",".306",".413",".310","93","7.3","32.2%","83.9%","38.8%"
"STL","5018","564","69","8.2%","22.1%",".160",".284",".240",".313",".400",".308","94","6.7","31.3%","84.5%","37.7%"
"CHC","5071","595","64","8.2%","26.8%",".170",".290",".233",".307",".403",".308","92","-5.0","31.9%","83.4%","38.6%"
"DET","5087","603","69","8.2%","25.6%",".161",".301",".242",".307",".403",".307","93","2.3","32.8%","83.3%","38.6%"
"NYM","4928","534","43","8.4%","23.7%",".150",".291",".239",".315",".389",".307","96","-12.6","33.1%","84.4%","38.0%"
"BAL","5009","557","46","7.5%","24.0%",".164",".290",".240",".304",".404",".307","94","-2.7","33.8%","84.0%","36.4%"
"ARI","5253","581","35","8.9%","23.9%",".145",".296",".236",".311",".382",".302","86","4.0","30.7%","84.3%","35.4%"
"KCR","5017","568","103","7.0%","21.6%",".145",".288",".244",".302",".388",".299","87","9.1","34.5%","85.9%","38.7%"
"SEA","5069","582","56","8.9%","25.5%",".158",".272",".223",".300",".381",".298","92","-6.0","30.4%","83.4%","36.9%"
"MIA","5041","544","97","7.9%","26.1%",".139",".300",".235",".302",".374",".295","87","4.3","33.7%","84.0%","37.2%"
"TEX","4995","526","80","7.4%","23.5%",".148",".275",".230",".294",".377",".292","84","-1.8","32.6%","83.4%","36.1%"
"PIT","5048","499","46","8.5%","22.4%",".129",".285",".233",".304",".362",".291","81","-1.9","30.4%","87.2%","33.8%"
