"Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR"
"Dodgers","1537","4181","177","580","563","35","9.9 %","20.8 %",".206",".294",".261",".343",".468",".340","112","3.6","70.9","45.6","24.5"
"Astros","1497","4176","175","560","547","48","9.7 %","18.5 %",".206",".295",".270",".346",".477",".346","120","-5.1","102.1","-9.2","23.3"
"Twins","1463","4151","205","604","581","24","7.9 %","20.3 %",".230",".298",".271",".338",".502",".350","117","-6.4","82.1","8.9","23.1"
"Red Sox","1563","4302","163","626","595","54","9.3 %","20.9 %",".199",".320",".276",".347",".475",".345","111","1.2","60.6","3.7","21.0"
"Yankees","1470","4058","177","610","579","38","9.6 %","23.0 %",".203",".316",".270",".344",".473",".344","113","-2.1","66.2","-20.9","18.3"
"Braves","1565","4139","163","566","548","53","9.3 %","22.6 %",".194",".308",".262",".337",".456",".334","103","2.8","20.2","28.8","17.8"
"Angels","1569","4162","158","551","527","44","9.3 %","18.3 %",".186",".283",".258",".333",".444",".328","108","-3.0","37.3","-3.7","17.6"
"Diamondbacks","1526","4162","146","543","518","60","8.2 %","21.4 %",".187",".300",".258",".326",".445",".324","97","8.9","-10.0","54.3","17.4"
"Brewers","1597","4162","176","522","508","71","9.8 %","24.3 %",".200",".292",".248",".329",".447",".326","99","4.4","-2.1","36.3","16.5"
"Cubs","1514","4024","166","530","511","29","9.6 %","24.0 %",".199",".298",".252",".332",".451",".329","102","-2.7","6.6","30.8","16.3"
"Rays","1566","4194","139","499","474","65","8.5 %","24.3 %",".175",".310",".253",".325",".427",".320","101","6.8","13.1","4.2","16.1"
"Athletics","1552","4147","169","549","513","34","8.7 %","20.4 %",".195",".274",".246",".320",".441",".322","102","-2.7","9.0","-0.1","15.1"
"Phillies","1530","4055","135","503","480","40","9.3 %","22.9 %",".176",".292",".245",".322",".421",".314","92","2.8","-38.4","45.4","13.5"
"Mariners","1537","4200","174","541","525","72","9.4 %","25.3 %",".199",".292",".244",".321",".443",".323","106","5.0","35.0","-53.8","12.6"
"Nationals","1501","4021","140","522","494","70","8.9 %","21.7 %",".179",".301",".257",".332",".436",".325","97","2.6","-13.7","9.7","12.3"
"Padres","1531","3916","157","460","446","50","8.1 %","25.9 %",".183",".294",".243",".309",".426",".310","92","-7.8","-49.2","46.9","12.1"
"Mets","1568","4075","151","494","476","39","8.2 %","22.7 %",".179",".297",".252",".324",".431",".319","101","-11.4","-5.3","-2.1","12.1"
"Indians","1483","3976","140","489","459","73","9.3 %","21.5 %",".178",".289",".250",".324",".427",".318","93","6.9","-27.1","2.5","11.3"
"Cardinals","1544","3976","136","481","454","68","8.7 %","22.5 %",".166",".287",".244",".317",".410",".310","91","7.4","-41.7","26.6","11.1"
"Pirates","1560","4051","109","486","477","37","6.9 %","20.2 %",".159",".314",".267",".323",".426",".315","95","0.3","-28.0","-5.0","9.6"
"Rangers","1480","4079","152","560","532","81","8.8 %","26.1 %",".192",".310",".250",".322",".443",".323","93","10.2","-26.6","-21.5","9.3"
"Royals","1465","4034","102","465","442","91","7.6 %","22.8 %",".153",".304",".249",".312",".402",".304","86","0.7","-69.3","16.5","8.7"
"Reds","1568","3862","140","458","444","47","7.7 %","23.3 %",".177",".290",".245",".314",".422",".311","88","-9.8","-70.3","25.0","7.8"
"Giants","1575","4034","109","463","449","28","8.1 %","23.1 %",".158",".286",".237",".303",".395",".297","83","-5.2","-94.1","38.4","7.3"
"Rockies","1558","4124","136","568","547","38","7.7 %","24.4 %",".187",".326",".265",".325",".452",".326","84","0.5","-85.8","10.1","5.7"
"White Sox","1463","3798","117","429","409","51","6.4 %","25.6 %",".149",".317",".253",".308",".402",".302","88","6.7","-50.7","-26.7","5.5"
"Blue Jays","1510","4003","151","466","445","31","8.2 %","24.3 %",".177",".275",".233",".300",".410",".301","86","-2.4","-73.5","-17.1","4.9"
"Orioles","1508","3980","134","461","436","55","7.1 %","24.1 %",".164",".295",".244",".305",".408",".303","87","-0.3","-68.0","-52.8","1.9"
"Marlins","1492","3808","85","367","355","28","6.3 %","24.3 %",".124",".299",".238",".294",".362",".282","75","-12.7","-135.9","22.7","1.0"
"Tigers","1468","3810","93","359","342","40","6.9 %","26.4 %",".149",".295",".231",".289",".380",".284","74","0.6","-124.3","-32.9","-2.2"
