"Team","Inn","rSZ","rCERA","rSB","rGDP","rARM","rGFP","rPM","rTS","DRS","BIZ","Plays","RZR","OOZ","FSR","FRM","ARM","DPR","RngR","ErrR","UZR","UZR/150","Def"
"Diamondbacks","8610.0","4","-1","2","-1","-1","6","41","27","79","1198","991",".827","446","","15.7","6.3","0.0","6.3","6.0","18.5","6.9","40.2"
"Royals","8502.0","0","2","0","-1","-1","4","12","9","22","1412","1119",".793","402","","9.2","-0.2","2.1","7.7","11.7","21.2","4.5","23.2"
"Rays","8841.0","8","-1","-2","2","6","2","18","20","48","1191","948",".796","433","","13.0","7.8","0.5","5.6","-3.7","10.2","5.6","21.2"
"Twins","8550.0","4","-1","-3","-2","12","4","12","14","38","1269","1030",".812","434","","5.3","11.2","0.4","18.3","-10.2","19.7","8.4","20.0"
"Phillies","8478.0","1","-1","5","0","2","-7","-5","5","2","1320","1065",".807","345","","8.7","6.9","-2.9","2.8","5.2","12.0","5.1","20.0"
"Athletics","8778.0","-8","-5","1","-5","9","-2","14","12","18","1433","1184",".826","360","","-14.8","6.2","-2.0","3.6","9.0","16.8","5.5","18.8"
"Angels","8580.0","-6","-4","-1","0","-2","-3","8","2","-6","1309","1071",".818","364","","-16.2","2.1","0.1","7.2","6.0","15.4","3.9","14.4"
"Cubs","8451.0","-1","1","-1","6","3","5","1","6","15","1325","1095",".826","336","","-14.3","1.0","5.9","2.6","4.8","14.3","3.0","11.3"
"Padres","8406.0","19","5","1","-2","2","1","-8","-4","10","1333","1065",".799","375","","34.1","-4.2","-0.5","8.9","3.8","8.0","-0.1","10.0"
"Indians","8397.0","14","2","0","-2","3","6","6","17","45","1200","986",".822","351","","15.9","-0.2","-1.5","2.1","4.3","4.7","1.0","8.7"
"Dodgers","8574.0","6","2","0","2","7","6","42","37","98","1199","960",".801","416","","16.8","7.8","-0.2","7.0","-5.6","9.1","5.9","8.1"
"Giants","8685.0","9","-2","0","-10","5","2","28","11","41","1333","1078",".809","363","","19.7","2.5","-3.5","10.0","-2.9","6.1","2.5","4.1"
"Red Sox","8724.0","5","0","2","-4","7","7","-35","4","-14","1265","1038",".821","337","","23.5","9.4","-3.2","-6.2","0.9","0.9","2.9","2.9"
"Marlins","8256.0","0","-2","-1","2","-8","6","10","0","6","1214","982",".809","348","","0.2","-2.1","1.1","3.4","-0.1","2.4","0.1","2.4"
"Astros","8670.0","-1","0","0","-3","-2","14","31","36","72","1156","945",".818","447","","-9.1","-2.9","-5.1","9.2","3.6","4.7","0.3","1.7"
"Brewers","8712.0","11","-4","-3","2","-1","10","15","4","30","1178","934",".793","417","","28.5","1.2","1.6","4.1","-4.9","2.0","0.9","-1.0"
"Reds","8220.0","3","1","-2","4","2","1","24","8","38","1161","922",".794","362","","3.2","-1.4","1.6","2.3","1.6","4.1","0.6","-1.9"
"Cardinals","8394.0","-12","-1","3","5","1","-4","30","21","55","1250","1024",".819","344","","-19.7","3.7","2.2","0.6","3.9","10.5","4.0","-2.3"
"Rangers","8481.0","-6","2","-5","3","-6","-11","-27","12","-40","1380","1097",".795","334","","-21.9","-5.5","3.2","-0.5","5.9","3.1","-0.9","-2.9"
"White Sox","8040.0","-7","2","2","5","-3","-1","-38","6","-34","1240","994",".802","389","","-18.6","-1.0","3.0","-3.8","-7.1","-8.8","-2.7","-7.8"
"Rockies","8550.0","-10","1","2","7","-14","-4","-12","16","-14","1357","1082",".797","417","","-14.5","-4.9","1.6","-1.8","-3.6","-8.7","-3.4","-8.7"
"Nationals","8358.0","-7","0","0","-2","3","1","-23","1","-27","1201","986",".821","359","","-11.1","-2.0","-3.3","-6.8","2.0","-10.1","-2.9","-10.1"
"Yankees","8421.0","-5","2","1","0","1","6","-13","-8","-21","1233","952",".772","414","","-10.4","-3.7","2.2","-4.8","-1.9","-8.3","-3.5","-10.3"
"Blue Jays","8541.0","7","3","3","-2","0","-1","-27","9","-6","1326","1050",".792","396","","17.4","-2.4","-2.7","-19.9","6.4","-18.6","-4.7","-10.6"
"Braves","8547.0","11","1","-1","-1","-3","-4","15","-1","14","1318","1050",".797","381","","21.9","1.9","-0.2","-11.3","1.7","-7.9","-0.9","-10.9"
"Pirates","8406.0","-7","-2","1","1","-2","-8","-17","6","-28","1261","1000",".793","364","","-22.5","-0.1","0.2","-11.1","-7.0","-18.0","-5.4","-17.0"
"Tigers","8157.0","-2","2","-1","-3","-9","-5","-21","2","-42","1333","1041",".781","344","","-11.4","-9.0","-1.1","-9.6","2.4","-17.3","-6.5","-18.3"
"Orioles","8391.0","-18","-2","0","2","-17","-14","-28","1","-77","1287","1048",".814","487","","-28.2","-16.5","1.5","-1.7","-12.4","-29.1","-12.2","-32.1"
"Mariners","8709.0","-4","-3","-2","-3","-5","-11","-32","1","-66","1456","1158",".795","416","","-17.3","-9.8","-1.6","-7.2","-14.0","-32.6","-8.6","-37.6"
"Mets","8502.0","-10","2","0","0","5","-4","-52","0","-61","1283","1025",".799","333","","-10.4","-2.0","0.4","-17.0","-4.8","-23.5","-5.8","-40.9"
