"Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR"
"Braves","113","307","17","55","54","2","10.7 %","21.5 %",".289",".344",".301",".392",".590",".406","151","-1.4","18.8","1.7","3.0"
"Diamondbacks","95","280","20","45","45","2","10.4 %","19.6 %",".308",".263",".267",".343",".575",".375","131","0.0","11.2","3.0","2.3"
"Red Sox","105","286","15","40","38","3","9.4 %","24.5 %",".251",".339",".286",".358",".537",".373","131","-0.1","11.2","1.2","2.2"
"Twins","81","236","14","41","39","0","8.1 %","16.9 %",".259",".302",".292",".360",".552",".379","139","-0.6","10.9","0.8","2.0"
"Rockies","106","289","11","53","51","3","8.3 %","18.0 %",".206",".366",".324",".390",".530",".386","124","0.0","8.5","1.6","1.9"
"Astros","73","204","11","39","39","6","12.3 %","22.5 %",".253",".294",".264",".363",".517",".369","138","0.2","9.8","-0.4","1.6"
"Padres","93","252","8","39","36","4","7.1 %","24.2 %",".184",".358",".286",".337",".470",".342","114","0.2","4.6","2.6","1.5"
"Yankees","84","246","9","37","35","2","11.8 %","22.4 %",".200",".333",".279",".362",".479",".354","122","-0.6","6.2","-1.0","1.4"
"Mariners","81","253","11","39","34","4","9.5 %","20.9 %",".216",".298",".266",".341",".482",".346","122","0.2","7.3","-3.4","1.3"
"Cardinals","100","267","7","33","30","12","8.6 %","21.7 %",".167",".301",".252",".322",".419",".316","96","2.3","0.7","2.4","1.1"
"Rays","100","267","10","32","31","4","6.7 %","22.1 %",".155",".322",".273",".330",".429",".323","104","0.6","2.1","0.1","1.1"
"Dodgers","78","220","11","20","20","1","8.6 %","23.2 %",".198",".274",".244",".320",".442",".325","103","0.2","1.0","2.6","1.0"
"Phillies","83","226","10","32","29","4","8.4 %","17.7 %",".210",".263",".250",".315",".460",".327","102","-0.4","0.1","2.9","1.0"
"White Sox","88","220","9","32","29","0","7.7 %","18.6 %",".192",".307",".276",".332",".468",".337","113","0.3","4.0","-2.2","0.9"
"Pirates","103","280","7","40","40","4","7.9 %","18.6 %",".166",".330",".285",".338",".451",".326","101","-0.3","0.1","-0.2","0.9"
"Brewers","72","213","11","29","27","4","9.4 %","24.9 %",".214",".276",".246",".319",".460",".328","100","0.6","0.7","1.4","0.9"
"Athletics","81","232","7","34","32","3","8.6 %","19.4 %",".157",".286",".250",".332",".407",".318","101","0.3","0.5","-0.1","0.8"
"Giants","70","179","5","23","22","3","7.3 %","25.1 %",".155",".368",".292",".339",".447",".332","105","0.5","1.7","1.0","0.8"
"Mets","83","234","9","38","38","4","6.8 %","23.5 %",".180",".295",".251",".316",".431",".317","100","-0.2","-0.2","0.6","0.8"
"Nationals","81","226","12","32","32","4","5.8 %","16.8 %",".235",".266",".265",".316",".500",".338","106","-0.5","1.2","-1.0","0.7"
"Indians","74","207","7","27","24","6","9.7 %","19.8 %",".184",".275",".243",".316",".427",".315","92","1.6","-0.5","-1.0","0.6"
"Angels","86","223","10","27","24","2","8.1 %","26.0 %",".218",".252",".218",".297",".437",".305","93","0.3","-1.8","-1.4","0.5"
"Rangers","102","292","3","41","38","9","10.6 %","28.8 %",".127",".351",".246",".337",".373",".307","84","0.8","-5.4","-0.7","0.4"
"Marlins","87","231","3","21","20","1","4.8 %","22.5 %",".085",".344",".269",".320",".354",".295","84","-0.3","-5.1","1.5","0.4"
"Blue Jays","83","230","6","28","27","3","8.3 %","27.0 %",".139",".317",".245",".309",".385",".299","86","0.2","-3.9","-0.7","0.3"
"Cubs","95","257","12","31","30","0","6.2 %","22.2 %",".185",".250",".228",".291",".414",".299","81","-0.8","-7.3","2.4","0.3"
"Orioles","89","222","3","17","16","1","8.1 %","23.9 %",".115",".338",".260",".326",".375",".305","89","-1.2","-4.3","-2.1","0.1"
"Reds","77","186","7","16","16","0","10.2 %","26.9 %",".175",".248",".205",".286",".380",".285","74","-0.2","-6.7","1.1","0.0"
"Royals","76","217","5","18","16","9","7.4 %","24.9 %",".131",".270",".216",".276",".347",".270","66","1.7","-7.9","0.2","0.0"
"Tigers","87","216","4","16","15","0","7.4 %","28.2 %",".134",".263",".201",".264",".335",".258","58","-0.2","-11.7","-2.7","-0.7"
