"Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR"
"Rays","42","28","17","298","70","634.2","9.52","2.88","0.87",".275","77.1 %","45.2 %","11.0 %","3.05","3.39","3.82","12.2"
"Reds","30","38","16","306","68","604.0","9.77","3.26","1.04",".293","76.6 %","45.4 %","13.6 %","3.59","3.70","3.84","10.5"
"Astros","48","23","21","269","71","642.0","10.12","2.69","1.39",".252","78.2 %","43.0 %","16.1 %","3.48","3.92","3.77","10.2"
"Dodgers","47","24","23","283","71","630.1","8.85","2.27","1.19",".262","76.0 %","45.3 %","14.2 %","3.34","3.80","3.88","9.9"
"Twins","47","22","21","279","69","610.0","8.84","2.88","1.25",".292","74.3 %","40.9 %","13.5 %","3.95","4.11","4.29","9.7"
"Red Sox","38","34","15","312","72","646.0","10.04","3.22","1.23",".301","70.7 %","42.3 %","13.4 %","4.35","3.95","4.15","9.5"
"Yankees","42","27","23","288","69","614.0","9.41","3.09","1.48",".285","75.0 %","43.6 %","16.1 %","4.09","4.34","4.18","9.0"
"Indians","36","33","21","294","69","607.1","9.65","2.93","1.36",".287","74.9 %","40.5 %","14.6 %","3.94","4.12","4.16","8.9"
"Diamondbacks","38","34","16","296","72","655.0","8.73","3.06","1.17",".297","74.4 %","43.0 %","13.4 %","4.03","4.06","4.25","8.4"
"Nationals","32","38","15","301","70","615.1","9.70","3.29","1.29",".307","69.6 %","41.9 %","13.6 %","4.71","4.14","4.31","8.4"
"Cubs","39","31","16","298","70","628.0","8.73","3.57","1.12",".293","74.4 %","47.2 %","14.3 %","3.90","4.13","4.19","8.2"
"Athletics","36","35","15","316","72","651.2","7.82","3.41","1.17",".278","72.5 %","40.1 %","11.2 %","4.31","4.41","4.97","7.9"
"Mets","34","36","17","276","70","628.1","9.27","3.31","1.26",".310","70.2 %","42.4 %","13.1 %","4.63","4.17","4.41","7.7"
"Rangers","38","32","17","288","70","625.0","8.50","3.67","1.43",".312","72.8 %","40.8 %","14.6 %","4.82","4.70","4.73","6.5"
"Brewers","39","31","20","307","70","638.1","9.28","3.48","1.40",".300","72.2 %","42.5 %","16.3 %","4.58","4.38","4.20","6.4"
"Rockies","37","33","12","319","70","634.1","8.29","3.41","1.46",".307","69.9 %","47.2 %","17.4 %","5.16","4.68","4.37","5.6"
"Tigers","25","42","20","306","68","603.2","8.08","3.40","1.54",".299","70.1 %","43.4 %","15.6 %","4.83","4.87","4.76","4.8"
"White Sox","34","35","16","290","69","593.2","8.25","3.93","1.47",".295","71.1 %","39.9 %","14.3 %","4.93","4.88","4.97","4.6"
"Padres","34","37","26","306","71","630.0","8.90","2.56","1.46",".290","70.8 %","43.7 %","15.5 %","4.53","4.30","4.21","4.6"
"Royals","22","48","9","280","70","612.1","7.88","3.82","1.19",".305","69.6 %","44.3 %","13.4 %","5.06","4.60","4.79","4.4"
"Marlins","25","43","14","277","68","607.2","8.56","3.72","1.21",".288","73.0 %","41.8 %","13.0 %","4.37","4.42","4.67","4.3"
"Braves","41","30","20","328","71","639.2","8.67","3.74","1.28",".290","72.0 %","44.6 %","14.5 %","4.26","4.51","4.55","4.1"
"Pirates","31","39","17","294","70","624.0","8.80","3.74","1.41",".309","68.7 %","41.5 %","14.7 %","5.13","4.66","4.69","3.9"
"Cardinals","35","34","20","300","69","607.2","8.72","3.66","1.38",".279","73.4 %","45.8 %","17.4 %","4.31","4.57","4.28","3.8"
"Angels","35","36","19","313","71","628.0","8.96","3.60","1.66",".286","72.9 %","38.1 %","15.9 %","5.02","4.94","4.78","3.2"
"Blue Jays","25","45","14","300","70","618.0","8.39","3.95","1.46",".296","71.6 %","45.4 %","16.0 %","4.78","4.85","4.71","3.2"
"Phillies","39","31","21","299","70","628.0","8.57","3.47","1.63",".296","77.5 %","43.1 %","17.6 %","4.34","4.91","4.55","2.7"
"Giants","30","38","19","293","68","608.0","8.60","3.36","1.45",".289","70.8 %","41.5 %","15.8 %","4.53","4.63","4.50","2.0"
"Mariners","30","44","15","316","74","658.1","7.67","3.39","1.74",".302","66.1 %","42.5 %","16.7 %","5.40","5.23","4.95","1.0"
"Orioles","21","49","14","284","70","621.0","7.83","3.77","2.01",".289","69.2 %","41.2 %","18.5 %","5.71","5.75","5.18","0.2"
