"Team","Inn","rSZ","rCERA","rSB","rGDP","rARM","rGFP","rPM","rTS","DRS","BIZ","Plays","RZR","OOZ","FSR","FRM","ARM","DPR","RngR","ErrR","UZR","UZR/150","Def"
"Twins","5490.0","1","1","-1","0","11","3","21","11","48","795","648",".815","287","","4.1","7.1","-0.2","9.7","-0.9","15.7","9.8","19.8"
"Diamondbacks","5895.0","1","1","1","0","-3","5","24","16","45","844","693",".821","292","","5.5","2.5","0.6","4.1","3.9","11.2","5.5","18.7"
"Dodgers","5673.0","3","2","1","1","8","4","34","31","83","797","655",".822","279","","7.3","10.4","-0.1","0.8","3.3","14.4","13.2","16.4"
"Cubs","5652.0","-3","-2","0","3","3","0","16","0","17","881","724",".822","228","","-14.4","2.6","2.7","2.1","4.1","11.6","4.7","13.6"
"Rays","5712.0","3","0","-2","3","7","1","18","13","41","753","608",".807","284","","5.2","4.5","-0.8","5.3","1.3","10.2","8.0","13.4"
"Phillies","5652.0","2","0","5","1","1","-3","-7","-4","-4","907","727",".802","218","","8.8","5.5","-1.9","-1.1","2.7","5.3","5.5","13.3"
"Athletics","5865.0","-6","-2","1","-4","6","-2","4","6","3","933","774",".830","241","","-11.7","6.1","-0.6","0.3","6.7","12.6","7.3","9.6"
"Royals","5511.0","1","1","0","0","2","4","11","12","27","906","723",".798","252","","4.8","-1.2","1.5","1.9","7.0","9.2","2.9","8.2"
"Astros","5778.0","0","1","0","-3","-2","9","28","26","57","786","650",".827","290","","-2.6","-1.1","-3.2","11.4","2.4","9.5","4.5","7.5"
"Padres","5670.0","14","4","1","-3","6","-1","-7","-4","9","901","719",".798","251","","23.5","0.1","-2.2","3.3","3.4","4.5","1.5","7.5"
"Angels","5652.0","-4","-4","-2","-4","-4","-1","3","3","-14","864","713",".825","243","","-9.3","-1.7","-1.9","5.4","5.6","7.4","1.8","5.4"
"Reds","5436.0","4","-1","-2","3","1","5","17","9","35","763","607",".796","252","","6.2","-2.6","3.7","1.0","3.0","5.1","0.0","4.1"
"Marlins","5469.0","0","-2","1","3","-5","4","2","2","5","830","667",".804","229","","2.1","2.1","1.2","0.4","-2.2","1.5","1.2","3.5"
"Cardinals","5469.0","-6","-2","0","1","2","-4","20","16","30","810","671",".828","219","","-5.8","3.7","2.0","1.5","1.3","8.6","5.4","2.8"
"Red Sox","5814.0","4","1","1","-2","6","11","-13","5","12","842","702",".834","224","","13.2","6.3","-1.6","-4.3","1.2","1.7","4.3","2.7"
"Giants","5472.0","8","0","-1","-3","0","-2","23","6","33","837","685",".818","222","","15.6","1.2","-0.9","7.5","-5.0","2.8","1.8","1.8"
"Rockies","5709.0","-6","1","2","2","-7","-2","-7","16","1","889","721",".811","278","","-7.0","-4.8","1.6","0.7","-0.2","-2.8","-3.3","-0.8"
"Brewers","5745.0","4","-4","-3","2","-1","6","15","4","24","791","620",".784","272","","11.8","0.4","0.6","3.0","-4.9","-1.0","-0.3","-2.0"
"Indians","5466.0","9","1","0","-1","-1","0","-1","15","20","771","624",".809","247","","7.5","-1.7","-0.5","-3.2","0.8","-4.5","-2.4","-2.5"
"Blue Jays","5562.0","5","1","1","-2","-2","-3","-22","10","-11","858","682",".795","270","","12.4","-0.8","-2.1","-7.5","2.2","-8.1","-2.8","-3.1"
"Yankees","5526.0","-3","0","1","0","-2","5","-8","2","-11","805","622",".773","269","","-10.8","-0.3","1.0","-0.8","-1.6","-1.7","-1.0","-3.7"
"Rangers","5625.0","-4","1","-5","4","-3","-3","-22","7","-27","920","730",".794","218","","-18.2","-4.2","1.3","-0.6","4.8","1.2","-1.4","-4.8"
"Braves","5757.0","6","1","-1","-1","-3","1","14","-2","15","887","717",".808","244","","13.0","-2.4","-0.2","-4.7","1.2","-6.1","-3.2","-6.1"
"Tigers","5433.0","-1","1","0","-2","-5","-3","-14","4","-24","899","714",".794","219","","-6.9","-5.8","0.7","-3.8","0.0","-8.9","-5.7","-8.9"
"Orioles","5589.0","-12","0","3","5","-11","-6","-28","2","-46","848","692",".816","313","","-11.4","-9.3","0.2","1.6","-6.3","-13.8","-9.6","-9.8"
"Pirates","5616.0","-5","-1","0","0","-2","-2","-7","7","-9","843","674",".800","264","","-11.3","-0.7","0.1","-3.8","-7.0","-11.5","-5.5","-12.5"
"White Sox","5343.0","-4","1","1","2","-3","-2","-19","11","-12","789","636",".806","267","","-14.0","-3.0","0.7","-2.7","-7.8","-12.8","-6.1","-12.8"
"Nationals","5538.0","-4","1","0","-2","2","-2","-33","4","-35","806","659",".818","229","","-5.8","-6.7","-1.4","-8.2","-1.6","-17.8","-10.1","-17.8"
"Mets","5655.0","-6","1","0","2","3","-6","-39","-8","-55","863","688",".797","226","","-9.3","0.8","0.9","-6.6","-2.1","-7.0","-2.2","-21.3"
"Mariners","5925.0","-3","-4","0","-4","-6","-8","-36","0","-67","1008","786",".780","285","","-8.9","-7.0","-1.1","-12.7","-13.3","-34.0","-12.9","-37.0"
