"Team","PA","R","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","O-Swing%","Z-Contact%","HardHit%"
"COL","830","104","4","8.7%","20.6%",".166",".312",".265",".337",".430",".343","110","-2.2","32.1%","85.7%","36.7%"
"LAA","860","110","16","10.0%","23.1%",".175",".310",".256",".335",".431",".342","126","-5.7","26.7%","84.4%","37.9%"
"NYY","829","106","11","9.5%","22.4%",".176",".289",".249",".327",".425",".335","123","-1.4","33.6%","83.7%","48.4%"
"NYM","886","108","12","9.1%","20.1%",".126",".316",".262",".344",".388",".332","123","-0.3","31.6%","86.0%","33.6%"
"SEA","847","102","14","10.7%","21.8%",".157",".287",".240",".329",".396",".326","121","1.1","30.9%","85.1%","36.4%"
"PHI","843","106","12","8.8%","23.5%",".165",".293",".244",".316",".408",".324","109","3.5","33.9%","83.4%","43.5%"
"CLE","829","101","9","8.0%","22.0%",".154",".304",".251",".314",".405",".322","112","-3.5","32.3%","86.5%","34.4%"
"CHC","818","96","4","9.9%","23.2%",".136",".309",".246",".329",".382",".321","108","-2.4","31.4%","84.2%","39.4%"
"MIA","797","83","12","10.2%","25.2%",".142",".304",".237",".325",".379",".318","111","-0.1","33.7%","84.2%","35.7%"
"LAD","783","102","16","10.5%","21.7%",".147",".282",".237",".321",".384",".318","110","3.4","26.5%","86.1%","39.2%"
"TOR","845","92","12","6.9%","22.6%",".166",".282",".243",".304",".410",".318","106","3.8","33.1%","85.0%","45.4%"
"SDP","876","109","12","10.5%","21.9%",".142",".281",".234",".326",".376",".317","110","1.3","29.5%","87.0%","37.0%"
"ATL","845","89","7","8.9%","24.5%",".174",".272",".227",".303",".402",".316","103","-2.1","34.0%","82.5%","41.2%"
"MIN","809","94","4","9.8%","24.7%",".151",".287",".232",".314",".383",".315","108","-5.0","31.2%","84.3%","41.4%"
"TBR","802","90","16","9.2%","24.6%",".144",".303",".240",".315",".384",".314","113","-2.2","30.1%","83.2%","43.0%"
"SFG","829","109","14","9.2%","23.6%",".142",".287",".237",".315",".379",".313","107","2.1","28.8%","82.6%","40.3%"
"STL","787","89","22","8.4%","20.1%",".119",".281",".237",".311",".356",".303","101","5.4","34.6%","84.1%","33.4%"
"MIL","828","94","13","8.6%","25.0%",".151",".266",".218",".291",".369",".297","92","2.3","28.6%","84.7%","38.0%"
"HOU","823","82","8","8.9%","22.5%",".155",".250",".214",".288",".369",".295","97","-1.2","30.3%","87.0%","41.1%"
"WSN","896","95","6","8.1%","20.3%",".096",".295",".241",".309",".337",".293","88","-2.2","33.5%","85.9%","34.1%"
"DET","767","67","3","9.1%","24.6%",".090",".304",".232",".309",".322",".290","90","-6.3","32.9%","84.0%","34.8%"
"TEX","817","96","14","8.4%","20.3%",".116",".261",".223",".293",".339",".287","89","7.1","30.1%","83.9%","38.9%"
"BAL","833","71","12","9.2%","25.7%",".098",".291",".219",".304",".317",".285","85","1.7","31.9%","82.3%","39.5%"
"PIT","807","80","9","8.7%","24.8%",".098",".300",".232",".298",".330",".285","86","0.7","30.7%","86.5%","37.1%"
"CHW","740","69","10","5.9%","20.5%",".133",".252",".218",".271",".351",".281","85","1.3","34.6%","85.2%","43.8%"
"OAK","793","84","12","7.3%","26.1%",".131",".268",".211",".277",".342",".279","87","2.9","33.4%","84.2%","39.9%"
"BOS","852","81","4","6.1%","21.4%",".114",".277",".229",".279",".343",".278","78","1.0","36.1%","84.1%","39.8%"
"KCR","732","63","14","8.5%","19.9%",".102",".256",".214",".288",".316",".277","79","1.2","32.0%","82.8%","37.3%"
"ARI","834","73","8","10.2%","25.2%",".147",".215",".181",".273",".328",".275","75","3.2","27.6%","85.5%","37.2%"
"CIN","774","67","4","7.6%","25.2%",".110",".254",".201",".271",".311",".267","67","-8.6","33.0%","84.2%","34.7%"
