"Team","PA","R","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","O-Swing%","Z-Contact%","HardHit%"
"NYY","233","48","2","10.3%","19.7%",".256",".299",".286",".361",".542",".392","163","-0.9","31.2%","84.5%","48.4%"
"COL","263","33","0","11.4%","19.4%",".187",".294",".257",".350",".443",".355","119","-0.9","34.2%","86.8%","35.8%"
"LAA","255","31","4","8.6%","20.0%",".187",".329",".278",".340",".465",".354","135","-1.2","28.3%","88.7%","39.6%"
"SDP","245","42","1","10.2%","16.7%",".176",".291",".267",".352",".443",".353","135","0.1","27.6%","90.2%","39.7%"
"MIN","225","36","0","7.6%","22.7%",".190",".322",".268",".327",".459",".350","132","-1.4","33.1%","86.7%","41.0%"
"MIL","264","40","4","8.0%","25.4%",".203",".292",".249",".314",".452",".341","121","0.7","32.0%","84.7%","41.4%"
"WSN","239","33","4","9.2%","17.2%",".084",".351",".288",".356",".372",".329","113","-0.2","34.7%","84.6%","29.1%"
"NYM","229","27","0","7.4%","21.4%",".097",".355",".277",".349",".374",".328","120","-0.2","36.0%","88.0%","35.0%"
"PHI","254","42","9","10.2%","24.4%",".189",".260",".225",".307",".414",".320","108","2.3","32.7%","85.9%","42.1%"
"MIA","224","24","4","10.3%","25.4%",".148",".286",".224",".321",".372",".317","111","-0.5","33.2%","81.3%","38.8%"
"SFG","224","30","4","10.7%","23.2%",".134",".270",".227",".321",".361",".311","105","0.7","31.9%","84.6%","41.7%"
"CIN","219","24","0","6.8%","20.5%",".162",".275",".237",".295",".399",".310","97","-2.5","33.3%","84.4%","43.9%"
"BAL","229","27","0","7.4%","23.1%",".137",".297",".239",".311",".376",".308","102","-0.7","32.7%","85.8%","37.0%"
"TOR","248","26","5","7.3%","21.4%",".161",".258",".228",".296",".388",".307","98","1.3","32.0%","86.0%","44.5%"
"TBR","210","19","7","9.5%","25.7%",".138",".289",".229",".306",".367",".306","108","-0.1","29.6%","82.3%","40.0%"
"HOU","266","28","4","8.6%","24.1%",".158",".271",".225",".293",".383",".304","103","0.1","33.1%","88.9%","45.5%"
"SEA","223","25","3","6.7%","24.7%",".139",".301",".239",".299",".378",".300","102","-0.2","33.3%","84.7%","38.0%"
"CLE","254","26","3","8.7%","22.0%",".143",".265",".222",".287",".365",".294","93","-1.4","30.7%","87.5%","35.2%"
"ATL","220","21","4","7.7%","25.5%",".156",".255",".216",".282",".372",".293","87","0.1","35.6%","82.1%","42.1%"
"CHW","212","19","0","5.2%","18.4%",".130",".258",".228",".284",".358",".290","91","-0.2","35.4%","85.1%","43.9%"
"TEX","247","25","5","8.9%","21.1%",".118",".250",".213",".289",".330",".283","86","2.6","31.9%","82.5%","35.1%"
"LAD","209","20","3","8.6%","20.1%",".116",".257",".217",".287",".333",".281","85","0.3","27.6%","85.7%","36.5%"
"DET","219","14","1","6.4%","27.4%",".084",".317",".233",".292",".317",".279","83","-1.6","35.0%","82.5%","32.4%"
"STL","258","29","9","7.0%","19.8%",".082",".282",".233",".298",".315",".279","85","2.0","34.7%","85.1%","34.8%"
"KCR","234","20","3","12.8%","18.8%",".056",".265",".213",".322",".269",".278","81","0.4","30.2%","81.8%","40.8%"
"BOS","266","23","2","5.6%","19.9%",".088",".289",".238",".288",".326",".277","76","0.2","35.6%","86.6%","40.7%"
"OAK","182","15","4","5.5%","28.6%",".127",".292",".218",".271",".345",".274","84","1.2","34.9%","87.9%","52.1%"
"PIT","224","23","1","8.0%","25.0%",".055",".304",".229",".290",".284",".264","72","0.7","31.3%","83.7%","34.2%"
"ARI","242","24","1","8.3%","24.4%",".171",".173",".161",".241",".332",".261","66","0.6","29.3%","86.5%","35.0%"
"CHC","213","12","0","9.4%","29.1%",".106",".226",".169",".258",".275",".249","60","-1.2","34.8%","82.1%","32.8%"
