"Team","IP","K/9","BB/9","HR/9","BABIP","LOB%","ERA","FIP","xFIP","WHIP"
"MIL","63.0","11.57","3.57","0.57",".255","77.8%","2.43","2.58","2.88","1.03"
"LAA","62.0","6.82","2.03","0.73",".243","82.5%","2.47","3.44","3.83","0.98"
"MIN","53.0","9.51","2.55","0.68",".276","81.7%","2.55","2.86","2.99","1.06"
"LAD","52.0","10.04","2.25","0.69",".242","75.4%","2.60","2.84","3.00","0.92"
"PHI","61.0","8.41","3.39","0.89",".302","80.4%","2.95","3.78","3.77","1.31"
"MIA","54.0","7.83","3.50","0.50",".285","76.1%","3.00","3.29","3.61","1.20"
"TEX","63.0","9.00","3.29","1.14",".215","77.1%","3.14","3.93","3.40","1.03"
"NYY","53.0","8.15","2.55","0.68",".308","76.8%","3.23","3.39","3.67","1.26"
"TBR","54.0","9.67","2.00","1.00",".298","62.5%","3.33","3.22","3.06","1.17"
"ARI","61.0","5.90","2.80","0.59",".269","72.4%","3.39","3.71","4.62","1.20"
"ATL","53.0","8.15","3.74","0.85",".248","75.4%","3.40","3.92","3.98","1.15"
"BOS","60.2","8.01","3.12","0.89",".267","73.2%","3.41","3.68","3.95","1.20"
"CHW","55.0","7.85","5.73","0.49",".272","72.9%","3.44","4.07","4.67","1.44"
"HOU","60.0","8.10","2.40","1.20",".247","78.2%","3.45","4.12","3.83","1.07"
"SDP","54.0","9.00","2.67","0.67",".314","65.2%","3.50","3.05","3.38","1.26"
"NYM","53.0","10.19","3.57","1.02",".246","74.6%","3.57","3.71","3.60","1.09"
"TOR","64.0","9.42","2.39","0.56",".324","70.3%","3.80","2.65","3.33","1.25"
"DET","49.1","7.84","3.28","1.28",".257","62.5%","3.83","4.28","3.98","1.24"
"WSN","53.0","9.00","4.25","0.85",".285","69.6%","4.08","4.01","4.05","1.34"
"SEA","50.0","9.54","4.50","1.26",".318","80.4%","4.14","4.47","3.91","1.48"
"STL","63.0","7.86","2.86","1.14",".266","74.1%","4.14","4.23","3.77","1.17"
"CLE","59.0","8.08","2.29","0.92",".309","66.1%","4.42","3.53","3.83","1.27"
"SFG","54.0","9.33","2.67","0.50",".366","61.5%","4.50","2.68","3.03","1.44"
"COL","59.0","7.47","3.20","1.07",".287","57.0%","4.58","4.14","3.93","1.32"
"KCR","53.0","7.30","3.57","1.53",".252","69.7%","4.75","5.03","4.26","1.26"
"OAK","44.0","7.57","4.09","1.02",".274","62.3%","4.91","4.31","4.03","1.34"
"PIT","55.0","7.20","3.11","1.15",".273","59.2%","4.91","4.34","4.17","1.29"
"CHC","51.0","10.24","2.82","2.29",".301","75.8%","4.94","5.19","3.39","1.35"
"BAL","52.0","7.62","2.94","1.73",".288","64.5%","5.02","5.11","3.99","1.38"
"CIN","51.0","8.12","5.82","1.41",".351","58.1%","8.12","5.50","5.29","1.86"
