"Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR"
"Reds","18","22","11","186","40","356.2","9.66","3.43","0.81",".292","77.6 %","44.9 %","10.8 %","3.28","3.37","3.75","6.9"
"Rays","24","14","13","165","38","347.0","9.73","2.75","0.88",".268","79.4 %","45.5 %","11.3 %","2.85","3.24","3.58","6.7"
"Indians","20","18","11","165","38","331.1","9.86","3.21","1.09",".287","75.5 %","39.5 %","11.8 %","3.64","3.69","4.02","6.1"
"Astros","25","15","12","142","40","350.0","9.75","2.49","1.23",".248","74.0 %","42.3 %","14.4 %","3.60","3.66","3.65","5.6"
"Twins","25","13","11","151","38","335.0","8.68","2.98","1.16",".280","75.2 %","39.0 %","11.7 %","3.71","3.96","4.32","5.6"
"Yankees","23","16","10","163","39","346.1","9.49","3.53","1.35",".275","75.6 %","41.9 %","14.7 %","3.90","4.19","4.13","5.5"
"Nationals","16","23","6","174","39","344.0","10.07","3.56","1.15",".319","69.2 %","41.6 %","12.2 %","4.74","3.86","4.14","5.3"
"Pirates","19","17","14","155","36","325.0","8.92","3.38","0.97",".287","68.8 %","41.8 %","10.3 %","4.07","3.77","4.31","5.0"
"Dodgers","26","16","14","180","42","373.1","8.75","2.48","1.25",".267","72.3 %","44.0 %","14.5 %","3.71","3.94","3.91","4.8"
"Padres","22","18","18","169","40","358.0","9.23","2.77","1.18",".283","74.2 %","44.7 %","13.0 %","3.85","3.80","3.96","4.8"
"Athletics","19","22","6","189","41","374.1","7.98","3.25","1.13",".282","71.9 %","40.1 %","10.6 %","4.26","4.18","4.74","4.6"
"Mets","19","20","11","156","39","351.2","9.60","3.61","1.23",".305","70.2 %","43.9 %","13.4 %","4.53","4.09","4.21","4.2"
"Red Sox","21","19","10","174","40","354.0","9.89","3.36","1.37",".293","70.8 %","42.2 %","14.9 %","4.45","4.16","4.07","4.0"
"Cubs","23","14","6","166","37","339.1","9.15","4.14","1.06",".278","75.9 %","51.2 %","16.4 %","3.53","4.06","3.86","3.9"
"Tigers","17","20","14","168","37","327.2","8.38","3.60","1.29",".301","71.8 %","43.3 %","13.7 %","4.67","4.46","4.54","3.8"
"Diamondbacks","22","18","13","163","40","367.0","8.83","3.36","1.30",".290","73.5 %","44.3 %","15.2 %","4.29","4.31","4.19","3.6"
"Blue Jays","16","23","10","176","39","348.2","8.54","3.79","1.14",".271","72.8 %","44.9 %","12.6 %","3.90","4.22","4.44","3.3"
"Brewers","24","17","13","186","41","375.1","9.18","3.76","1.44",".287","75.4 %","43.4 %","17.0 %","4.36","4.50","4.16","3.1"
"Rockies","18","21","6","178","39","355.1","8.21","3.57","1.39",".298","70.6 %","47.8 %","16.8 %","5.02","4.59","4.29","3.0"
"Phillies","22","16","8","161","38","345.2","8.51","3.12","1.35",".302","77.8 %","44.8 %","14.5 %","3.85","4.34","4.31","2.8"
"Angels","19","20","9","176","39","345.0","8.69","3.60","1.51",".281","72.5 %","39.7 %","15.2 %","4.83","4.71","4.57","1.9"
"Mariners","20","22","12","180","42","374.1","8.01","3.20","1.54",".296","67.9 %","43.5 %","15.3 %","4.76","4.71","4.57","1.9"
"White Sox","17","21","8","168","38","326.2","8.93","4.44","1.52",".317","70.8 %","40.1 %","14.6 %","5.32","4.88","4.83","1.5"
"Braves","20","20","9","185","40","353.0","8.92","4.26","1.30",".288","72.9 %","43.9 %","14.3 %","4.41","4.60","4.60","1.4"
"Royals","14","26","5","165","40","352.0","7.88","3.89","1.25",".302","71.5 %","44.3 %","14.6 %","5.01","4.66","4.62","1.4"
"Rangers","17","20","9","157","37","328.1","7.76","4.33","1.45",".305","71.6 %","39.9 %","14.5 %","5.24","5.09","5.05","1.4"
"Cardinals","22","18","13","175","40","353.0","8.95","3.54","1.61",".265","76.5 %","44.7 %","19.1 %","4.13","4.74","4.15","1.0"
"Giants","16","23","10","168","39","347.0","8.84","3.22","1.45",".287","71.8 %","41.3 %","15.8 %","4.49","4.45","4.25","0.9"
"Marlins","10","29","7","164","39","346.2","8.88","4.00","1.40",".293","72.0 %","42.3 %","14.9 %","4.85","4.68","4.60","0.9"
"Orioles","13","26","8","160","39","345.2","7.84","3.62","2.16",".287","71.6 %","40.9 %","19.6 %","5.62","5.88","5.03","-1.0"
