"Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR"
"Astros","97","264","17","45","45","2","9.8 %","17.0 %",".264",".306",".303",".375",".567",".394","154","-0.6","17.1","-0.4","2.6"
"Twins","95","279","14","38","38","2","10.0 %","19.0 %",".235",".317",".292",".369",".527",".378","137","-0.4","12.4","0.8","2.3"
"Dodgers","91","264","12","35","33","4","11.0 %","17.0 %",".208",".263",".252",".347",".460",".343","118","1.1","6.9","3.7","1.9"
"Angels","83","238","13","40","39","3","7.1 %","16.4 %",".251",".283",".279",".333",".530",".361","132","-0.1","9.4","-0.4","1.7"
"Rockies","73","200","7","39","39","1","9.0 %","21.5 %",".243",".388",".322",".384",".565",".396","135","-0.1","8.5","1.4","1.6"
"Rays","77","207","8","30","28","3","11.1 %","23.2 %",".203",".341",".280",".367",".484",".364","132","0.7","8.9","0.0","1.6"
"Cubs","102","285","10","32","31","0","14.4 %","20.0 %",".197",".272",".239",".353",".437",".336","109","-0.4","2.6","0.9","1.3"
"Mets","88","224","8","26","25","1","8.9 %","25.4 %",".171",".333",".266",".344",".437",".338","117","0.1","4.7","0.4","1.2"
"Red Sox","82","251","11","43","43","3","14.3 %","21.1 %",".190",".277",".248",".357",".438",".344","112","-0.7","3.0","-0.7","1.1"
"Giants","97","235","9","39","37","2","11.1 %","26.0 %",".198",".290",".237",".323",".435",".326","107","-0.4","1.3","1.3","1.0"
"Padres","85","218","9","27","26","5","5.5 %","26.1 %",".183",".312",".257",".300",".441",".313","97","0.0","-1.2","2.7","0.8"
"Reds","105","280","11","36","36","7","8.6 %","20.0 %",".185",".242",".221",".307",".406",".308","89","0.3","-3.5","2.4","0.8"
"Brewers","90","244","6","29","28","3","12.7 %","26.6 %",".146",".295",".228",".329",".374",".306","90","0.7","-2.7","2.2","0.7"
"Mariners","95","268","12","34","34","3","8.2 %","23.1 %",".211",".276",".244",".310",".455",".324","107","-0.7","1.8","-4.4","0.7"
"Cardinals","101","264","6","31","29","0","11.0 %","19.3 %",".117",".274",".234",".323",".351",".296","84","-0.5","-6.2","2.2","0.4"
"White Sox","97","245","7","26","25","8","5.3 %","25.3 %",".147",".308",".246",".295",".393",".297","86","1.4","-2.8","-2.0","0.4"
"Royals","81","223","9","23","23","6","6.3 %","25.6 %",".188",".255",".218",".284",".406",".296","82","0.1","-4.8","0.5","0.3"
"Rangers","87","218","9","29","29","6","11.0 %","28.9 %",".188",".261",".209",".304",".398",".304","82","0.4","-4.4","0.0","0.3"
"Indians","101","258","4","16","14","5","8.5 %","23.3 %",".100",".321",".251",".318",".351",".293","79","0.2","-6.7","0.0","0.2"
"Athletics","89","251","5","17","14","4","11.2 %","21.9 %",".114",".250",".205",".300",".318",".276","73","0.6","-7.8","0.6","0.1"
"Phillies","75","230","3","31","27","1","10.4 %","20.0 %",".109",".275",".224",".311",".333",".285","75","0.3","-7.1","1.0","0.1"
"Diamondbacks","102","281","7","22","21","5","9.3 %","25.6 %",".141",".263",".210",".295",".351",".284","75","0.3","-9.0","1.2","0.1"
"Yankees","96","236","6","26","23","3","6.4 %","20.3 %",".134",".270",".231",".292",".366",".285","76","0.1","-6.9","-2.0","-0.1"
"Pirates","93","227","6","24","23","4","5.3 %","22.5 %",".142",".276",".231",".278",".373",".280","75","0.4","-6.9","-1.8","-0.1"
"Braves","101","248","8","20","20","3","3.6 %","22.2 %",".157",".247",".216",".250",".373",".266","62","0.3","-11.7","1.2","-0.3"
"Orioles","70","187","6","15","15","3","4.3 %","29.4 %",".149",".254",".200",".247",".349",".258","57","0.5","-9.3","-0.5","-0.3"
"Tigers","99","251","7","25","24","0","5.2 %","24.7 %",".178",".250",".208",".251",".386",".270","67","-0.6","-10.9","-1.8","-0.4"
"Marlins","100","266","1","15","15","5","7.9 %","25.2 %",".050",".276",".204",".272",".254",".239","51","0.0","-16.6","1.3","-0.7"
"Blue Jays","89","198","5","9","9","0","8.6 %","23.7 %",".133",".194",".166",".237",".298",".236","45","-0.7","-14.3","0.3","-0.7"
"Nationals","98","253","5","18","18","3","5.9 %","26.9 %",".088",".248",".193",".256",".281",".240","45","-0.4","-18.4","1.3","-0.9"
