"Team","Inn","rSZ","rCERA","rSB","rGDP","rARM","rGFP","rPM","rTS","DRS","BIZ","Plays","RZR","OOZ","FSR","FRM","ARM","DPR","RngR","ErrR","UZR","UZR/150","Def"
"Twins","3015.0","1","0","0","-1","5","-1","8","4","18","407","335",".823","139","","4.0","3.1","-1.0","3.0","1.8","6.9","10.6","12.9"
"Giants","3123.0","6","0","0","-2","3","0","20","3","30","443","362",".817","135","","11.1","2.8","-0.1","4.1","0.6","7.4","8.5","7.4"
"Cardinals","3177.0","-4","-3","0","1","2","-5","14","9","16","442","369",".835","125","","-3.7","3.0","1.1","3.5","-0.8","6.9","9.1","6.9"
"Rockies","3198.0","-4","2","0","0","-2","-1","1","9","5","484","396",".818","153","","-6.2","-1.6","2.0","4.6","1.2","6.2","2.5","6.2"
"Padres","3222.0","6","2","1","-2","3","2","1","-3","7","484","378",".781","149","","7.1","1.8","-1.4","5.7","-0.6","5.6","7.3","5.6"
"Indians","2982.0","4","1","1","-2","-1","2","0","6","10","409","329",".804","128","","-1.3","-0.3","0.0","1.2","1.1","2.0","0.9","5.0"
"Blue Jays","3138.0","4","0","0","-2","0","-1","2","11","15","450","369",".820","155","","8.9","0.9","-0.7","1.4","0.2","1.8","3.0","4.8"
"Diamondbacks","3303.0","0","0","0","-1","-1","1","9","13","22","441","359",".814","166","","0.1","1.7","-0.5","-0.5","1.6","2.3","4.3","4.5"
"Dodgers","3360.0","1","1","-1","0","3","2","22","11","39","476","401",".842","144","","3.5","4.4","0.6","-3.7","3.9","5.2","8.7","4.2"
"Athletics","3369.0","-4","-1","-1","-3","9","1","-2","3","2","522","424",".812","133","","-4.6","6.6","-0.6","-1.7","2.9","7.2","10.0","4.2"
"Rays","3123.0","3","1","0","1","3","1","9","5","21","380","316",".832","145","","2.6","0.5","0.4","3.5","-0.5","4.0","4.3","4.0"
"Royals","3168.0","3","0","0","1","2","3","5","5","16","496","400",".807","139","","6.0","-0.6","0.3","-0.8","5.0","3.9","2.6","3.9"
"Rangers","2955.0","-3","1","-2","1","-2","0","-6","3","-8","473","374",".791","125","","-9.6","-3.4","1.0","5.5","1.7","4.8","0.1","3.8"
"Phillies","3111.0","0","-2","4","0","-1","-1","-25","-5","-26","497","390",".785","121","","2.3","3.9","-0.5","-4.9","-1.8","-3.4","2.5","3.6"
"Orioles","3111.0","-5","1","4","2","-4","-5","-18","3","-20","456","371",".814","172","","-2.5","-2.7","0.3","0.3","-1.8","-3.9","-5.2","3.1"
"Angels","3105.0","0","-2","-2","-1","-2","3","13","1","8","459","383",".834","134","","-3.7","-0.2","-0.1","2.5","3.8","6.1","3.9","3.1"
"Astros","3150.0","0","0","0","-3","-3","2","24","18","38","411","341",".830","181","","1.3","-0.6","-2.3","5.3","1.1","3.5","4.8","2.5"
"Brewers","3378.0","1","-1","-1","1","-4","6","14","5","22","448","348",".777","164","","4.2","-0.2","0.6","1.7","0.6","2.6","1.8","1.6"
"Cubs","3054.0","-3","-1","0","3","1","-1","2","0","3","465","380",".817","106","","-10.0","0.0","1.7","-1.9","1.6","1.4","0.1","1.4"
"Braves","3177.0","3","0","-1","-1","-2","-3","17","-1","10","481","395",".821","126","","5.0","-2.5","-1.2","-2.2","2.2","-3.7","-4.6","1.3"
"Tigers","2949.0","0","0","1","-1","-3","-4","-9","0","-18","434","342",".788","109","","-3.3","-4.3","0.6","0.3","1.7","-1.7","-6.2","-0.7"
"Reds","3210.0","2","-1","-2","3","1","2","17","4","24","430","346",".805","148","","4.1","-3.9","2.8","0.9","1.4","1.1","-4.7","-0.9"
"Red Sox","3186.0","0","0","1","-1","2","4","-9","1","-3","444","375",".845","108","","4.4","2.9","-0.2","-2.8","-0.9","-1.0","2.5","-1.0"
"Yankees","3117.0","-2","0","0","0","-1","2","-8","6","-8","428","334",".780","149","","-8.5","1.0","-0.3","-2.3","1.0","-0.6","1.0","-3.6"
"Marlins","3120.0","0","0","0","1","-1","0","-12","-1","-15","474","376",".793","116","","1.8","2.0","-1.2","-2.9","-1.6","-3.8","-1.6","-4.8"
"Pirates","2925.0","-1","1","1","0","-2","-4","-5","7","-6","417","342",".820","132","","-3.1","-0.4","0.2","0.3","-6.1","-6.0","-6.7","-6.0"
"Nationals","3096.0","-2","0","0","0","-2","-2","-20","0","-28","424","332",".783","132","","-0.2","-6.0","0.5","-3.3","1.4","-7.4","-13.3","-8.4"
"Mets","3165.0","-6","1","0","1","3","-7","-16","-4","-27","478","380",".795","118","","-6.6","0.1","-0.6","-1.4","-3.5","-5.3","-3.4","-12.9"
"White Sox","2940.0","0","0","0","1","-3","-4","-24","6","-26","428","335",".783","137","","-3.2","-2.3","-1.4","-3.4","-5.9","-13.0","-12.0","-14.0"
"Mariners","3369.0","-2","0","-1","-3","-5","-4","-23","3","-37","554","430",".776","156","","-3.7","-5.6","-0.9","-12.1","-9.5","-28.0","-19.7","-30.0"
