"Team","Inn","rSZ","rCERA","rSB","rGDP","rARM","rGFP","rPM","rTS","DRS","BIZ","Plays","RZR","OOZ","FSR","FRM","ARM","DPR","RngR","ErrR","UZR","UZR/150","Def"
"Twins","2466.0","0","0","0","-1","4","0","5","0","10","362","294",".812","116","","2.5","3.1","-1.0","3.0","1.8","6.9","10.6","11.4"
"Giants","2655.0","5","-1","0","-2","4","2","15","3","27","382","314",".822","113","","10.7","2.8","-0.1","4.1","0.6","7.4","8.5","7.4"
"Rockies","2793.0","-4","2","1","0","-2","-1","8","8","12","436","354",".812","137","","-5.8","-1.6","2.0","4.6","1.2","6.2","2.5","7.2"
"Dodgers","2796.0","1","1","0","0","4","3","11","10","30","401","338",".843","121","","2.7","4.4","0.6","-3.7","3.9","5.2","8.7","6.2"
"Indians","2439.0","4","0","1","-1","1","2","5","4","15","342","277",".810","109","","-1.1","-0.3","0.0","1.2","1.1","2.0","0.9","5.0"
"Rays","2682.0","3","1","0","1","2","-1","7","5","17","338","281",".831","129","","3.0","0.5","0.4","3.5","-0.5","4.0","4.3","5.0"
"Rangers","2505.0","-1","0","-1","1","-2","1","-2","1","-4","412","326",".791","106","","-9.6","-3.4","1.0","5.5","1.7","4.8","0.1","4.8"
"Padres","2745.0","5","1","0","-1","4","0","8","0","14","404","317",".785","137","","5.8","1.8","-1.4","5.7","-0.6","5.6","7.3","4.6"
"Cardinals","2619.0","-2","-2","0","1","1","-4","12","8","17","352","297",".844","109","","-2.6","3.0","1.1","3.5","-0.8","6.9","9.1","4.2"
"Angels","2628.0","0","-2","-2","0","-1","3","14","0","11","401","334",".833","117","","-3.6","-0.2","-0.1","2.5","3.8","6.1","3.9","4.1"
"Royals","2694.0","3","1","0","1","1","2","0","6","11","432","351",".813","124","","5.8","-0.6","0.3","-0.8","5.0","3.9","2.6","3.9"
"Blue Jays","2661.0","4","1","0","-2","0","-2","6","12","19","379","315",".831","137","","6.5","0.9","-0.7","1.4","0.2","1.8","3.0","3.8"
"Athletics","2790.0","-3","-1","-2","-3","8","-1","-3","1","-4","455","364",".800","115","","-3.7","6.6","-0.6","-1.7","2.9","7.2","10.0","3.2"
"Orioles","2679.0","-4","0","4","2","-5","-4","-17","1","-21","407","329",".808","149","","-2.8","-2.7","0.3","0.3","-1.8","-3.9","-5.2","3.1"
"Braves","2628.0","2","0","1","-1","0","0","15","-1","15","410","337",".822","95","","4.7","-2.5","-1.2","-2.2","2.2","-3.7","-4.6","3.0"
"Cubs","2415.0","-3","1","0","3","1","1","0","2","6","377","308",".817","89","","-9.4","0.0","1.7","-1.9","1.6","1.4","0.1","2.4"
"Diamondbacks","2718.0","1","0","-1","-1","-1","-2","9","11","15","369","303",".821","138","","0.7","1.7","-0.5","-0.5","1.6","2.3","4.3","2.0"
"Brewers","2844.0","2","-2","-1","1","-3","6","15","4","22","392","302",".770","151","","3.7","-0.2","0.6","1.7","0.6","2.6","1.8","1.6"
"Phillies","2643.0","-1","-1","3","0","0","1","-23","-6","-23","439","337",".768","103","","2.1","3.9","-0.5","-4.9","-1.8","-3.4","2.5","1.6"
"Astros","2583.0","0","0","0","-2","-2","0","19","14","28","354","290",".819","152","","1.3","-0.6","-2.3","5.3","1.1","3.5","4.8","1.5"
"Red Sox","2682.0","-1","0","2","-1","2","0","-13","2","-9","390","329",".844","91","","3.1","2.9","-0.2","-2.8","-0.9","-1.0","2.5","1.0"
"Tigers","2391.0","0","-1","1","-1","-3","-3","-10","1","-18","375","291",".776","86","","-3.3","-4.3","0.6","0.3","1.7","-1.7","-6.2","-0.7"
"Reds","2625.0","3","-1","-2","4","-1","3","10","3","15","361","292",".809","120","","4.7","-3.9","2.8","0.9","1.4","1.1","-4.7","-2.9"
"Pirates","2412.0","0","1","2","1","0","0","-7","4","0","358","295",".824","114","","-3.1","-0.4","0.2","0.3","-6.1","-6.0","-6.7","-4.0"
"Marlins","2565.0","0","0","0","0","-1","0","-9","1","-10","400","317",".793","97","","2.2","2.0","-1.2","-2.9","-1.6","-3.8","-1.6","-4.8"
"Nationals","2574.0","-1","0","1","1","-3","-3","-17","1","-23","356","284",".798","116","","0.8","-6.0","0.5","-3.3","1.4","-7.4","-13.3","-6.4"
"Yankees","2568.0","-2","-1","-1","0","0","4","-4","5","-5","360","280",".778","136","","-7.6","1.0","-0.3","-2.3","1.0","-0.6","1.0","-6.6"
"Mets","2706.0","-5","1","0","1","2","-7","-16","-3","-27","408","324",".794","106","","-6.2","0.1","-0.6","-1.4","-3.5","-5.3","-3.4","-12.6"
"White Sox","2421.0","0","1","0","-1","-3","-4","-21","6","-25","364","282",".775","118","","-1.7","-2.3","-1.4","-3.4","-5.9","-13.0","-12.0","-14.0"
"Mariners","2841.0","-2","-1","-1","-2","-3","-3","-19","4","-29","470","361",".768","132","","-2.7","-5.6","-0.9","-12.1","-9.5","-28.0","-19.7","-30.0"
