"Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR"
"Rays","4","2","2","28","6","55.0","10.31","1.96","0.33",".250","84.1 %","43.7 %","4.3 %","1.64","1.93","2.96","1.8"
"Indians","5","1","3","27","6","54.0","13.50","3.67","0.67",".277","79.4 %","41.7 %","9.5 %","2.33","2.39","2.79","1.6"
"Yankees","4","2","2","24","6","54.0","9.33","3.50","0.50",".254","77.9 %","49.7 %","6.4 %","2.67","2.91","3.71","1.5"
"Reds","0","7","0","32","7","60.1","8.95","3.43","0.60",".327","74.0 %","38.6 %","6.5 %","3.88","3.10","4.04","1.4"
"Tigers","5","1","5","22","6","53.0","10.87","2.55","1.02",".256","87.4 %","42.4 %","13.0 %","2.04","2.95","3.00","1.3"
"Blue Jays","1","6","1","26","7","59.1","10.47","3.19","0.76",".288","67.2 %","43.0 %","9.4 %","3.64","2.97","3.44","1.0"
"Brewers","5","1","4","23","6","54.0","10.00","4.00","1.50",".261","67.3 %","46.3 %","17.0 %","5.00","4.43","3.98","1.0"
"Mets","4","2","3","27","6","54.0","9.67","4.67","1.00",".317","67.5 %","39.0 %","11.3 %","5.00","4.06","4.33","0.9"
"Pirates","4","2","3","29","6","58.0","9.62","2.79","1.24",".221","80.3 %","42.6 %","13.3 %","2.79","3.78","3.80","0.8"
"Mariners","4","1","2","20","5","44.0","6.95","2.25","0.82",".270","68.2 %","45.7 %","7.4 %","3.48","3.51","4.48","0.8"
"Braves","5","1","1","27","6","54.0","7.67","3.67","1.17",".271","91.1 %","46.3 %","13.2 %","2.50","4.25","4.28","0.8"
"Nationals","3","2","0","28","5","44.0","11.25","3.48","1.84",".360","69.0 %","33.3 %","16.4 %","6.14","4.65","4.17","0.7"
"Diamondbacks","4","2","2","22","6","53.0","7.98","3.40","1.36",".257","74.4 %","49.7 %","18.2 %","4.25","4.31","3.80","0.6"
"Dodgers","5","1","3","30","6","54.0","7.50","3.00","1.33",".276","75.7 %","43.7 %","15.1 %","4.17","4.47","4.26","0.6"
"Astros","4","2","2","22","6","52.0","8.31","2.94","1.04",".248","75.1 %","46.5 %","11.5 %","3.63","3.74","3.99","0.6"
"Angels","3","3","1","28","6","52.0","9.35","3.29","1.04",".313","77.4 %","39.1 %","11.3 %","3.98","3.85","4.14","0.5"
"Giants","2","4","2","28","6","52.0","7.96","2.77","1.21",".291","73.9 %","42.7 %","13.0 %","3.46","3.95","4.02","0.5"
"Marlins","1","5","1","26","6","52.0","9.69","3.98","1.21",".292","71.4 %","42.2 %","14.0 %","4.67","4.20","4.13","0.5"
"Athletics","3","4","1","32","7","60.2","8.16","3.56","1.19",".320","79.7 %","42.8 %","11.6 %","3.86","4.12","4.40","0.4"
"Padres","3","3","2","26","6","53.0","8.49","3.40","1.53",".321","73.8 %","40.7 %","14.8 %","4.58","4.44","4.25","0.4"
"Rockies","1","5","0","28","6","54.0","8.50","6.00","1.33",".323","66.4 %","44.1 %","14.0 %","6.00","5.14","5.06","0.3"
"Phillies","3","2","1","25","5","44.0","8.18","2.86","2.05",".279","82.2 %","42.3 %","18.5 %","4.09","5.15","4.34","0.3"
"Royals","0","5","0","23","5","43.0","8.37","5.86","0.21",".341","66.6 %","35.7 %","2.2 %","5.44","3.80","5.37","0.2"
"Twins","3","2","2","23","5","44.0","6.55","4.09","1.02",".273","69.6 %","46.7 %","10.0 %","4.30","4.51","5.02","0.2"
"Red Sox","2","5","2","26","7","58.2","7.52","3.07","1.84",".291","68.9 %","45.1 %","18.2 %","5.68","5.15","4.46","0.0"
"Cardinals","3","2","3","26","5","48.0","8.63","6.19","1.31",".248","82.3 %","42.3 %","14.6 %","3.56","5.15","5.01","-0.1"
"White Sox","2","3","1","25","5","44.0","9.82","4.30","2.25",".306","60.4 %","43.5 %","23.4 %","7.16","5.56","4.17","-0.1"
"Rangers","3","4","1","25","7","60.0","7.05","4.50","1.35",".287","84.8 %","39.8 %","13.4 %","3.60","5.12","5.12","-0.2"
"Cubs","1","5","0","30","6","49.0","8.82","6.06","2.39",".362","64.0 %","48.1 %","33.3 %","7.53","6.50","4.44","-0.6"
"Orioles","2","4","2","25","6","53.0","6.11","3.91","3.23",".272","77.4 %","37.6 %","25.0 %","6.62","7.76","5.61","-1.1"
