"Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR"
"Blue Jays","3","8","2","45","11","98.1","10.89","3.20","0.55",".270","74.6 %","42.7 %","6.7 %","2.75","2.61","3.40","2.4"
"Tigers","7","3","7","38","10","90.0","9.90","2.40","0.80",".242","80.7 %","41.8 %","9.4 %","2.30","2.88","3.37","2.3"
"Indians","6","3","4","39","9","79.0","11.85","3.19","0.57",".283","74.1 %","34.8 %","6.4 %","2.85","2.54","3.45","2.1"
"Yankees","5","4","2","36","9","81.0","9.44","3.33","0.67",".271","74.2 %","52.3 %","8.3 %","2.89","3.04","3.63","2.0"
"Rays","7","3","5","45","10","91.0","9.30","2.18","0.69",".247","87.9 %","44.5 %","9.0 %","1.88","2.75","3.25","1.9"
"Nationals","4","4","0","43","8","71.0","10.90","3.42","1.27",".373","65.0 %","35.6 %","12.5 %","6.08","3.75","3.89","1.6"
"Mets","6","3","5","41","9","80.1","10.53","3.70","1.01",".324","67.4 %","40.2 %","11.3 %","4.48","3.63","3.92","1.6"
"Marlins","3","7","2","45","10","88.0","9.10","3.17","0.82",".296","69.6 %","40.7 %","8.8 %","4.19","3.41","4.04","1.6"
"Reds","1","8","1","43","9","78.1","8.73","4.25","0.57",".315","74.8 %","39.8 %","6.6 %","3.68","3.41","4.28","1.6"
"Astros","5","5","2","33","10","85.0","9.95","2.12","0.95",".263","74.6 %","47.3 %","12.2 %","3.07","3.00","3.15","1.5"
"Padres","6","4","5","45","10","89.0","8.70","2.83","1.01",".292","78.8 %","41.6 %","11.1 %","3.24","3.59","3.90","1.5"
"Giants","3","7","3","43","10","85.0","8.15","2.75","0.95",".299","75.7 %","40.8 %","10.3 %","3.07","3.54","3.95","1.3"
"Twins","5","3","3","34","8","71.0","9.00","3.80","0.76",".257","73.1 %","44.3 %","8.1 %","3.30","3.44","4.16","1.2"
"Pirates","5","3","3","36","8","75.0","9.48","2.76","1.20",".214","80.7 %","42.7 %","13.3 %","2.76","3.69","3.71","1.2"
"Brewers","8","2","6","41","10","90.0","10.70","3.60","1.80",".269","72.2 %","39.8 %","19.4 %","4.90","4.54","3.75","1.2"
"Dodgers","8","2","4","51","10","94.0","7.76","2.68","1.53",".277","74.0 %","44.9 %","16.5 %","4.31","4.50","4.09","1.0"
"Athletics","6","7","3","64","13","117.2","7.27","3.52","0.99",".267","76.8 %","39.8 %","8.7 %","3.67","4.16","4.95","1.0"
"Rockies","3","7","0","43","10","88.0","8.28","4.40","1.33",".293","69.1 %","47.3 %","15.3 %","5.11","4.70","4.47","0.8"
"Angels","4","6","1","43","10","85.0","7.94","3.07","1.16",".279","79.7 %","38.4 %","11.2 %","3.71","4.18","4.51","0.5"
"Mariners","9","2","6","52","11","101.0","7.40","3.12","1.16",".273","67.6 %","44.1 %","10.7 %","3.83","4.15","4.59","0.4"
"White Sox","3","5","2","39","8","69.0","8.87","3.91","1.43",".291","56.6 %","41.8 %","14.1 %","6.52","4.52","4.43","0.4"
"Phillies","6","2","1","40","8","71.0","8.37","3.80","1.65",".277","81.2 %","44.2 %","17.8 %","3.93","4.86","4.28","0.3"
"Royals","2","6","2","39","8","70.0","7.97","5.01","0.64",".315","67.6 %","39.1 %","6.6 %","5.27","4.12","5.09","0.2"
"Braves","5","4","1","42","9","78.0","8.31","4.85","1.73",".260","81.1 %","46.0 %","19.7 %","4.38","5.37","4.58","0.1"
"Cardinals","4","5","3","42","9","81.0","8.56","5.33","1.78",".255","82.2 %","45.6 %","19.5 %","4.11","5.54","4.75","-0.3"
"Diamondbacks","5","5","3","38","10","90.0","7.60","4.70","2.20",".281","68.9 %","41.3 %","22.7 %","6.30","6.21","4.92","-0.3"
"Rangers","5","5","2","42","10","87.0","7.03","4.97","1.55",".316","75.6 %","42.7 %","15.2 %","5.38","5.53","5.28","-0.6"
"Red Sox","3","8","3","45","11","91.2","8.74","3.83","2.26",".305","65.6 %","39.0 %","19.8 %","6.28","5.75","4.70","-0.7"
"Cubs","2","7","0","45","9","74.1","9.08","6.42","2.42",".346","64.2 %","47.0 %","31.3 %","7.51","6.61","4.61","-1.0"
"Orioles","4","5","4","39","9","79.0","7.63","5.13","2.62",".298","78.5 %","41.1 %","22.3 %","6.15","6.97","5.47","-1.6"
