"Team","IP","K/9","BB/9","HR/9","BABIP","LOB%","ERA","FIP","xFIP","WHIP"
"LAD","744.0","10.23","3.01","1.08",".266","75.2%","3.17","3.57","3.65","1.11"
"SFG","738.2","8.76","2.64","1.04",".261","74.5%","3.24","3.72","3.90","1.10"
"SDP","763.1","9.97","3.17","1.11",".276","77.8%","3.24","3.79","3.81","1.17"
"NYM","674.0","9.91","3.07","0.97",".279","73.4%","3.35","3.52","3.64","1.15"
"MIA","720.1","8.77","3.11","0.80",".279","73.1%","3.40","3.57","4.02","1.18"
"MIL","760.0","10.29","3.58","1.10",".269","75.5%","3.52","3.80","3.72","1.18"
"TBR","760.0","9.41","2.75","1.15",".278","73.1%","3.59","3.75","3.75","1.14"
"CHW","712.2","10.34","3.17","1.16",".289","74.9%","3.61","3.70","3.78","1.21"
"HOU","759.0","9.02","3.26","1.17",".264","74.9%","3.64","4.07","4.18","1.18"
"OAK","764.0","8.32","2.71","1.12",".289","73.9%","3.83","3.95","4.36","1.24"
"NYY","733.2","9.62","2.92","1.19",".284","72.0%","3.90","3.84","3.96","1.20"
"CHC","735.0","9.17","3.91","1.22",".275","75.4%","3.94","4.40","4.24","1.29"
"TOR","716.2","9.46","3.28","1.39",".282","75.0%","3.97","4.30","4.07","1.26"
"BOS","753.1","9.45","3.54","1.02",".323","73.7%","3.99","3.86","4.08","1.38"
"WSN","703.1","8.96","3.28","1.33",".270","73.7%","4.06","4.32","4.27","1.23"
"ATL","723.0","9.24","3.47","1.22",".287","71.6%","4.23","4.18","4.16","1.29"
"STL","738.1","8.06","4.49","0.90",".273","71.7%","4.24","4.40","4.78","1.36"
"PHI","708.2","9.55","3.15","1.30",".299","71.5%","4.31","4.12","3.89","1.29"
"CLE","704.2","9.81","3.82","1.30",".286","72.5%","4.34","4.24","4.07","1.30"
"SEA","744.2","8.42","3.34","1.16",".286","69.8%","4.40","4.22","4.36","1.29"
"TEX","743.0","8.21","3.10","1.32",".300","72.1%","4.48","4.39","4.28","1.35"
"CIN","737.0","9.93","4.15","1.28",".294","71.0%","4.55","4.33","4.20","1.37"
"DET","727.0","8.34","3.63","1.26",".295","70.5%","4.62","4.54","4.51","1.38"
"COL","730.2","7.98","3.63","1.24",".294","69.2%","4.72","4.54","4.37","1.38"
"PIT","716.1","8.48","3.71","1.23",".288","69.5%","4.76","4.44","4.49","1.35"
"LAA","730.2","9.83","4.10","1.32",".306","68.3%","5.01","4.37","4.11","1.41"
"KCR","715.1","9.02","4.15","1.32",".310","70.4%","5.02","4.58","4.54","1.47"
"MIN","716.1","8.33","3.18","1.58",".297","67.9%","5.04","4.78","4.44","1.37"
"ARI","745.2","8.11","3.55","1.48",".307","67.5%","5.36","4.85","4.72","1.46"
"BAL","722.2","8.78","3.69","1.57",".311","68.8%","5.48","4.82","4.55","1.46"
