"Team","IP","K/9","BB/9","HR/9","BABIP","LOB%","ERA","FIP","xFIP","WHIP"
"LAD","50.0","9.18","3.06","0.54",".273","81.8%","1.62","3.10","3.80","1.10"
"COL","64.0","7.73","2.53","0.70",".234","83.6%","2.25","3.53","3.95","0.98"
"MIL","62.0","8.85","5.23","0.87",".224","83.6%","2.47","4.29","4.79","1.24"
"BOS","66.1","7.46","2.04","1.22",".295","84.8%","2.85","3.99","4.49","1.21"
"STL","62.1","6.21","4.48","0.87",".223","82.6%","3.03","4.71","5.30","1.24"
"OAK","58.0","7.76","1.86","1.40",".265","78.7%","3.10","4.17","4.23","1.10"
"ATL","55.0","9.49","3.76","1.31",".235","84.9%","3.11","4.25","3.96","1.13"
"TEX","52.1","8.08","2.92","1.55",".204","80.2%","3.27","4.91","4.74","1.03"
"CIN","59.1","9.71","3.94","0.91",".319","78.6%","3.34","3.73","3.70","1.42"
"SFG","51.0","10.24","3.18","1.59",".240","79.3%","3.71","4.35","3.96","1.10"
"MIA","43.2","9.27","5.56","0.82",".264","72.7%","3.92","4.28","4.50","1.37"
"SDP","49.0","8.45","4.41","1.47",".292","81.2%","4.04","5.12","4.87","1.43"
"SEA","55.0","8.84","2.78","1.15",".314","68.5%","4.25","3.83","4.10","1.33"
"TOR","55.0","10.31","2.95","1.31",".294","70.9%","4.25","3.79","3.57","1.24"
"HOU","64.0","9.84","3.94","1.41",".326","71.6%","4.92","4.36","4.01","1.47"
"BAL","51.2","6.62","5.92","0.87",".299","72.3%","5.23","5.15","6.08","1.66"
"ARI","60.0","7.35","3.30","1.65",".312","66.6%","5.55","5.21","5.09","1.52"
"CLE","60.0","8.10","4.65","1.65",".291","66.6%","5.55","5.29","4.88","1.53"
"WSN","59.0","8.85","2.14","1.68",".308","66.1%","5.64","4.68","4.47","1.32"
"CHW","52.0","9.35","4.50","1.21",".324","66.5%","5.71","4.39","4.34","1.50"
"LAA","53.0","7.98","5.43","1.53",".261","65.7%","5.94","5.46","4.98","1.45"
"PIT","60.0","8.85","4.35","0.90",".358","65.5%","6.00","4.14","4.75","1.65"
"PHI","54.0","10.17","3.00","1.50",".338","55.0%","6.17","4.12","3.49","1.43"
"DET","49.0","9.00","2.02","1.84",".340","62.7%","6.43","4.67","4.00","1.43"
"CHC","48.0","9.75","4.31","1.50",".289","56.4%","6.75","5.03","4.59","1.42"
"NYM","55.2","9.05","3.72","2.10",".301","57.5%","6.79","5.58","4.70","1.49"
"KCR","59.0","7.02","4.42","2.14",".326","68.3%","7.02","6.41","5.39","1.71"
"NYY","50.0","11.52","4.14","1.98",".366","64.2%","7.02","5.08","4.09","1.66"
"TBR","41.0","9.44","2.85","2.63",".330","57.2%","7.02","5.89","4.37","1.54"
"MIN","49.0","7.90","4.04","2.02",".342","61.5%","7.53","5.79","4.93","1.73"
