"Team","PA","R","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","O-Swing%","Z-Contact%","HardHit%"
"CHW","238","46","2","8.8%","16.8%",".236",".344",".327",".382",".563",".397","155","0.4","31.7%","88.9%","40.6%"
"LAA","238","39","2","9.7%","18.9%",".245",".305",".283",".361",".528",".379","144","0.2","33.6%","87.9%","41.3%"
"DET","226","40","8","11.5%","24.3%",".185",".390",".313",".387",".497",".379","139","0.7","29.7%","80.7%","33.1%"
"MIL","290","56","8","13.4%","21.0%",".194",".331",".277",".386",".471",".372","136","1.7","29.0%","83.3%","40.2%"
"WSN","245","38","4","9.4%","20.0%",".236",".312",".282",".354",".519",".370","135","-0.4","30.8%","86.8%","42.7%"
"BAL","241","40","3","11.2%","21.6%",".192",".316",".272",".353",".465",".355","126","-0.7","29.0%","79.8%","35.8%"
"BOS","274","44","2","8.8%","17.9%",".183",".304",".279",".354",".463",".354","120","-0.7","31.2%","85.1%","41.5%"
"TOR","229","36","2","7.9%","22.3%",".206",".327",".282",".336",".488",".353","122","-1.3","30.6%","87.3%","43.1%"
"SFG","234","28","1","8.5%","22.6%",".219",".299",".262",".333",".481",".351","125","-0.3","26.5%","88.8%","29.1%"
"COL","258","30","3","9.7%","16.7%",".187",".290",".262",".341",".449",".341","101","1.3","28.0%","90.9%","40.1%"
"SDP","225","32","4","10.7%","22.2%",".193",".300",".259",".339",".452",".340","118","0.0","32.5%","83.3%","38.7%"
"CIN","243","34","3","8.6%","25.5%",".160",".336",".264",".351",".425",".339","112","-0.2","36.0%","88.9%","34.9%"
"KCR","256","29","4","5.1%","22.3%",".182",".335",".285",".320",".467",".338","113","0.9","35.2%","87.0%","36.6%"
"ATL","238","38","4","11.3%","23.1%",".150",".340",".275",".361",".425",".335","111","0.1","31.3%","80.7%","42.9%"
"NYY","206","34","1","12.6%","21.4%",".177",".256",".229",".335",".406",".327","107","-1.3","26.3%","88.3%","36.8%"
"SEA","238","31","3","8.8%","24.4%",".185",".285",".246",".321",".431",".326","110","0.2","29.7%","88.5%","48.7%"
"MIN","228","27","0","10.1%","20.6%",".188",".270",".238",".320",".426",".324","104","-1.0","30.4%","81.7%","35.9%"
"STL","265","32","6","6.8%","18.1%",".157",".302",".258",".324",".415",".322","107","0.7","26.4%","85.0%","39.2%"
"CLE","248","28","0","6.5%","26.2%",".205",".296",".241",".301",".446",".321","100","-0.2","32.2%","83.5%","42.9%"
"LAD","210","32","1","7.6%","24.3%",".184",".276",".238",".316",".422",".320","105","0.1","29.8%","84.0%","33.6%"
"NYM","257","33","2","8.2%","28.0%",".141",".329",".251",".328",".392",".319","105","-0.6","35.7%","80.1%","35.8%"
"HOU","282","32","4","14.9%","17.4%",".117",".254",".225",".345",".342",".311","100","-0.5","23.9%","87.5%","39.9%"
"MIA","198","24","4","9.1%","29.3%",".141",".327",".249",".316",".390",".311","99","0.9","33.1%","79.1%","36.9%"
"PHI","218","23","2","12.8%","24.3%",".184",".236",".200",".309",".384",".304","90","0.2","34.3%","84.5%","39.3%"
"TEX","227","26","4","4.4%","23.8%",".190",".272",".241",".278",".431",".303","92","0.3","37.3%","83.7%","31.5%"
"CHC","231","17","6","13.0%","27.3%",".102",".305",".218",".330",".320",".297","87","0.3","33.6%","77.4%","33.3%"
"TBR","184","18","3","7.1%","23.9%",".185",".250",".214",".272",".399",".289","86","0.4","29.1%","84.3%","37.3%"
"ARI","261","23","2","10.0%","24.1%",".139",".267",".213",".301",".352",".288","79","0.5","28.8%","90.1%","35.5%"
"OAK","228","19","3","7.9%","21.9%",".138",".228",".197",".273",".335",".266","70","0.9","32.7%","88.4%","41.7%"
"PIT","241","10","3","8.3%","21.6%",".106",".181",".157",".238",".264",".226","42","0.4","31.9%","89.3%","27.1%"
