"Team","PA","R","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","O-Swing%","Z-Contact%","HardHit%"
"SDP","299","52","2","9.0%","15.7%",".228",".354",".323",".391",".551",".403","164","0.2","31.1%","89.9%","39.5%"
"STL","282","43","3","8.9%","18.8%",".226",".337",".298",".370",".524",".387","153","-0.6","30.8%","91.3%","43.5%"
"ATL","243","36","2","9.5%","22.6%",".266",".283",".266",".346",".533",".378","141","0.5","34.1%","83.6%","53.4%"
"COL","231","33","0","7.8%","17.7%",".209",".340",".303",".359",".512",".376","129","-1.2","35.8%","88.0%","41.5%"
"CHW","251","40","1","6.0%","22.3%",".153",".411",".328",".380",".480",".376","151","0.3","36.9%","87.4%","43.4%"
"BOS","234","33","1","9.8%","18.4%",".138",".340",".291",".376",".429",".355","131","0.2","29.8%","89.7%","50.0%"
"TOR","267","38","2","6.7%","21.3%",".195",".315",".272",".327",".467",".346","125","0.6","29.7%","80.3%","42.1%"
"NYY","219","33","7","9.1%","21.0%",".238",".244",".233",".324",".472",".345","129","0.1","31.1%","81.9%","36.7%"
"MIL","233","32","2","10.3%","25.8%",".162",".314",".250",".339",".412",".330","110","-0.1","32.3%","85.2%","36.6%"
"PHI","325","43","5","11.4%","17.2%",".154",".271",".241",".332",".395",".324","106","-0.6","31.8%","88.6%","43.9%"
"HOU","216","33","1","8.8%","17.6%",".196",".233",".227",".306",".423",".321","113","-1.1","29.9%","87.8%","34.0%"
"SFG","226","24","3","15.5%","22.6%",".160",".242",".204",".345",".365",".320","108","0.2","24.0%","83.7%","34.3%"
"DET","261","28","2","5.7%","22.6%",".108",".335",".271",".315",".379",".306","100","-1.2","35.9%","83.7%","39.5%"
"LAD","184","17","6","10.3%","24.5%",".171",".263",".220",".299",".390",".304","97","1.4","32.7%","86.2%","44.2%"
"NYM","213","26","1","8.5%","20.2%",".129",".259",".220",".315",".349",".300","97","-0.6","32.2%","85.4%","36.1%"
"MIN","226","22","0","8.0%","20.4%",".125",".291",".240",".301",".365",".296","93","-1.1","31.2%","82.8%","43.8%"
"CIN","232","24","3","6.5%","20.7%",".120",".280",".234",".306",".354",".296","83","-1.3","31.2%","86.8%","36.4%"
"TEX","255","30","7","7.8%","24.3%",".129",".289",".233",".294",".362",".290","90","0.9","33.9%","84.7%","39.5%"
"WSN","304","32","1","8.2%","21.4%",".139",".267",".227",".297",".366",".290","84","-1.5","35.5%","85.5%","34.1%"
"BAL","257","32","8","4.7%","24.5%",".167",".265",".219",".275",".386",".289","86","0.3","36.1%","86.6%","36.6%"
"CHC","251","22","4","5.6%","24.7%",".117",".299",".238",".292",".355",".287","82","0.4","34.4%","81.7%","27.5%"
"MIA","220","26","13","5.5%","29.1%",".159",".287",".222",".268",".382",".285","85","1.5","38.7%","83.0%","35.7%"
"CLE","235","23","6","6.8%","23.0%",".120",".300",".239",".291",".359",".282","83","1.1","34.0%","87.8%","28.8%"
"ARI","220","29","7","4.1%","20.9%",".159",".245",".222",".252",".382",".275","72","2.5","31.1%","87.8%","29.1%"
"TBR","218","12","0","6.0%","27.1%",".079",".324",".238",".289",".317",".272","81","-1.1","34.4%","85.8%","33.3%"
"PIT","239","22","1","7.5%","21.3%",".176",".186",".181",".249",".356",".267","70","-0.8","29.6%","89.0%","43.5%"
"KCR","221","14","2","9.5%","22.6%",".058",".266",".205",".289",".263",".254","62","0.1","30.8%","82.1%","32.7%"
"SEA","283","18","5","8.1%","23.0%",".102",".226",".184",".259",".285",".248","64","0.8","30.5%","83.4%","27.6%"
"OAK","204","11","0","5.9%","20.6%",".106",".217",".185",".241",".291",".239","58","-0.6","34.9%","84.4%","31.1%"
"LAA","246","17","3","4.1%","28.5%",".128",".228",".179",".220",".308",".233","48","0.2","30.9%","82.0%","37.2%"
