"Team","PA","R","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","O-Swing%","Z-Contact%","HardHit%"
"NYY","2496","340","40","9.8%","21.5%",".195",".277",".249",".328",".444",".335","122","-1.5","32.0%","84.7%","43.6%"
"TOR","2486","301","22","8.3%","21.0%",".173",".295",".255",".324",".428",".329","113","1.3","31.4%","84.9%","44.0%"
"ATL","2522","317","32","8.1%","25.2%",".194",".296",".246",".314",".440",".328","108","1.4","34.8%","81.9%","43.3%"
"LAD","2483","326","44","10.4%","21.5%",".172",".291",".247",".328",".419",".327","112","8.1","28.5%","85.0%","41.3%"
"NYM","2594","342","27","8.2%","19.7%",".142",".307",".261",".334",".403",".325","114","-1.6","32.6%","86.0%","36.7%"
"PHI","2592","332","41","8.7%","22.5%",".171",".294",".249",".319",".421",".324","106","2.9","33.9%","85.3%","40.5%"
"MIN","2553","300","13","9.0%","22.0%",".157",".299",".251",".324",".409",".323","112","-8.1","30.9%","86.1%","42.3%"
"STL","2606","331","49","8.4%","19.5%",".149",".296",".256",".325",".405",".321","109","4.9","34.6%","86.6%","35.4%"
"BOS","2569","317","20","7.5%","20.7%",".156",".305",".258",".320",".413",".320","106","2.1","33.8%","84.6%","40.7%"
"HOU","2457","281","33","9.4%","19.7%",".175",".266",".238",".315",".413",".320","113","-4.7","31.1%","86.8%","39.9%"
"COL","2557","307","13","7.7%","20.8%",".139",".312",".261",".324",".400",".319","90","-5.9","33.9%","86.6%","35.6%"
"SFG","2475","316","30","10.1%","22.5%",".163",".280",".238",".322",".400",".319","107","2.9","29.0%","84.3%","38.4%"
"MIL","2540","299","40","8.8%","23.8%",".166",".277",".233",".309",".400",".312","98","1.2","29.7%","85.5%","38.9%"
"CHC","2503","275","43","8.9%","23.1%",".148",".296",".242",".318",".390",".312","98","1.1","31.6%","83.9%","37.9%"
"MIA","2409","288","49","8.1%","24.0%",".153",".295",".242",".310",".395",".311","102","-2.2","34.3%","84.6%","37.1%"
"SDP","2624","320","24","9.2%","21.5%",".139",".296",".245",".320",".383",".310","101","2.2","31.1%","86.9%","36.0%"
"LAA","2550","289","34","8.0%","25.6%",".163",".294",".237",".305",".400",".309","102","-4.4","29.5%","83.1%","37.5%"
"WSN","2633","289","27","8.1%","19.5%",".126",".300",".254",".319",".380",".309","95","-10.3","33.8%","85.5%","35.6%"
"SEA","2577","264","38","9.5%","22.4%",".143",".279",".232",".315",".374",".307","106","-4.0","30.2%","86.3%","35.2%"
"CLE","2339","283","43","7.9%","18.3%",".138",".287",".248",".310",".386",".305","100","5.9","32.7%","87.7%","33.9%"
"CIN","2423","287","34","8.0%","22.8%",".139",".289",".238",".309",".377",".304","89","-6.5","32.1%","85.8%","37.0%"
"CHW","2430","267","31","6.4%","20.5%",".127",".298",".251",".307",".377",".302","98","3.7","35.3%","86.1%","40.1%"
"ARI","2512","279","28","9.3%","24.4%",".163",".262",".218",".297",".381",".299","88","11.2","29.1%","85.5%","36.7%"
"TEX","2457","287","59","7.4%","23.0%",".152",".275",".234",".294",".387",".299","96","13.3","32.7%","83.0%","39.5%"
"BAL","2561","278","39","7.5%","23.8%",".147",".282",".230",".299",".377",".299","93","2.5","35.2%","84.8%","39.6%"
"TBR","2421","267","44","7.6%","23.3%",".139",".285",".233",".296",".372",".294","98","1.1","32.3%","83.7%","38.4%"
"KCR","2427","243","34","8.0%","20.1%",".125",".282",".237",".302",".362",".294","90","2.1","32.8%","85.3%","38.1%"
"PIT","2336","221","29","8.4%","25.0%",".137",".272",".219",".289",".356",".286","83","-6.1","30.6%","86.6%","38.4%"
"DET","2332","190","14","6.5%","24.0%",".100",".285",".224",".281",".324",".270","74","-11.8","35.9%","84.8%","34.7%"
"OAK","2430","217","41","7.2%","23.7%",".121",".260",".210",".274",".330",".269","78","-1.3","32.8%","84.7%","35.1%"
