"Team","IP","K/9","BB/9","HR/9","BABIP","LOB%","ERA","FIP","xFIP","WHIP"
"LAD","46.0","10.17","2.74","0.20",".207","80.8%","1.17","2.26","3.53","0.83"
"TBR","49.1","8.21","2.19","0.73",".211","73.1%","2.01","3.39","4.06","0.87"
"SFG","53.0","8.32","2.38","1.02",".226","81.7%","2.21","3.54","3.39","0.94"
"LAA","61.0","8.41","3.10","0.74",".215","82.1%","2.51","3.51","4.24","0.98"
"SEA","73.0","9.00","1.85","0.86",".263","77.9%","2.71","3.03","3.31","1.00"
"CLE","55.0","8.35","2.95","0.65",".329","78.1%","2.78","3.20","4.04","1.38"
"KCR","51.0","9.00","4.24","0.53",".234","77.9%","2.82","3.60","4.44","1.12"
"NYY","53.0","9.68","3.57","1.02",".219","82.3%","2.89","3.75","3.80","1.04"
"ATL","52.0","9.87","2.60","0.52",".299","76.1%","3.12","2.78","3.24","1.12"
"HOU","53.0","10.19","2.04","0.51",".322","68.0%","3.23","2.39","2.98","1.15"
"MIL","52.0","7.96","2.94","0.87",".268","75.9%","3.29","3.88","3.95","1.15"
"MIN","51.0","7.41","2.47","1.59",".218","77.3%","3.53","4.60","4.22","1.06"
"STL","61.0","7.52","2.95","0.89",".242","69.8%","3.54","3.92","3.93","1.08"
"OAK","52.0","7.62","4.85","0.87",".309","77.1%","3.63","4.71","5.14","1.60"
"PHI","73.0","7.89","2.34","1.36",".265","72.2%","3.70","4.20","3.82","1.15"
"COL","55.0","6.55","2.62","0.82",".314","72.9%","3.76","3.84","4.28","1.36"
"CHW","52.0","8.48","2.25","1.38",".280","76.8%","3.81","4.05","3.68","1.17"
"ARI","57.0","7.58","2.37","0.79",".305","69.6%","3.95","3.69","4.06","1.23"
"BOS","54.0","7.50","3.00","1.17",".277","72.6%","4.00","4.20","4.11","1.26"
"NYM","54.0","11.83","2.83","0.50",".344","65.8%","4.17","2.39","2.75","1.19"
"BAL","62.0","8.56","1.45","1.02",".383","72.1%","4.65","3.27","3.57","1.47"
"PIT","60.0","7.50","4.50","1.80",".294","78.1%","4.65","5.86","4.70","1.57"
"CIN","56.0","8.84","3.38","1.45",".260","66.8%","4.66","4.43","4.12","1.25"
"WSN","74.0","7.30","4.74","2.31",".258","68.9%","4.99","6.59","5.09","1.54"
"MIA","51.1","6.84","3.68","1.05",".295","69.0%","5.08","4.65","4.58","1.42"
"SDP","60.0","7.65","2.85","1.95",".299","71.2%","5.40","5.30","3.99","1.42"
"TEX","61.0","7.08","3.10","1.03",".295","63.0%","5.46","4.28","4.48","1.34"
"DET","63.0","8.29","3.29","1.29",".370","63.6%","6.43","4.43","4.33","1.63"
"TOR","64.0","9.00","2.81","2.11",".286","62.5%","6.47","5.49","4.06","1.33"
"CHC","63.0","8.71","3.86","1.43",".349","61.7%","7.00","4.73","4.34","1.65"
