"Team","IP","K/9","BB/9","HR/9","BABIP","LOB%","ERA","FIP","xFIP","WHIP"
"LAD","996.1","10.11","3.10","1.10",".267","75.8%","3.20","3.67","3.71","1.13"
"MIL","1003.0","10.04","3.45","1.00",".269","75.6%","3.33","3.71","3.76","1.17"
"SFG","999.2","8.77","2.66","1.03",".266","74.2%","3.35","3.72","3.95","1.12"
"SDP","1004.2","9.67","3.17","1.14",".285","76.1%","3.55","3.91","3.92","1.21"
"TBR","1009.0","9.41","2.75","1.11",".281","73.4%","3.59","3.72","3.87","1.16"
"CHW","968.1","10.32","3.05","1.22",".284","75.0%","3.62","3.75","3.82","1.19"
"OAK","995.2","8.54","2.67","1.06",".285","74.7%","3.64","3.81","4.24","1.20"
"NYM","936.2","9.59","3.07","1.19",".285","74.2%","3.69","3.93","3.87","1.21"
"NYY","982.2","9.73","2.99","1.14",".278","73.1%","3.69","3.77","3.98","1.17"
"MIA","981.0","8.70","3.32","0.97",".282","72.6%","3.72","3.94","4.20","1.24"
"HOU","998.0","9.24","3.39","1.23",".270","75.3%","3.74","4.16","4.13","1.22"
"TOR","951.2","9.43","3.14","1.34",".285","75.9%","3.87","4.19","4.07","1.25"
"ATL","977.0","9.08","3.42","1.12",".292","73.0%","4.07","4.06","4.17","1.29"
"STL","968.1","7.90","4.29","0.92",".274","71.9%","4.27","4.42","4.83","1.35"
"BOS","994.1","9.55","3.45","1.09",".324","72.2%","4.28","3.93","4.08","1.38"
"CHC","990.1","8.88","3.83","1.41",".285","74.2%","4.33","4.71","4.34","1.36"
"SEA","992.1","8.47","3.20","1.20",".292","70.6%","4.40","4.24","4.39","1.30"
"PHI","977.1","9.27","3.21","1.35",".296","71.7%","4.42","4.29","4.03","1.30"
"CIN","1000.0","9.66","4.10","1.31",".296","72.5%","4.46","4.43","4.28","1.38"
"CLE","944.1","9.40","3.54","1.39",".285","72.2%","4.47","4.40","4.19","1.30"
"WSN","961.0","8.73","3.32","1.46",".280","70.9%","4.49","4.58","4.40","1.30"
"DET","988.0","8.12","3.53","1.33",".289","71.4%","4.50","4.65","4.60","1.36"
"LAA","984.2","9.56","3.81","1.22",".300","69.2%","4.68","4.22","4.16","1.36"
"COL","967.0","8.27","3.50","1.24",".298","69.7%","4.71","4.42","4.31","1.37"
"TEX","983.0","8.03","3.22","1.43",".294","70.3%","4.76","4.64","4.45","1.35"
"KCR","951.0","8.90","3.99","1.29",".304","70.7%","4.91","4.52","4.51","1.42"
"MIN","978.0","8.48","3.05","1.51",".296","67.5%","4.95","4.59","4.35","1.34"
"PIT","962.1","8.56","3.88","1.34",".297","68.6%","5.11","4.66","4.61","1.41"
"ARI","985.0","8.10","3.47","1.49",".307","67.3%","5.40","4.86","4.76","1.45"
"BAL","951.1","8.48","3.69","1.52",".311","67.5%","5.63","4.86","4.73","1.48"
